ANO,CODMUNRES,SUICIDES
2015,220435,1
2015,220450,3
2015,220470,1
2015,220480,1
2015,220490,1
2015,220500,1
2015,220510,1
2015,220520,3
2015,220525,2
2015,220527,1
2015,220530,1
2015,220540,2
2015,220545,1
2015,220550,4
2015,220553,2
2015,220559,1
2015,220570,1
2015,220580,3
2015,220595,1
2015,220600,1
2015,220610,1
2015,220650,2
2015,220667,2
2015,220670,1
2015,220672,1
2015,220695,1
2015,220700,5
2015,220720,2
2015,220730,1
2015,220770,11
2015,220777,4
2015,220780,1
2015,220790,5
2015,220795,1
2015,220800,7
2015,220820,2
2015,220830,3
2015,220840,7
2015,220850,3
2015,220855,1
2015,220887,1
2015,220890,1
2015,220900,2
2015,220910,2
2015,220915,3
2015,220920,1
2015,220930,1
2015,220970,2
2015,220980,2
2015,220987,1
2015,220990,2
2015,220997,1
2015,221000,2
2015,221010,1
2015,221035,1
2015,221040,1
2015,221060,3
2015,221070,1
2015,221090,1
2015,221097,1
2015,221100,58
2015,221110,1
2015,221120,1
2015,221130,5
2015,230015,1
2015,230020,3
2015,230030,2
2015,230040,1
2015,230050,1
2015,230060,1
2015,230075,1
2015,230090,3
2015,230100,5
2015,230110,3
2015,230120,3
2015,230125,1
2015,230130,2
2015,230150,1
2015,230160,1
2015,230170,1
2015,230185,3
2015,230190,5
2015,230195,2
2015,230200,3
2015,230205,1
2015,230210,2
2015,230220,1
2015,230230,1
2015,230240,4
2015,230250,4
2015,230260,5
2015,230270,2
2015,230280,8
2015,230300,1
2015,230340,2
2015,230350,4
2015,230365,1
2015,230370,37
2015,230390,1
2015,230395,2
2015,230400,1
2015,230410,3
2015,230420,8
2015,230423,2
2015,230426,1
2015,230428,6
2015,230430,2
2015,230435,2
2015,230440,133
2015,230450,2
2015,230465,1
2015,230480,1
2015,230495,2
2015,230500,3
2015,230523,3
2015,230526,1
2015,230530,2
2015,230533,1
2015,230535,1
2015,230540,4
2015,230550,4
2015,230560,1
2015,230570,1
2015,230580,4
2015,230590,7
2015,230600,3
2015,230610,4
2015,230625,3
2015,230630,2
2015,230640,9
2015,230660,1
2015,230690,2
2015,230700,1
2015,230710,2
2015,230725,1
2015,230730,14
2015,230740,1
2015,230760,3
2015,230763,2
2015,230765,17
2015,230770,10
2015,230780,2
2015,230790,2
2015,230800,2
2015,230810,3
2015,230820,1
2015,230830,2
2015,230835,2
2015,230840,2
2015,230850,6
2015,230860,2
2015,230870,2
2015,230900,1
2015,230930,5
2015,230940,3
2015,230945,1
2015,230950,2
2015,230960,5
2015,230970,2
2015,230980,1
2015,230990,1
2015,231010,2
2015,231020,3
2015,231025,1
2015,231030,3
2015,231050,4
2015,231070,2
2015,231085,1
2015,231090,2
2015,231100,1
2015,231110,1
2015,231123,1
2015,231126,4
2015,231130,7
2015,231135,1
2015,231140,5
2015,231160,1
2015,231170,1
2015,231180,6
2015,231220,4
2015,231230,3
2015,231240,3
2015,231250,4
2015,231260,1
2015,231270,3
2015,231290,23
2015,231300,2
2015,231310,2
2015,231320,1
2015,231325,2
2015,231330,7
2015,231335,1
2015,231340,7
2015,231350,5
2015,231355,2
2015,231360,2
2015,231380,3
2015,231395,2
2015,231400,3
2015,231410,2
2015,240020,1
2015,240070,1
2015,240090,2
2015,240100,3
2015,240110,2
2015,240130,1
