CODMUNRES,SUICIDES
110001,1
110002,2
110003,1
110004,8
110005,1
110006,1
110008,4
110009,2
110010,6
110012,5
110013,5
110015,3
110018,4
110020,39
110025,2
110028,4
110030,10
110032,1
110034,2
110037,2
110040,2
110045,1
110050,2
110080,1
110090,1
110092,1
110100,2
110130,2
110143,2
110145,1
110148,1
110149,2
110150,2
110155,1
110160,1
120010,1
120020,6
120025,2
120030,3
120033,3
120034,1
120035,5
120038,1
120040,31
120045,1
120050,2
120060,1
120070,1
120080,1
130006,1
130008,1
130014,1
130040,2
130060,10
130068,2
130070,1
130083,2
130100,3
130110,1
130120,6
130130,1
130140,8
130150,7
130170,2
130180,1
130185,4
130190,4
130195,1
130220,1
130230,3
130250,3
130260,103
130280,3
130290,1
130300,1
130310,1
130340,6
130350,1
130370,4
130380,10
130390,8
130395,1
130406,19
130420,9
130426,1
130430,1
140002,2
140005,2
140010,21
140015,1
140017,4
140020,2
140028,1
140030,2
140060,1
140070,1
150000,1
150010,4
150040,2
150050,3
150060,12
150070,3
150080,23
150085,3
150090,1
150120,2
150130,9
150140,55
150145,1
150150,1
150170,4
150178,3
150180,4
150210,7
150215,2
150220,1
150230,3
150240,11
150260,2
150275,1
150280,1
150285,2
150290,2
150293,1
150295,3
150300,1
150304,1
150307,2
150310,1
150320,2
150330,1
150360,13
150370,2
150375,2
150380,2
150390,1
150405,5
150420,13
150442,1
150450,1
150470,3
150475,1
150480,4
150490,1
150495,2
150503,3
150506,2
150510,1
150520,1
150530,2
150548,4
150550,5
150553,17
150555,1
150565,2
150570,1
150580,5
150590,1
150600,5
150610,1
150613,6
150616,2
150618,2
150619,3
150620,1
150630,1
150635,1
150650,2
150658,1
150680,17
150710,2
150720,1
150730,2
150740,1
150760,1
150795,4
150796,1
150797,2
150800,3
150805,1
150808,3
150810,5
150812,1
150815,3
150830,4
150840,3
160015,3
160020,1
160021,1
160027,4
160030,42
160040,3
160050,1
160053,2
160060,5
170025,1
170070,1
170100,2
170110,1
170130,1
170200,1
170210,11
170220,5
170240,1
170255,2
170310,1
170330,2
170460,2
170550,4
170700,3
170740,3
170765,1
170820,2
170930,3
170950,5
171050,2
171190,1
171240,1
171320,1
171330,2
171420,5
171430,1
171488,3
171570,3
171610,5
171650,1
171660,1
171665,1
171670,1
171750,1
171820,5
171830,1
171880,1
171886,1
171890,1
171900,1
172020,2
172049,1
172080,1
172100,24
172120,2
172130,2
172208,1
210005,11
210030,1
210043,1
210050,1
210055,1
210095,4
210100,2
210110,1
210120,8
210130,1
210140,6
210160,7
210170,2
210173,1
210200,1
210203,2
210210,1
210215,1
210220,2
210232,1
210235,2
210255,1
210270,2
210275,1
210300,18
210315,1
210317,1
210320,2
210330,4
210340,3
210350,3
210355,1
210360,4
210370,4
210375,1
210390,1
210400,1
210405,4
210420,1
210455,2
210460,1
210462,1
210480,5
210490,1
210500,1
210515,1
210520,2
210530,17
210540,2
210542,2
210550,1
210560,1
210570,2
210590,1
210592,1
210600,1
210610,1
210640,2
210650,2
210660,3
210663,1
210670,3
210675,2
210680,1
210690,2
210720,1
210725,1
210740,1
210750,4
210770,2
210780,1
210790,2
210845,1
210850,2
210860,6
210880,1
210890,1
210900,3
210910,5
210940,1
210950,5
210955,1
210960,1
210975,1
211000,6
211003,4
211020,1
211040,1
211050,1
211060,1
211070,2
211100,1
211107,1
211110,3
211120,5
211130,37
211140,1
211150,1
211163,1
211176,2
211190,1
211200,2
211220,14
211230,5
211240,2
211250,1
211270,2
211280,2
211285,2
211290,1
211300,2
211400,2
220010,1
220020,3
220025,2
220030,3
220040,5
220050,2
220090,1
220095,1
220105,1
220120,1
220130,1
220140,1
220150,3
220155,1
220160,1
220173,1
220177,1
220190,4
220200,1
220209,1
220211,1
220213,1
220220,8
220230,1
220240,3
220255,1
220260,1
220270,1
220275,1
220280,2
220290,1
220300,2
220320,3
220327,1
220330,2
220345,1
220370,2
220385,1
220390,3
220400,1
220430,1
220450,3
220470,1
220480,1
220490,2
220500,2
220510,3
220515,2
220520,1
220545,1
220550,4
220553,1
220554,2
220558,1
220570,2
220580,1
220585,1
220610,1
220650,2
220660,2
220667,2
220672,2
220695,1
220700,6
220730,1
220750,2
220755,1
220770,20
220779,1
220780,3
220790,5
220795,2
220800,13
220820,2
220830,5
220840,5
220850,1
220865,1
220870,2
220880,4
220890,1
220900,1
220910,4
220915,1
220935,1
220950,1
220960,1
220965,2
220980,1
220987,1
220990,1
221000,7
221010,2
221020,4
221050,2
221060,10
221070,1
221080,3
221093,3
221095,2
221100,85
221110,1
221120,5
221130,2
221135,1
221140,1
221160,1
221170,1
230010,1
230015,2
230020,5
230030,9
230040,1
230050,3
230060,2
230075,2
230080,1
230090,5
230100,4
230110,1
230120,2
230125,2
230130,1
230150,1
230160,4
230170,3
230185,1
230190,6
230195,2
230200,3
230205,1
230210,5
230220,3
230230,2
230240,3
230250,5
230260,5
230270,2
230280,11
230300,1
230310,1
230320,4
230330,5
230340,3
230350,2
230360,3
230365,1
230370,10
230380,3
230390,3
230393,1
230395,3
230410,6
230420,11
230423,1
230425,1
230426,2
230428,5
230430,2
230435,4
230440,167
230445,1
230470,7
230490,1
230495,1
230500,7
230526,1
230530,2
230540,3
230550,12
230560,4
230565,2
230570,2
230580,2
230590,4
230600,4
230610,1
230625,1
230630,1
230640,7
230650,1
230655,1
230660,3
230670,1
230680,1
230690,4
230700,3
230710,3
230725,1
230730,21
230740,2
230750,5
230760,1
230763,4
230765,13
230770,5
230800,2
230810,2
230820,2
230830,3
230840,2
230850,10
230860,3
230870,4
230890,2
230900,1
230920,3
230930,2
230940,4
230945,2
230950,1
230960,3
230970,2
230980,1
231010,1
231020,5
231030,1
231040,1
231050,1
231070,4
231080,1
231085,2
231090,2
231100,2
231110,2
231120,3
231126,2
231130,7
231135,2
231140,5
231160,1
231170,1
231180,4
231195,2
231200,3
231210,3
231220,6
231230,4
231240,3
231260,1
231270,4
231280,2
231290,16
231320,2
231330,7
231335,2
231340,8
231350,4
231355,1
231360,3
231370,1
231375,4
231380,2
231390,1
231395,3
231400,2
231410,6
240010,1
240020,5
240050,1
240060,1
240100,3
240110,1
240120,3
240130,2
240140,1
240145,1
240165,1
240170,1
240180,1
240200,8
240220,2
240240,1
240260,4
240270,3
240280,1
240290,1
240310,5
240320,1
240325,11
240330,1
240360,2
240380,1
240420,2
240485,1
240490,1
240540,1
240560,1
240570,4
240580,2
240600,1
240610,4
240620,1
240630,1
240650,1
240670,1
240710,2
240720,2
240730,1
240750,2
240780,1
240800,18
240810,37
240820,1
240840,1
240890,6
240930,4
240940,3
240990,1
241010,4
241100,1
241120,5
241140,1
241170,1
241200,4
241210,3
241220,2
241230,1
241250,3
241280,1
241310,1
241330,1
241360,1
241410,1
241420,1
241445,1
241450,1
250000,1
250010,2
250020,1
250030,1
250070,2
250077,1
250080,1
250110,1
250130,1
250153,1
250160,1
250170,1
250180,3
250215,1
250220,1
250230,1
250240,2
250250,1
250300,2
250320,3
250370,8
250400,26
250410,1
250430,1
250440,1
250470,1
250480,1
250500,2
250510,2
250527,1
250560,2
250570,1
250600,4
250625,1
250630,8
250640,1
250670,2
250680,1
250690,1
250700,3
250740,1
250750,41
250800,1
250830,1
250855,1
250870,2
250880,1
250905,1
250910,2
250920,1
250970,5
251010,1
251020,4
251040,1
251080,9
251090,1
251120,1
251130,5
251140,1
251160,1
251170,1
251190,2
251210,1
251230,3
251250,5
251270,1
251280,1
251330,1
251340,1
251360,1
251370,6
251380,1
251385,1
251390,5
251392,1
251400,1
251450,1
251455,1
251470,1
251490,2
251510,1
251520,1
251530,3
251610,4
251620,7
251630,2
251650,2
251660,1
251670,1
251710,1
260000,2
260005,4
260010,1
260020,2
260030,1
260040,1
260050,1
260070,1
260080,1
260110,3
260120,6
260130,1
260160,2
260170,3
260190,4
260200,2
260210,5
260230,1
260240,1
260260,1
260270,1
260280,4
260290,4
260300,3
260340,1
260345,3
260360,1
260370,1
260390,2
260400,1
260410,16
260415,1
260430,1
260440,1
260450,1
260460,1
260490,3
260510,3
260520,3
260530,5
260540,2
260560,3
260570,2
260580,1
260590,1
260600,7
260610,1
260620,2
260630,1
260640,5
260650,4
260660,2
260680,5
260690,1
260700,1
260720,1
260730,3
260750,2
260760,1
260765,1
260770,1
260780,1
260790,21
260800,1
260810,2
260825,1
260840,1
260850,3
260860,1
260870,1
260875,3
260880,2
260890,4
260915,2
260920,1
260930,3
260940,2
260960,14
260970,2
260990,5
261000,1
261010,1
261020,2
261050,1
261060,2
261070,10
261080,1
261090,4
261110,23
261120,1
261130,2
261140,1
261150,1
261153,1
261160,77
261210,1
261220,2
261230,1
261240,2
261245,1
261247,4
261250,5
261255,2
261260,2
261270,1
261300,8
261310,1
261320,3
261330,3
261350,2
261360,1
261370,4
261380,1
261390,2
261410,2
261420,1
261450,3
261460,3
261470,1
261500,1
261510,1
261520,2
261530,8
261540,4
261560,1
261570,1
261580,1
261610,1
261630,1
261640,9
270020,2
270030,11
270070,1
270100,1
270110,1
270120,1
270130,2
270190,1
270200,2
270230,2
270240,4
270250,2
270255,1
270280,1
270290,4
270300,1
270310,2
270320,1
270380,1
270400,2
270410,2
270430,36
270440,2
270450,2
270460,3
270470,1
270480,1
270500,1
270520,1
270550,1
270570,1
270580,1
270590,1
270630,5
270640,1
270670,1
270690,1
270710,1
270720,1
270730,2
270750,2
270770,1
270800,3
270820,1
270830,1
270840,4
270860,2
270900,1
270910,3
270915,1
270920,3
270930,5
270940,2
280020,4
280030,23
280040,2
280050,2
280060,3
280067,2
280100,3
280120,1
280140,1
280150,1
280190,2
280210,3
280240,1
280260,1
280270,1
280280,1
280290,7
280300,2
280320,2
280330,3
280350,10
280360,1
280400,1
280420,2
280430,2
280440,1
280445,1
280450,2
280460,3
280480,13
280520,1
280540,1
280550,1
280560,1
280570,1
280580,1
280590,1
280600,2
280620,2
280630,1
280670,5
280680,1
280690,1
280710,5
280720,1
280740,4
280750,2
280760,2
290000,7
290020,4
290035,1
290040,2
290050,1
290060,1
290070,7
290080,1
290100,2
290110,1
290120,3
290130,2
290135,2
290140,1
290160,1
290190,3
290195,1
290205,1
290210,2
290220,1
290240,1
290280,1
290290,2
290300,2
290320,1
290323,2
290330,1
290340,1
290360,1
290380,2
290405,2
290410,3
290420,2
290430,1
290450,1
290460,5
290475,4
290485,1
290500,1
290515,2
290520,2
290530,1
290560,1
290570,7
290580,2
290590,1
290600,4
290610,1
290620,4
290630,4
290670,1
290680,4
290682,1
290710,3
290720,3
290750,2
290780,2
290790,1
290800,1
290810,2
290840,2
290850,2
290860,1
290870,2
290890,2
290920,1
290930,2
290940,1
290960,1
290980,5
290990,3
291005,2
291010,1
291040,1
291070,1
291072,4
291075,2
291080,8
291085,1
291120,2
291130,2
291140,2
291170,9
291180,1
291185,1
291200,1
291230,1
291240,1
291250,1
291290,2
291310,1
291320,3
291330,1
291345,1
291350,1
291360,7
291370,2
291400,4
291440,1
291460,4
291465,1
291470,4
291480,4
291490,3
291500,1
291570,1
291600,1
291610,1
291640,4
291650,2
291700,3
291710,2
291720,1
291730,3
291735,1
291750,2
291760,1
291800,5
291810,3
291820,1
291840,10
291850,1
291860,1
291870,1
291880,1
291900,2
291915,1
291920,2
291930,1
291940,2
291950,2
291955,4
291980,2
291992,1
292010,1
292020,1
292030,1
292045,2
292060,2
292070,2
292090,1
292105,2
292120,1
292140,2
292150,3
292170,2
292180,1
292200,2
292205,1
292210,1
292220,1
292230,2
292250,1
292285,2
292290,2
292300,1
292303,1
292310,1
292320,4
292340,1
292360,1
292370,4
292400,9
292405,2
292410,1
292440,4
292450,1
292465,1
292510,2
292520,1
292525,2
292530,8
292540,1
292550,1
292560,1
292570,2
292575,2
292590,1
292600,1
292620,1
292630,2
292640,2
292660,3
292670,1
292700,2
292710,1
292720,2
292740,68
292760,1
292780,1
292800,1
292810,1
292820,4
292840,2
292860,5
292870,4
292880,1
292890,1
292900,1
292905,2
292910,2
292920,1
292925,2
292930,1
292960,1
292970,1
292980,1
292990,2
293010,4
293015,2
293020,1
293030,2
293050,5
293060,1
293070,2
293080,1
293090,1
293100,1
293105,3
293110,1
293130,1
293135,2
293140,1
293150,1
293160,1
293180,2
293190,1
293200,1
293210,2
293220,1
293240,1
293245,1
293250,1
293260,2
293290,3
293325,1
293330,15
293345,2
293360,5
310010,1
310020,1
310030,3
310080,1
310090,2
310110,1
310130,1
310150,2
310160,7
310163,1
310170,1
310180,1
310200,3
310210,3
310230,3
310240,2
310250,1
310260,8
310280,3
310300,1
310350,11
310360,1
310370,3
310390,1
310400,10
310410,1
310420,6
310430,2
310445,1
310450,3
310460,2
310490,1
310500,1
310510,5
310530,3
310540,2
310560,8
310600,2
310620,145
310630,1
310640,1
310670,18
310690,2
310710,2
310720,1
310730,4
310740,2
310750,1
310770,1
310780,2
310790,2
310825,1
310830,2
310840,1
310855,1
310860,2
310870,2
310880,1
