,SUICIDES,ANO,MUNCOD,MUNNOME,LATITUDE,LONGITUDE
167,1,2017,130360,Santa Isabel do Rio Negro,-0.414,-65.019
168,2,2015,130370,Santo Antônio do Içá,-3.102,-67.94
169,2,2016,130370,Santo Antônio do Içá,-3.102,-67.94
170,6,2017,130370,Santo Antônio do Içá,-3.102,-67.94
171,13,2015,130380,São Gabriel da Cachoeira,-0.13,-67.089
172,15,2016,130380,São Gabriel da Cachoeira,-0.13,-67.089
173,20,2017,130380,São Gabriel da Cachoeira,-0.13,-67.089
174,10,2015,130390,São Paulo de Olivença,-3.378,-68.873
175,4,2016,130390,São Paulo de Olivença,-3.378,-68.873
176,1,2017,130390,São Paulo de Olivença,-3.378,-68.873
177,15,2015,130406,Tabatinga,-4.253,-69.938
178,9,2016,130406,Tabatinga,-4.253,-69.938
179,14,2017,130406,Tabatinga,-4.253,-69.938
180,3,2015,130410,Tapauá,-5.628,-63.183
181,1,2016,130410,Tapauá,-5.628,-63.183
182,2,2017,130410,Tapauá,-5.628,-63.183
183,2,2015,130420,Tefé,-3.354,-64.711
184,6,2016,130420,Tefé,-3.354,-64.711
185,3,2017,130420,Tefé,-3.354,-64.711
186,1,2015,130430,Urucará,-2.536,-57.76
187,1,2017,130430,Urucará,-2.536,-57.76
188,4,2015,140002,Amajari,3.652,-61.371
189,5,2016,140002,Amajari,3.652,-61.371
190,5,2017,140002,Amajari,3.652,-61.371
191,3,2015,140005,Alto Alegre,2.98,-61.292
192,3,2016,140005,Alto Alegre,2.98,-61.292
193,3,2017,140005,Alto Alegre,2.98,-61.292
194,26,2015,140010,Boa Vista,2.82,-60.673
195,36,2016,140010,Boa Vista,2.82,-60.673
196,24,2017,140010,Boa Vista,2.82,-60.673
197,4,2015,140015,Bonfim,3.36,-59.833
198,4,2017,140015,Bonfim,3.36,-59.833
199,5,2015,140017,Cantá,2.61,-60.597
200,2,2016,140017,Cantá,2.61,-60.597
201,3,2017,140017,Cantá,2.61,-60.597
202,3,2015,140020,Caracaraí,1.816,-61.128
203,4,2016,140020,Caracaraí,1.816,-61.128
204,1,2015,140028,Iracema,2.182,-61.041
205,1,2015,140045,Pacaraima,4.431,-61.146
206,2,2017,140045,Pacaraima,4.431,-61.146
207,2,2015,140047,Rorainópolis,0.946,-60.418
208,1,2016,140047,Rorainópolis,0.946,-60.418
209,1,2017,140047,Rorainópolis,0.946,-60.418
210,1,2015,140050,São João da Baliza,0.951,-59.911
211,1,2016,140050,São João da Baliza,0.951,-59.911
212,1,2015,140060,São Luiz,1.005,-60.159
213,2,2017,140060,São Luiz,1.005,-60.159
214,1,2015,140070,Uiramutã,4.596,-60.168
215,5,2016,140070,Uiramutã,4.596,-60.168
216,2,2017,140070,Uiramutã,4.596,-60.168
217,1,2015,150030,Afuá,-0.157,-50.387
218,5,2016,150030,Afuá,-0.157,-50.387
219,1,2015,150050,Almeirim,-1.523,-52.582
220,1,2016,150050,Almeirim,-1.523,-52.582
221,3,2017,150050,Almeirim,-1.523,-52.582
222,3,2015,150060,Altamira,-3.203,-52.206
223,6,2016,150060,Altamira,-3.203,-52.206
224,10,2017,150060,Altamira,-3.203,-52.206
225,1,2015,150070,Anajás,-0.987,-49.94
226,9,2015,150080,Ananindeua,-1.366,-48.372
227,6,2016,150080,Ananindeua,-1.366,-48.372
228,14,2017,150080,Ananindeua,-1.366,-48.372
229,1,2015,150085,Anapu,-3.472,-51.198
230,3,2016,150085,Anapu,-3.472,-51.198
231,5,2015,150090,Augusto Corrêa,-1.022,-46.645
232,1,2017,150090,Augusto Corrêa,-1.022,-46.645
233,1,2015,150095,Aurora do Pará,-2.134,-47.563
234,1,2016,150095,Aurora do Pará,-2.134,-47.563
235,1,2017,150095,Aurora do Pará,-2.134,-47.563
236,2,2015,150120,Baião,-2.791,-49.672
237,3,2016,150120,Baião,-2.791,-49.672
238,1,2017,150120,Baião,-2.791,-49.672
239,5,2015,150130,Barcarena,-1.506,-48.626
240,4,2017,150130,Barcarena,-1.506,-48.626
241,42,2015,150140,Belém,-1.456,-48.504
242,35,2016,150140,Belém,-1.456,-48.504
243,41,2017,150140,Belém,-1.456,-48.504
244,1,2015,150145,Belterra,-2.636,-54.937
245,1,2016,150145,Belterra,-2.636,-54.937
246,1,2017,150145,Belterra,-2.636,-54.937
247,6,2015,150170,Bragança,-1.063,-46.773
248,5,2016,150170,Bragança,-1.063,-46.773
249,2,2017,150170,Bragança,-1.063,-46.773
250,1,2015,150180,Breves,-1.682,-50.48
251,2,2016,150180,Breves,-1.682,-50.48
252,6,2017,150180,Breves,-1.682,-50.48
253,1,2015,150200,Cachoeira do Arari,-1.011,-48.963
254,2,2015,150210,Cametá,-2.244,-49.496
255,1,2016,150210,Cametá,-2.244,-49.496
256,6,2017,150210,Cametá,-2.244,-49.496
257,2,2015,150215,Canaã dos Carajás,-6.497,-49.878
258,4,2016,150215,Canaã dos Carajás,-6.497,-49.878
259,2,2017,150215,Canaã dos Carajás,-6.497,-49.878
260,1,2015,150220,Capanema,-1.196,-47.181
261,1,2016,150220,Capanema,-1.196,-47.181
262,2,2017,150220,Capanema,-1.196,-47.181
263,2,2015,150230,Capitão Poço,-1.745,-47.065
264,1,2016,150230,Capitão Poço,-1.745,-47.065
265,4,2015,150240,Castanhal,-1.297,-47.922
266,3,2016,150240,Castanhal,-1.297,-47.922
267,11,2017,150240,Castanhal,-1.297,-47.922
268,1,2015,150260,Colares,-0.937,-48.282
269,5,2015,150270,Conceição do Araguaia,-8.258,-49.265
270,4,2016,150270,Conceição do Araguaia,-8.258,-49.265
271,3,2017,150270,Conceição do Araguaia,-8.258,-49.265
272,1,2015,150275,Concórdia do Pará,-1.991,-47.949
273,1,2016,150275,Concórdia do Pará,-1.991,-47.949
274,1,2015,150276,Cumaru do Norte,-7.825,-50.773
275,1,2015,150277,Curionópolis,-6.091,-49.541
276,1,2017,150277,Curionópolis,-6.091,-49.541
277,1,2015,150285,Curuá,-1.888,-55.117
278,2,2015,150290,Curuçá,-0.734,-47.855
279,2,2016,150290,Curuçá,-0.734,-47.855
280,2,2015,150293,Dom Eliseu,-4.285,-47.505
281,2,2016,150293,Dom Eliseu,-4.285,-47.505
282,2,2017,150293,Dom Eliseu,-4.285,-47.505
283,3,2015,150304,Floresta do Araguaia,-7.554,-49.713
284,2,2017,150304,Floresta do Araguaia,-7.554,-49.713
285,1,2015,150307,Garrafão do Norte,-1.934,-47.053
286,4,2016,150307,Garrafão do Norte,-1.934,-47.053
287,4,2015,150309,Goianésia do Pará,-3.843,-49.097
288,1,2017,150309,Goianésia do Pará,-3.843,-49.097
289,1,2015,150310,Gurupá,-1.405,-51.64
290,2,2016,150310,Gurupá,-1.405,-51.64
291,1,2015,150320,Igarapé-Açu,-1.127,-47.618
292,3,2016,150320,Igarapé-Açu,-1.127,-47.618
293,2,2017,150320,Igarapé-Açu,-1.127,-47.618
294,1,2015,150330,Igarapé-Miri,-1.975,-48.96
295,1,2016,150330,Igarapé-Miri,-1.975,-48.96
296,1,2015,150340,Inhangapi,-1.43,-47.917
297,1,2015,150350,Irituia,-1.769,-47.439
298,1,2016,150350,Irituia,-1.769,-47.439
299,1,2017,150350,Irituia,-1.769,-47.439
300,10,2015,150360,Itaituba,-4.276,-55.984
301,9,2016,150360,Itaituba,-4.276,-55.984
302,13,2017,150360,Itaituba,-4.276,-55.984
303,2,2015,150370,Itupiranga,-5.135,-49.327
304,1,2016,150370,Itupiranga,-5.135,-49.327
305,1,2015,150375,Jacareacanga,-6.224,-57.754
306,2,2016,150375,Jacareacanga,-6.224,-57.754
307,1,2017,150375,Jacareacanga,-6.224,-57.754
308,1,2015,150380,Jacundá,-4.451,-49.116
309,4,2016,150380,Jacundá,-4.451,-49.116
310,4,2017,150380,Jacundá,-4.451,-49.116
311,1,2015,150405,Mãe do Rio,-2.06,-47.553
312,1,2017,150405,Mãe do Rio,-2.06,-47.553
313,10,2015,150420,Marabá,-5.369,-49.118
314,10,2016,150420,Marabá,-5.369,-49.118
315,17,2017,150420,Marabá,-5.369,-49.118
316,1,2015,150430,Maracanã,-0.765,-47.45
317,2,2015,150440,Marapanim,-0.714,-47.694
318,1,2016,150440,Marapanim,-0.714,-47.694
319,2,2017,150440,Marapanim,-0.714,-47.694
320,2,2015,150442,Marituba,-1.355,-48.342
321,3,2016,150442,Marituba,-1.355,-48.342
322,3,2017,150442,Marituba,-1.355,-48.342
323,1,2015,150445,Medicilândia,-3.446,-52.889
324,1,2017,150445,Medicilândia,-3.446,-52.889
325,1,2015,150460,Mocajuba,-2.584,-49.507
326,3,2017,150460,Mocajuba,-2.584,-49.507
327,3,2015,150470,Moju,-1.884,-48.769
328,1,2016,150470,Moju,-1.884,-48.769
329,1,2017,150470,Moju,-1.884,-48.769
330,1,2015,150480,Monte Alegre,-2.008,-54.069
331,3,2016,150480,Monte Alegre,-2.008,-54.069
332,4,2017,150480,Monte Alegre,-2.008,-54.069
333,2,2015,150497,Nova Ipixuna,-4.921,-49.077
334,2,2015,150503,Novo Progresso,-7.147,-55.382
335,3,2016,150503,Novo Progresso,-7.147,-55.382
336,3,2017,150503,Novo Progresso,-7.147,-55.382
337,6,2015,150506,Novo Repartimento,-4.331,-49.796
338,7,2016,150506,Novo Repartimento,-4.331,-49.796
339,3,2017,150506,Novo Repartimento,-4.331,-49.796
340,3,2015,150510,Óbidos,-1.918,-55.518
341,1,2016,150510,Óbidos,-1.918,-55.518
342,1,2017,150510,Óbidos,-1.918,-55.518
343,1,2015,150520,Oeiras do Pará,-2.003,-49.854
344,3,2016,150520,Oeiras do Pará,-2.003,-49.854
345,3,2017,150520,Oeiras do Pará,-2.003,-49.854
346,2,2015,150530,Oriximiná,-1.766,-55.866
347,1,2016,150530,Oriximiná,-1.766,-55.866
348,1,2017,150530,Oriximiná,-1.766,-55.866
349,1,2015,150543,Ourilândia do Norte,-6.755,-51.084
350,2,2016,150543,Ourilândia do Norte,-6.755,-51.084
351,1,2017,150543,Ourilândia do Norte,-6.755,-51.084
352,3,2015,150548,Pacajá,-3.838,-50.638
353,2,2016,150548,Pacajá,-3.838,-50.638
354,1,2017,150548,Pacajá,-3.838,-50.638
355,7,2015,150550,Paragominas,-2.995,-47.353
356,4,2016,150550,Paragominas,-2.995,-47.353
357,2,2017,150550,Paragominas,-2.995,-47.353
358,8,2015,150553,Parauapebas,-6.068,-49.902
359,15,2016,150553,Parauapebas,-6.068,-49.902
360,10,2017,150553,Parauapebas,-6.068,-49.902
361,1,2015,150555,Pau D'Arco,-7.833,-50.044
362,2,2015,150563,Piçarra,-6.438,-48.872
363,5,2015,150580,Portel,-1.936,-50.821
364,4,2016,150580,Portel,-1.936,-50.821
365,1,2017,150580,Portel,-1.936,-50.821
366,2,2015,150613,Redenção,-8.029,-50.031
367,3,2016,150613,Redenção,-8.029,-50.031
368,3,2017,150613,Redenção,-8.029,-50.031
369,3,2015,150616,Rio Maria,-7.311,-50.048
370,1,2016,150616,Rio Maria,-7.311,-50.048
371,2,2017,150616,Rio Maria,-7.311,-50.048
372,1,2015,150620,Salinópolis,-0.629,-47.356
373,2,2016,150620,Salinópolis,-0.629,-47.356
374,5,2015,150650,Santa Isabel do Pará,-1.299,-48.161
375,1,2016,150650,Santa Isabel do Pará,-1.299,-48.161
376,5,2017,150650,Santa Isabel do Pará,-1.299,-48.161
377,1,2015,150658,Santa Maria das Barreiras,-8.855,-49.722
378,1,2016,150658,Santa Maria das Barreiras,-8.855,-49.722
379,4,2015,150670,Santana do Araguaia,-9.505,-50.625
380,1,2017,150670,Santana do Araguaia,-9.505,-50.625
381,16,2015,150680,Santarém,-2.443,-54.708
382,22,2016,150680,Santarém,-2.443,-54.708
383,22,2017,150680,Santarém,-2.443,-54.708
384,2,2015,150715,São Domingos do Araguaia,-5.538,-48.733
385,1,2017,150715,São Domingos do Araguaia,-5.538,-48.733
386,2,2015,150720,São Domingos do Capim,-1.675,-47.775
387,2,2016,150720,São Domingos do Capim,-1.675,-47.775
388,1,2017,150720,São Domingos do Capim,-1.675,-47.775
389,3,2015,150730,São Félix do Xingu,-6.645,-51.995
390,1,2016,150730,São Félix do Xingu,-6.645,-51.995
391,4,2017,150730,São Félix do Xingu,-6.645,-51.995
392,1,2015,150740,São Francisco do Pará,-1.169,-47.795
393,3,2017,150740,São Francisco do Pará,-1.169,-47.795
394,2,2015,150745,São Geraldo do Araguaia,-6.401,-48.555
395,2,2016,150745,São Geraldo do Araguaia,-6.401,-48.555
396,1,2017,150745,São Geraldo do Araguaia,-6.401,-48.555
397,1,2015,150746,São João da Ponta,-0.85,-47.92
398,2,2015,150760,São Miguel do Guamá,-1.627,-47.483
399,6,2016,150760,São Miguel do Guamá,-1.627,-47.483
400,3,2017,150760,São Miguel do Guamá,-1.627,-47.483
401,1,2015,150775,Sapucaia,-6.947,-49.682
402,1,2016,150775,Sapucaia,-6.947,-49.682
403,1,2017,150775,Sapucaia,-6.947,-49.682
404,2,2015,150790,Soure,-0.717,-48.523
405,2,2015,150795,Tailândia,-2.947,-48.953
406,3,2016,150795,Tailândia,-2.947,-48.953
407,5,2017,150795,Tailândia,-2.947,-48.953
408,2,2015,150800,Tomé-Açu,-2.419,-48.152
409,4,2016,150800,Tomé-Açu,-2.419,-48.152
410,1,2015,150808,Tucumã,-6.748,-51.161
411,2,2016,150808,Tucumã,-6.748,-51.161
412,1,2017,150808,Tucumã,-6.748,-51.161
413,3,2015,150810,Tucuruí,-3.768,-49.673
414,5,2016,150810,Tucuruí,-3.768,-49.673
415,3,2017,150810,Tucuruí,-3.768,-49.673
416,1,2015,150812,Ulianópolis,-3.756,-47.501
417,2,2017,150812,Ulianópolis,-3.756,-47.501
418,4,2015,150815,Uruará,-3.718,-53.737
419,2,2016,150815,Uruará,-3.718,-53.737
420,5,2017,150815,Uruará,-3.718,-53.737
421,1,2015,150820,Vigia,-0.858,-48.142
422,2,2017,150820,Vigia,-0.858,-48.142
423,4,2015,150830,Viseu,-1.197,-46.14
424,2,2016,150830,Viseu,-1.197,-46.14
425,1,2017,150830,Viseu,-1.197,-46.14
426,1,2015,150835,Vitória do Xingu,-2.88,-52.01
427,4,2016,150835,Vitória do Xingu,-2.88,-52.01
428,1,2017,150835,Vitória do Xingu,-2.88,-52.01
429,1,2015,150840,Xinguara,-7.095,-49.946
430,1,2015,160010,Amapá,2.053,-50.793
431,1,2015,160020,Calçoene,2.498,-50.949
432,2,2015,160023,Ferreira Gomes,0.858,-51.18
433,1,2016,160023,Ferreira Gomes,0.858,-51.18
434,2,2015,160027,Laranjal do Jari,-0.842,-52.516
435,3,2016,160027,Laranjal do Jari,-0.842,-52.516
436,2,2017,160027,Laranjal do Jari,-0.842,-52.516
437,32,2015,160030,Macapá,0.039,-51.066
438,24,2016,160030,Macapá,0.039,-51.066
439,31,2017,160030,Macapá,0.039,-51.066
440,1,2015,160040,Mazagão,-0.115,-51.289
441,1,2016,160040,Mazagão,-0.115,-51.289
442,2,2017,160040,Mazagão,-0.115,-51.289
443,1,2015,160050,Oiapoque,3.843,-51.835
444,1,2017,160050,Oiapoque,3.843,-51.835
445,3,2015,160053,Porto Grande,0.713,-51.413
446,1,2017,160053,Porto Grande,0.713,-51.413
447,10,2015,160060,Santana,-0.058,-51.182
448,6,2016,160060,Santana,-0.058,-51.182
449,6,2017,160060,Santana,-0.058,-51.182
450,2,2015,170030,Aguiarnópolis,-6.563,-47.466
451,1,2016,170030,Aguiarnópolis,-6.563,-47.466
452,1,2015,170040,Almas,-11.574,-47.17
453,2,2016,170040,Almas,-11.574,-47.17
454,3,2015,170070,Alvorada,-12.48,-49.125
455,1,2016,170070,Alvorada,-12.48,-49.125
456,1,2017,170070,Alvorada,-12.48,-49.125
457,1,2015,170100,Ananás,-6.366,-48.073
458,3,2017,170100,Ananás,-6.366,-48.073
459,1,2015,170110,Aparecida do Rio Negro,-9.952,-47.972
460,2,2017,170110,Aparecida do Rio Negro,-9.952,-47.972
461,1,2015,170130,Aragominas,-7.162,-48.528
462,2,2016,170130,Aragominas,-7.162,-48.528
463,2,2017,170130,Aragominas,-7.162,-48.528
464,11,2015,170210,Araguaína,-7.191,-48.207
465,11,2016,170210,Araguaína,-7.191,-48.207
466,14,2017,170210,Araguaína,-7.191,-48.207
467,2,2015,170220,Araguatins,-5.651,-48.124
468,1,2016,170220,Araguatins,-5.651,-48.124
469,3,2015,170240,Arraias,-12.931,-46.938
470,1,2016,170240,Arraias,-12.931,-46.938
471,2,2017,170240,Arraias,-12.931,-46.938
472,2,2015,170255,Augustinópolis,-5.466,-47.888
473,2,2016,170255,Augustinópolis,-5.466,-47.888
474,1,2015,170290,Axixá do Tocantins,-5.617,-47.769
475,2,2016,170290,Axixá do Tocantins,-5.617,-47.769
476,1,2017,170290,Axixá do Tocantins,-5.617,-47.769
477,1,2015,170300,Babaçulândia,-7.205,-47.757
478,1,2015,170310,Barrolândia,-9.836,-48.725
479,1,2016,170310,Barrolândia,-9.836,-48.725
480,1,2015,170360,Brasilândia do Tocantins,-8.388,-48.481
481,1,2015,170380,Buriti do Tocantins,-5.316,-48.229
482,1,2016,170380,Buriti do Tocantins,-5.316,-48.229
483,1,2015,170384,Campos Lindos,-7.994,-46.868
484,2,2015,170550,Colinas do Tocantins,-8.059,-48.475
485,3,2016,170550,Colinas do Tocantins,-8.059,-48.475
486,3,2015,170700,Dianópolis,-11.628,-46.821
487,1,2016,170700,Dianópolis,-11.628,-46.821
488,3,2017,170700,Dianópolis,-11.628,-46.821
489,1,2015,170710,Divinópolis do Tocantins,-9.8,-49.214
490,2,2017,170710,Divinópolis do Tocantins,-9.8,-49.214
491,1,2015,170720,Dois Irmãos do Tocantins,-9.258,-49.064
492,2,2016,170720,Dois Irmãos do Tocantins,-9.258,-49.064
493,2,2015,170730,Dueré,-11.344,-49.271
494,1,2017,170730,Dueré,-11.344,-49.271
495,1,2015,170765,Figueirópolis,-12.131,-49.174
496,2,2015,170820,Formoso do Araguaia,-11.797,-49.529
497,1,2016,170820,Formoso do Araguaia,-11.797,-49.529
498,2,2017,170820,Formoso do Araguaia,-11.797,-49.529
499,1,2015,170830,Goianorte,-8.776,-48.932
500,3,2017,170830,Goianorte,-8.776,-48.932
501,1,2015,170900,Goiatins,-7.71,-47.314
502,1,2016,170900,Goiatins,-7.71,-47.314
503,1,2017,170900,Goiatins,-7.71,-47.314
504,3,2015,170930,Guaraí,-8.834,-48.51
505,2,2016,170930,Guaraí,-8.834,-48.51
506,2,2017,170930,Guaraí,-8.834,-48.51
507,3,2015,170950,Gurupi,-11.729,-49.069
