,SUICIDES,ANO,MUNCOD,MUNNOME,LATITUDE,LONGITUDE
0,3,2015,110001,Alta Floresta D'Oeste,-11.929,-61.996
1,2,2016,110001,Alta Floresta D'Oeste,-11.929,-61.996
2,3,2017,110001,Alta Floresta D'Oeste,-11.929,-61.996
3,5,2015,110002,Ariquemes,-9.913,-63.041
4,6,2016,110002,Ariquemes,-9.913,-63.041
5,10,2017,110002,Ariquemes,-9.913,-63.041
6,2,2015,110003,Cabixi,-13.492,-60.545
7,1,2016,110003,Cabixi,-13.492,-60.545
8,6,2015,110004,Cacoal,-11.438,-61.448
9,9,2016,110004,Cacoal,-11.438,-61.448
10,5,2017,110004,Cacoal,-11.438,-61.448
11,2,2015,110005,Cerejeiras,-13.189,-60.812
12,2,2016,110005,Cerejeiras,-13.189,-60.812
13,1,2017,110005,Cerejeiras,-13.189,-60.812
14,2,2015,110006,Colorado do Oeste,-13.117,-60.542
15,2,2017,110006,Colorado do Oeste,-13.117,-60.542
16,1,2015,110008,Costa Marques,-12.445,-64.227
17,10,2015,110010,Guajará-Mirim,-10.783,-65.339
18,1,2016,110010,Guajará-Mirim,-10.783,-65.339
19,4,2017,110010,Guajará-Mirim,-10.783,-65.339
20,2,2015,110011,Jaru,-10.439,-62.466
21,1,2016,110011,Jaru,-10.439,-62.466
22,5,2017,110011,Jaru,-10.439,-62.466
23,1,2015,110012,Ji-Paraná,-10.882,-61.944
24,7,2016,110012,Ji-Paraná,-10.882,-61.944
25,5,2017,110012,Ji-Paraná,-10.882,-61.944
26,1,2015,110018,Pimenta Bueno,-11.673,-61.193
27,4,2016,110018,Pimenta Bueno,-11.673,-61.193
28,5,2017,110018,Pimenta Bueno,-11.673,-61.193
29,41,2015,110020,Porto Velho,-8.762,-63.904
30,29,2016,110020,Porto Velho,-8.762,-63.904
31,32,2017,110020,Porto Velho,-8.762,-63.904
32,5,2015,110028,Rolim de Moura,-11.733,-61.778
33,5,2016,110028,Rolim de Moura,-11.733,-61.778
34,6,2017,110028,Rolim de Moura,-11.733,-61.778
35,2,2015,110029,Santa Luzia D'Oeste,-11.902,-61.779
36,4,2015,110030,Vilhena,-12.741,-60.146
37,4,2016,110030,Vilhena,-12.741,-60.146
38,5,2017,110030,Vilhena,-12.741,-60.146
39,1,2015,110032,São Miguel do Guaporé,-11.681,-62.684
40,1,2017,110032,São Miguel do Guaporé,-11.681,-62.684
41,3,2015,110033,Nova Mamoré,-10.411,-65.331
42,2,2017,110033,Nova Mamoré,-10.411,-65.331
43,1,2015,110034,Alvorada D'Oeste,-11.408,-62.389
44,1,2016,110034,Alvorada D'Oeste,-11.408,-62.389
45,1,2015,110045,Buritis,-10.212,-63.829
46,4,2016,110045,Buritis,-10.212,-63.829
47,1,2017,110045,Buritis,-10.212,-63.829
48,1,2015,110070,Campo Novo de Rondônia,-10.571,-63.627
49,2,2017,110070,Campo Novo de Rondônia,-10.571,-63.627
50,5,2015,110080,Candeias do Jamari,-8.791,-63.701
51,4,2016,110080,Candeias do Jamari,-8.791,-63.701
52,2,2017,110080,Candeias do Jamari,-8.791,-63.701
53,1,2015,110110,Itapuã do Oeste,-9.205,-63.18
54,1,2016,110110,Itapuã do Oeste,-9.205,-63.18
55,2,2015,110120,Ministro Andreazza,-11.196,-61.517
56,1,2015,110146,Pimenteiras do Oeste,-13.483,-61.047
57,2,2015,110148,São Felipe D'Oeste,-11.903,-61.502
58,2,2015,110150,Seringueiras,-11.798,-63.031
59,3,2016,110150,Seringueiras,-11.798,-63.031
60,2,2015,110160,Theobroma,-10.244,-62.355
61,1,2017,110160,Theobroma,-10.244,-62.355
62,1,2015,120010,Brasiléia,-11.01,-68.748
63,1,2015,120013,Bujari,-9.831,-67.952
64,2,2017,120013,Bujari,-9.831,-67.952
65,2,2015,120020,Cruzeiro do Sul,-7.631,-72.67
66,11,2016,120020,Cruzeiro do Sul,-7.631,-72.67
67,6,2017,120020,Cruzeiro do Sul,-7.631,-72.67
68,1,2015,120025,Epitaciolândia,-11.029,-68.741
69,1,2016,120025,Epitaciolândia,-11.029,-68.741
70,2,2017,120025,Epitaciolândia,-11.029,-68.741
71,6,2015,120030,Feijó,-8.164,-70.354
72,1,2016,120030,Feijó,-8.164,-70.354
73,4,2017,120030,Feijó,-8.164,-70.354
74,1,2015,120032,Jordão,-9.434,-71.884
75,1,2016,120032,Jordão,-9.434,-71.884
76,1,2015,120033,Mâncio Lima,-7.614,-72.896
77,1,2016,120033,Mâncio Lima,-7.614,-72.896
78,1,2017,120033,Mâncio Lima,-7.614,-72.896
79,2,2015,120034,Manoel Urbano,-8.839,-69.26
80,4,2016,120034,Manoel Urbano,-8.839,-69.26
81,5,2017,120034,Manoel Urbano,-8.839,-69.26
82,1,2015,120038,Plácido de Castro,-10.276,-67.15
83,1,2016,120038,Plácido de Castro,-10.276,-67.15
84,17,2015,120040,Rio Branco,-9.975,-67.81
85,19,2016,120040,Rio Branco,-9.975,-67.81
86,31,2017,120040,Rio Branco,-9.975,-67.81
87,1,2015,120045,Senador Guiomard,-10.151,-67.736
88,1,2016,120045,Senador Guiomard,-10.151,-67.736
89,2,2015,120050,Sena Madureira,-9.066,-68.657
90,2,2016,120050,Sena Madureira,-9.066,-68.657
91,4,2017,120050,Sena Madureira,-9.066,-68.657
92,1,2015,120060,Tarauacá,-8.161,-70.766
93,5,2016,120060,Tarauacá,-8.161,-70.766
94,4,2017,120060,Tarauacá,-8.161,-70.766
95,2,2015,120080,Porto Acre,-9.588,-67.533
96,4,2016,120080,Porto Acre,-9.588,-67.533
97,1,2017,120080,Porto Acre,-9.588,-67.533
98,2,2015,130006,Amaturá,-3.364,-68.198
99,3,2016,130006,Amaturá,-3.364,-68.198
100,4,2017,130006,Amaturá,-3.364,-68.198
101,1,2015,130008,Anamã,-3.58,-61.404
102,2,2015,130014,Apuí,-7.197,-59.891
103,2,2016,130014,Apuí,-7.197,-59.891
104,2,2017,130014,Apuí,-7.197,-59.891
105,2,2015,130030,Autazes,-3.58,-59.131
106,4,2016,130030,Autazes,-3.58,-59.131
107,2,2015,130040,Barcelos,-0.975,-62.924
108,2,2017,130040,Barcelos,-0.975,-62.924
109,5,2015,130050,Barreirinha,-2.793,-57.07
110,1,2016,130050,Barreirinha,-2.793,-57.07
111,1,2017,130050,Barreirinha,-2.793,-57.07
112,7,2015,130060,Benjamin Constant,-4.383,-70.031
113,8,2016,130060,Benjamin Constant,-4.383,-70.031
114,10,2017,130060,Benjamin Constant,-4.383,-70.031
115,1,2015,130063,Beruri,-3.898,-61.373
116,1,2015,130080,Borba,-4.388,-59.594
117,3,2016,130080,Borba,-4.388,-59.594
118,3,2015,130120,Coari,-4.085,-63.141
119,2,2016,130120,Coari,-4.085,-63.141
120,2,2017,130120,Coari,-4.085,-63.141
121,2,2015,130130,Codajás,-3.837,-62.057
122,1,2016,130130,Codajás,-3.837,-62.057
123,11,2015,130140,Eirunepé,-6.66,-69.874
124,6,2016,130140,Eirunepé,-6.66,-69.874
125,7,2017,130140,Eirunepé,-6.66,-69.874
126,2,2015,130150,Envira,-7.433,-70.023
127,1,2016,130150,Envira,-7.433,-70.023
128,2,2017,130150,Envira,-7.433,-70.023
129,1,2015,130160,Fonte Boa,-2.514,-66.092
130,1,2017,130160,Fonte Boa,-2.514,-66.092
131,2,2015,130170,Humaitá,-7.506,-63.021
132,4,2016,130170,Humaitá,-7.506,-63.021
133,2,2017,130170,Humaitá,-7.506,-63.021
134,2,2015,130185,Iranduba,-3.285,-60.186
135,4,2016,130185,Iranduba,-3.285,-60.186
136,1,2017,130185,Iranduba,-3.285,-60.186
137,11,2015,130190,Itacoatiara,-3.143,-58.444
138,1,2016,130190,Itacoatiara,-3.143,-58.444
139,3,2017,130190,Itacoatiara,-3.143,-58.444
140,1,2015,130200,Itapiranga,-2.749,-58.022
141,1,2015,130220,Juruá,-3.481,-66.069
142,2,2016,130220,Juruá,-3.481,-66.069
143,1,2017,130220,Juruá,-3.481,-66.069
144,2,2015,130230,Jutaí,-2.747,-66.767
145,2,2017,130230,Jutaí,-2.747,-66.767
146,8,2015,130250,Manacapuru,-3.3,-60.621
147,5,2016,130250,Manacapuru,-3.3,-60.621
148,3,2017,130250,Manacapuru,-3.3,-60.621
149,1,2015,130255,Manaquiri,-3.428,-60.459
150,1,2016,130255,Manaquiri,-3.428,-60.459
151,126,2015,130260,Manaus,-3.102,-60.025
152,90,2016,130260,Manaus,-3.102,-60.025
153,89,2017,130260,Manaus,-3.102,-60.025
154,1,2015,130270,Manicoré,-5.809,-61.3
155,2,2016,130270,Manicoré,-5.809,-61.3
156,2,2015,130280,Maraã,-1.856,-65.581
157,2,2015,130290,Maués,-3.384,-57.719
158,2,2017,130290,Maués,-3.384,-57.719
159,1,2015,130300,Nhamundá,-2.186,-56.713
160,1,2016,130300,Nhamundá,-2.186,-56.713
161,1,2015,130330,Novo Aripuanã,-5.121,-60.38
162,11,2015,130340,Parintins,-2.628,-56.736
163,2,2016,130340,Parintins,-2.628,-56.736
164,5,2017,130340,Parintins,-2.628,-56.736
165,2,2015,130356,Rio Preto da Eva,-2.699,-59.7
166,1,2015,130360,Santa Isabel do Rio Negro,-0.414,-65.019
