,MUNCOD,RATE_18,RATE_17,RATE_16,RATE_15,RATE_13,RATE_12,RATE_11,RATE_10,RATE_09,RATE_08
0,110030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,110032,0.0,0.0,4.156448730204913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,150140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,150160,0.0,0.0,0.0,6.5436461196178515,0.0,0.0,0.0,0.0,0.0,0.0
4,150295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,210190,0.0,0.0,4.79225571476494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,210300,0.0,0.0,0.0,0.6205899327901102,0.0,0.0,0.0,0.0,0.0,0.0
7,210330,0.0,0.827746047512623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,210590,0.0,0.0,6.264879087833605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,210825,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,210955,12.89490651192779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,211220,0.5953337738803259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,220190,4.006410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,220194,15.654351909830932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,220270,0.0,0.0,3.66474878147103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,220880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,220937,0.0,0.0,0.0,19.312475859405176,0.0,0.0,0.0,0.0,0.0,0.0
17,221080,0.0,8.007687379884688,24.08091186386258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,221100,0.0,0.11761966036146874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,230240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,230260,1.5770880645975272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,231140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,240050,0.0,0.0,0.0,7.219174126479931,0.0,0.0,0.0,0.0,0.0,0.0
23,240580,0.0,2.850058426197737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,240810,0.0,0.1129713730540681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,241330,0.0,0.0,0.0,16.998130205677377,0.0,0.0,0.0,0.0,0.0,0.0
26,250400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,250680,0.0,5.505698397841766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,250750,0.0,0.12321370925014602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,250830,0.0,0.0,0.0,3.6701288215216357,0.0,0.0,0.0,0.0,0.0,0.0
30,250890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,260120,0.0,0.0,1.3669792492549964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,260790,0.0,0.0,0.14469162597214685,0.0,0.0,0.0,0.0,0.0,0.14541478112167144,0.0
33,261110,0.0,0.0,0.2961357249254478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,261160,0.0,0.06121086101033423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,261180,0.0,0.0,0.0,2.1432092415182495,0.0,0.0,0.0,0.0,0.0,0.0
36,261485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,261540,2.259682740543228,6.789019891828284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,261600,5.465078150617553,0.0,0.0,0.0,0.0,0.0,6.153467478924374,0.0,0.0,0.0
39,261620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,261640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7956652159037563
41,270670,0.0,0.0,4.666210414981647,3.1213908917813775,0.0,0.0,0.0,0.0,0.0,0.0
42,270770,0.0,0.0,0.0,1.3219644391565868,0.0,0.0,0.0,0.0,0.0,0.0
