,MUNCOD,RATE_18,RATE_17,RATE_16,RATE_15,RATE_14,RATE_13,RATE_12,RATE_11,RATE_10,RATE_08
0,140017,0.0,0.0,6.054734802615645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,150010,0.0,0.0,0.658180525754604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,150140,0.0,0.0,0.06915428459201046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,170950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,210060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,260420,0.0,2.361665446472853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,291080,0.0,0.0,0.0,0.0,0.16339869281045752,0.0,0.0,0.0,0.0,0.0
7,292010,0.0,0.0,5.066882853668423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,310670,0.0,0.0,0.0,0.0,0.2427166792474812,0.0,0.0,0.0,0.0,0.0
9,312410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6624274766013332,0.0
10,314070,0.0,3.2596649064476173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,314330,0.0,0.0,0.0,0.0,0.0,0.25913583382137245,0.27011258292456297,0.0,0.0,0.0
12,314520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,316553,0.0,0.0,0.0,3.3457124694703735,0.0,0.0,0.0,0.0,0.0,0.0
14,320060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5835120262484823
15,320500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2517458575219145
16,330455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016231007489473787
17,330490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20349357774268642
18,350210,0.0,0.0,0.0,3.4934497816593884,0.0,0.0,0.0,0.0,0.0,0.0
19,350280,0.0,0.0,0.5159213323152486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,352680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6150131623572732,0.0,0.0
21,353710,0.0,0.0,0.0,0.0,0.0,0.0,2.3520556966788972,0.0,0.0,0.0
22,353980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,354870,0.0,0.0,0.24323739239785855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,355030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009098974918584647
25,355220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1705579462094349,0.17351712266966504
26,410442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.646726487205052,0.0,0.0
27,411995,0.0,3.9380931752845276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,510760,0.43695408049568074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,521570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,530010,0.03361680140840951,0.0,0.033588426234441845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
