,MUNCOD,RATE_15,RATE_14,RATE_13,RATE_12,RATE_11,RATE_10,RATE_09,RATE_08
0,150240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,150730,0.0,0.0,0.0,0.0,0.0,1.0953742346072535,0.0,0.0
2,160050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,210540,1.505275992353198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,210760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,231290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,240260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,260170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,260460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,260580,0.0,0.0,0.0,0.0,0.0,7.0269130770852355,0.0,0.0
10,260760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,260860,7.773027594247959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,261160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,261230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,280480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,291072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,291840,0.4580348472911819,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,292265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,310400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,310620,0.0,0.0,0.040336161570528786,0.0,0.0,0.0,0.0,0.0
20,310740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,312870,0.0,1.9340863376141109,0.0,0.0,0.0,0.0,0.0,0.0
22,313670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,317020,0.0,0.0,0.0,0.1614111205805635,0.0,0.0,0.0,0.0
24,320190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,330190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,330270,0.0,0.0,0.0,0.0,0.7612957253245023,0.0,0.0,0.0
27,330411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,330550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,330630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,350050,0.0,0.0,0.0,0.0,0.0,0.0,6.119576525304448,0.0
31,350230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,350400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,350650,0.0,0.0,0.0,0.9016563427015427,0.0,0.0,0.0,0.0
34,351640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,352250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,352390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,352700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,353060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,353190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,354520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,354730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,354850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,354990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,354995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,355030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,355220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,355540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,355700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9577351479221936
49,410040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,410420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,410430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,420290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,420910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20321031658135222
54,421360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,430510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,431680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,432150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,510025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,510267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,520140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,521760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,530010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
