,MUNCOD,RATE_17,RATE_16,RATE_13,RATE_10,RATE_08
0,130260,0.0,0.0,0.0,0.05547773262506761,0.0
1,261450,0.0,1.5678896205707118,0.0,0.0,0.0
2,292530,0.6696847124373845,0.0,0.0,0.0,0.0
3,352340,0.0,0.0,0.0,0.0,1.0260409185118302
4,353800,0.0,0.0,0.6366912429486445,0.0,0.0
