,MUNCOD,RATE_15,RATE_14,RATE_13,RATE_12,RATE_11,RATE_10,RATE_09,RATE_08
0,110002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,110004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,110010,0.0,0.0,0.0,0.0,4.769399532598846,0.0,0.0,0.0
3,110012,0.7667594445594583,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,110015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,110018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,110020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,110030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,110037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,110120,0.0,0.0,0.0,0.0,0.0,9.658103148541626,0.0,0.0
10,110147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,110149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,110150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,120001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,120010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,120030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.104625892579944
16,120040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,120045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,120050,0.0,2.4368846866166294,0.0,0.0,0.0,0.0,0.0,0.0
19,120070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,130250,0.0,0.0,0.0,0.0,0.0,1.1744808794512824,0.0,0.0
21,130260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,130353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,130370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,130426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,140010,0.31180428668533333,0.0,0.0,0.0,0.0,0.0,0.0,0.38324454834629973
26,140040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
