,QUANTIDADE_RATE,SUICIDE_RATE,MUNCOD
1547,17.117425539198905,17.117425539198905,411860
1548,7.04324552753909,7.0432455275390895,411880
1549,9.008197459688315,9.008197459688317,411890
1550,74.9175906502847,14.983518130056936,411900
1551,20.858279578199234,3.0901154930665533,411915
1552,18.563207722294415,12.37547181486294,411930
1553,7.912331368437711,3.9561656842188553,411940
1554,19.489378288832587,5.568393796809311,411950
1555,28.111822583164145,6.2470716851475885,411960
1556,21.59982720138239,21.59982720138239,411980
1557,10.745443351184322,5.517930369527083,411990
1558,19.690465876422635,3.938093175284528,411995
1559,85.93526210254942,28.64508736751647,412015
1560,18.258170531312764,18.258170531312768,412035
1561,24.940047961630693,13.429256594724224,412060
1562,30.903712860359366,4.414816122908482,412080
1563,8.943743851176102,8.943743851176102,412090
1564,8.116883116883116,8.116883116883116,412100
1565,37.36721293973203,5.338173277104575,412120
1566,29.220968967330954,11.688387586932382,412140
1567,33.62851698240108,14.94600754773381,412170
1568,22.12878955521133,7.376263185070443,412190
1569,3.0765444253015013,3.0765444253015013,412220
1570,8.860796880999498,2.9535989603331663,412230
1571,7.72487099465439,9.269845193585267,412240
1572,25.660764690787786,8.553588230262596,412340
1573,9.33184023889511,18.66368047779022,412385
1574,21.74669450243563,4.349338900487127,412405
1575,19.149751053236308,19.149751053236308,412400
1576,6.547502127938192,2.1825007093127304,412410
1577,34.72566722889176,19.843238416509575,412440
1578,30.840400925212027,15.420200462606013,412540
1579,11.706175007316359,4.22722986375313,412550
1580,6.608220626459316,15.419181461738402,412560
1581,7.283055970285132,3.6415279851425666,412570
1582,28.96451846488052,14.48225923244026,412620
1583,18.050349858251664,10.617852857795095,412625
1584,10.286478424111506,5.143239212055753,412630
1585,29.256875365710943,9.752291788570314,412660
1586,7.7643770381489725,1.2940628396914955,412710
1587,5.885468777588135,5.885468777588135,412720
1588,34.038690645033185,11.346230215011065,412740
1589,4.863340142009532,9.726680284019064,412750
1590,10.329206569375378,11.067007038616476,412770
1591,32.637075718015666,32.637075718015666,412785
1592,25.09095471082675,12.545477355413375,412788
1593,29.325513196480937,7.331378299120233,412796
1594,12.732481469692146,5.456777772725206,412810
1595,21.04266400126256,12.274887334069824,412820
1596,13.000520020800833,26.001040041601662,412860
1597,24.42002442002442,24.420024420024422,412865
1598,15.108783239323127,20.1450443190975,412850
1599,9.450902561194594,18.901805122389188,420020
1600,18.39249586168843,36.78499172337686,420030
1601,41.89359028068706,41.89359028068706,420055
1602,15.878056525881233,31.756113051762465,420060
1603,14.177157763411593,5.670863105364638,420130
1604,23.84145432871405,19.37118164208017,420140
1605,56.116722783389456,56.11672278338946,420160
1606,30.731407498463426,30.731407498463426,420180
1607,17.58087201125176,17.58087201125176,420190
1608,24.303305249513933,16.202203499675957,420195
1609,19.38548027527382,9.69274013763691,420205
1610,3.696365733211107,5.914185173137771,420200
1611,28.81014116969173,19.20676077979449,420207
1612,13.708645585816122,9.139097057210748,421280
1613,7.199164896871963,7.199164896871962,420210
1614,15.862944162436547,47.588832487309645,420213
1615,10.517142942997086,10.517142942997086,420230
1616,11.47733370060801,11.190400358092813,420240
1617,10.208248264597795,20.41649652919559,420260
1618,3.0629747610879683,36.755697133055634,420280
1619,26.961445133459154,26.961445133459158,420285
1620,10.868046391032308,5.434023195516153,420290
1621,16.812591337635634,11.639486310670822,420300
1622,3.810443154538873,5.0805908727184965,420320
1623,41.625041625041625,8.325008325008326,420330
1624,19.602352282273873,25.203024362923557,420360
1625,8.372404554588078,8.372404554588076,420370
1626,12.866937485065161,5.5144017793136415,420380
1627,66.59563132658498,8.879417510211331,420390
1628,8.23113013416742,16.462260268334838,420395
1629,56.4334085778781,9.405568096313015,420400
1630,13.128343625016996,7.501910642866856,420420
1631,12.161011796181443,6.080505898090721,420425
1632,14.912019087384433,13.5563809885313,420430
1633,69.42837306179125,23.142791020597087,420435
1634,9.871668311944719,19.74333662388944,420440
1635,7.486150621350502,7.486150621350503,420455
1636,5.204169012485274,12.773869394282038,420460
1637,27.132133490096773,18.08808899339785,420470
1638,5.0548450689986355,15.164535206995904,420480
1639,22.32142857142857,22.32142857142857,420520
1640,9.306654257794323,18.61330851558865,420530
1641,11.114816049794376,9.26234670816198,420540
1642,11.543789441280591,7.695859627520393,420545
1643,16.54670306941342,11.031135379608946,420550
1644,29.67711301044634,10.386989553656221,420590
1645,7.027900766041184,7.027900766041183,420600
1646,15.29753709652746,15.297537096527462,420610
1647,8.77654906090925,26.32964718272775,420620
1648,8.798169980644026,13.19725497096604,420630
1649,2.3325247247620826,6.997574174286248,420650
1650,19.45903872348706,19.45903872348706,420660
1651,84.51299387280794,21.128248468201985,420665
1652,84.65891369246536,13.367196898810317,420670
1653,30.59975520195838,61.19951040391676,420680
1654,5.34159500026708,32.04957000160248,420690
1655,10.939921597228553,10.939921597228553,420700
1656,7.216569242981887,14.433138485963775,420710
1657,9.459842966606754,9.459842966606754,420720
1658,6.806425265450586,9.075233687267447,420730
1659,21.05358136457284,13.534445162939685,420750
1660,43.84042086804033,21.920210434020166,420760
1661,9.722897423432181,19.445794846864363,420780
1662,18.599460615642144,23.249325769552684,420810
1663,7.995672929943796,9.406674035227995,420820
1664,4.903002271724386,3.2686681811495903,420830
1665,11.988251513516753,5.994125756758376,420840
1666,10.333247222939809,5.1666236114699045,420845
1667,12.184225489399724,24.368450978799448,420850
1668,20.48445741793414,5.121114354483535,420880
1669,8.780402142418122,8.780402142418122,420890
1670,50.66198324777088,6.754931099702783,420900
1671,7.797919515073378,8.837642117083162,420910
1672,10.094127741186565,6.308829838241603,420930
1673,4.41393922005694,6.62090883008541,420940
1674,6.6010957818997955,13.202191563799591,420960
