,QUANTIDADE_RATE,SUICIDE_RATE,MUNCOD
0,1383.8109839996855,11.793843613633685,110001
1,854.3965824136704,7.11997152011392,110037
2,578.5044941671448,4.781028877414419,110040
3,1217.5695188411198,9.315757603987144,110002
4,353.4473926851757,2.561212990472288,110045
5,557.2755417956656,15.479876160990713,110060
6,1417.9669404679855,5.649270679155321,110004
7,269.2626346313173,13.808340237503453,110070
8,1155.7033167102036,7.915776141850709,110080
9,1154.2321846771497,5.576000892160144,110005
10,1198.9049372226941,9.440196356084208,110092
11,833.9199653435858,10.83012942004657,110006
12,708.4614356369469,4.45573229960344,110094
13,1038.449894035725,9.08265213442325,110009
14,2278.1395544877873,8.42974858274852,110010
15,1440.819029550214,8.949186518945428,110011
16,1281.4038155683024,3.7688347516714784,110012
17,960.9158486363283,2.5900696728742005,110013
18,799.4778919889052,8.157937673356178,110130
19,451.00704312368714,6.178178672927222,110140
20,1011.6337885685382,4.598335402584265,110014
21,1571.4236267349695,6.922571042885328,110033
22,835.7377375385535,19.898517560441746,110050
23,1144.3949797530117,7.545461404964914,110015
24,1889.5692623058528,13.140259125909962,110018
25,1693.9526717439685,6.160527957245937,110020
26,1175.1943590670764,4.51997830410414,110025
27,2128.8152223429233,10.512667764656413,110028
28,1812.7348430994211,5.077688636132833,110149
29,1736.9008725859146,4.135478268061701,110032
30,608.3958629081322,20.279862096937737,110155
31,828.193832599119,8.810572687224669,110160
32,724.858843277888,7.630093087135662,110170
33,1732.719857785214,5.228484785109275,110030
34,682.9470198675497,20.6953642384106,120013
35,2550.168236063034,7.261988332405412,120020
36,2208.7658592848907,11.534025374855824,120025
37,469.7156983930779,12.360939431396787,120030
38,1747.6270240089336,5.583472920156337,120033
39,1789.331532748143,56.26828719333784,120034
40,1374.6491780743456,5.7277049086431076,120080
41,2161.2077935964408,8.084643610653995,120040
42,1875.3332251558913,9.272352163935183,120050
43,2453.527883270038,9.994003597841298,120060
44,1678.2216353031804,22.009464069549903,120070
45,2445.3105355795824,6.286145335680161,130002
46,578.1889343533179,35.58085749866572,130006
47,1261.328599458096,9.343174810800711,130014
48,1327.805185262937,20.99296735593576,130020
49,1355.2968316332049,7.20902570017662,130040
50,1604.2102593367572,3.1703760065943825,130050
51,1197.7062111350383,24.19608507343512,130060
52,59.51414813612509,5.410377103284099,130068
53,2197.448501872659,5.852059925093633,130070
54,1284.5396478102834,7.057910152803755,130100
55,2167.2447559047687,2.3595479106203254,130120
56,1470.4196285255675,20.06420545746389,130140
57,2082.9058075107737,10.260619741432382,130150
58,3238.598810310641,5.084142559357366,130160
59,2165.4833935897195,3.746511061573909,130170
60,1233.2591257641614,7.067387540195766,130180
61,569.5361444512414,2.1093931275971904,130185
62,2389.4886534340135,3.0043864041500585,130190
63,73.81889763779527,24.606299212598422,130195
64,1854.9346016646848,23.78121284185493,130210
65,1339.9254800802523,7.165376898824879,130220
66,2881.6986855409505,12.639029322548026,130230
67,84.70609215131182,4.4582153763848344,130240
68,2355.3804685880154,3.1100974497200915,130250
69,1844.1376280123027,4.17788593338666,130260
70,2256.7993313187167,3.214813862277374,130290
71,183.90930800691717,5.489830089758722,130310
72,2334.141541921428,4.392437978775741,130340
73,867.704055070284,2.8923468502342797,130353
74,408.16326530612247,4.207868714496107,130360
75,3102.925243770314,26.002166847237266,130370
76,1604.8302022310509,44.89035530716226,130380
77,1074.9862012773674,2.628328120482561,130390
78,474.58159817710384,22.00047143867368,130406
79,239.82152816508645,11.154489682097044,130410
80,3497.202560423082,4.837071314554748,130420
81,701.3201320132013,5.8934464875058925,130430
82,1405.8871524508882,18.828845791752965,140005
83,1738.7543252595156,43.25259515570934,140002
84,2832.9618697668816,7.2284802120354215,140010
85,3700.293009627459,33.48681456676434,140015
86,2405.6408129406886,17.775671031581442,140017
87,2207.4531212912416,23.73605506764776,140030
88,5139.393939393939,16.161616161616163,140045
89,2385.256069466596,3.5442140705298595,140047
90,1303.145978675793,26.32618138738976,140060
91,2572.1838145587635,20.333468889792602,140070
92,1691.876385447907,1.3039509714434738,150010
93,1789.4114167406092,1.8485655131617864,150020
94,389.1684465843681,1.810085798066828,150040
95,1897.8761861726164,9.03750564844103,150050
96,1615.291425494683,8.973841252748239,150060
97,1376.7858976818452,2.7128786161218628,150080
98,1846.4702463450617,2.2354361335896638,150090
99,1486.6594466870138,3.281808933083916,150095
100,1186.2936456300151,2.1687269572760792,150120
101,1951.481145309019,3.300602359930687,150130
102,1240.674114750994,2.823156771272658,150140
103,1217.4618818482231,5.797437532610585,150145
104,1674.044925397606,1.6396130513198883,150150
105,1319.852273415269,6.054368226675546,150157
106,1831.959028538298,1.6105134316820202,150170
107,3186.0575941180477,27.231261488188444,150172
108,1130.9468174595756,3.115555970963018,150178
109,2517.618323055978,6.006246496356209,150180
110,743.6185388654505,3.0351777096548997,150195
111,2201.3422818791946,4.47427293064877,150210
112,2725.7334776695257,5.551392011546894,150215
113,1309.0096798212955,2.978406552494416,150220
114,1616.3644092536351,5.633716255320021,150240
115,753.6879173734728,6.441777071568144,150270
116,1357.9327336274566,5.729673981550451,150277
117,2215.5867423111376,2.9859659599880564,150280
118,1196.810800571714,3.444059857760328,150293
119,1173.5376383315092,12.161011796181445,150295
120,1919.376076167325,10.128633647320976,150304
121,1039.337263671478,2.541166903842244,150309
122,1525.706566365587,5.297592244324956,150320
123,1105.4517409258158,1.6067612513456626,150345
124,1215.546364411328,3.157263284185268,150350
125,1964.0084041289851,13.194888503192148,150360
126,2382.4295818339747,12.408487405385284,150375
