,COUNTS,MUNCOD
455,21,354880
456,1,354890
457,1,354950
458,1,354960
459,23,354970
460,4,354980
461,14,354990
462,6,354995
463,1053,355030
464,1,355060
465,1,355100
466,1,355130
467,2,355150
468,3,355170
469,1,355210
470,3,355220
471,5,355240
472,30,355250
473,3,355260
474,4,355270
475,50,355280
476,1,355300
477,1,355370
478,5,355410
479,1,355450
480,1,355620
481,10,355645
482,2,355670
483,6,355700
484,1,355710
485,5,410040
486,1,410115
487,5,410140
488,3,410150
489,2,410160
490,1,410180
491,1,410200
492,1,410290
493,1,410345
494,1,410370
495,1,410395
496,4,410420
497,6,410425
498,1,410465
499,6,410480
500,1,410490
501,1,410520
502,3,410580
503,3,410640
504,1,410660
505,48,410690
506,3,410765
507,1,410830
508,1,410840
509,2,410880
510,2,410895
511,11,410940
512,1,410960
513,2,411007
514,1,411050
515,4,411070
516,3,411095
517,1,411125
518,2,411180
519,3,411210
520,1,411320
521,19,411370
522,1,411440
523,2,411520
524,1,411550
525,1,411560
526,2,411570
527,1,411660
528,1,411700
529,1,411722
530,3,411730
531,6,411770
532,5,411840
533,4,411850
534,7,411915
535,1,411920
536,2,411930
537,1,411940
538,3,411950
539,1,411960
540,22,411990
541,4,411995
542,1,412015
543,2,412060
544,1,412080
545,1,412170
546,1,412240
547,1,412330
548,1,412410
549,1,412510
550,1,412520
551,1,412540
552,6,412550
553,1,412575
554,4,412625
555,1,412630
556,2,412680
557,9,412710
558,2,412810
559,3,412820
560,1,412860
561,5,412870
562,1,420120
563,2,420200
564,1,420207
565,7,420240
566,1,420280
567,1,420290
568,1,420320
569,6,420460
570,1,420470
571,11,420540
572,1,420545
573,1,420580
574,1,420650
575,2,420670
576,3,420700
577,2,420750
578,4,420820
579,1,420830
580,1,420840
581,1,420845
582,2,420890
583,12,420910
584,2,420930
585,3,421010
586,1,421120
587,5,421190
588,1,421265
589,1,421360
590,1,421370
591,1,421400
592,2,421480
593,1,421530
594,5,421580
595,6,421660
596,1,421720
597,7,421830
598,3,421870
599,1,421880
600,1,421900
