,COUNTS,MUNCOD
0,115,110001
1,9,110040
2,21,110034
3,21,110002
4,2,110045
5,2,110003
6,1,110060
7,19,110004
8,8,110070
9,2,110080
10,2,110090
11,3,110005
12,4,110092
13,5,110006
14,3,110007
15,35,110008
16,27,110094
17,5,110009
18,11,110010
19,1,110110
20,36,110011
21,122,110012
22,19,110013
23,8,110120
24,8,110130
25,4,110140
26,22,110014
27,13,110033
28,2,110143
29,16,110050
30,48,110015
31,5,110145
32,100,110018
33,10,110020
34,20,110025
35,10,110147
36,1,110026
37,55,110028
38,43,110029
39,10,110149
40,34,110032
41,11,110150
42,1,110155
43,4,110160
44,3,110175
45,3,110180
46,76,110030
47,4,120010
48,14,120020
49,2,120025
50,3,120030
51,3,120033
52,9,120034
53,2,120035
54,13,120038
55,1,120039
56,5,120040
57,1,120042
58,3,120050
59,3,120045
60,23,120060
61,1,120070
62,2,130002
63,2,130006
64,4,130008
65,31,130014
66,1,130030
67,13,130050
68,8,130068
69,25,130080
70,1,130083
71,4,130100
72,6,130110
73,1,130115
74,6,130120
75,1,130130
76,8,130140
77,4,130165
78,8,130170
79,10,130180
80,1,130185
81,26,130190
82,2,130200
83,3,130210
84,1,130220
85,15,130230
86,1,130240
87,31,130250
88,5,130255
89,420,130260
90,17,130270
91,4,130280
92,7,130290
93,6,130300
94,12,130310
95,5,130320
96,1,130330
97,45,130340
98,4,130350
99,3,130353
100,5,130356
101,4,130360
102,10,130370
103,7,130380
104,9,130390
105,1,130400
106,2,130406
107,11,130420
108,14,130426
109,3,130440
110,4,140005
111,114,140010
112,4,140015
113,2,140017
114,1,140020
115,14,140023
116,2,140028
117,4,140030
118,2,140040
119,3,140045
120,9,140047
121,7,140050
122,1,140060
123,1,140070
124,51,150010
125,16,150013
126,13,150020
127,24,150030
128,5,150034
129,110,150040
130,30,150050
131,11,150060
132,43,150070
133,251,150080
134,29,150090
135,57,150095
136,74,150120
137,4,150125
138,17,150130
139,205,150140
140,5,150150
141,51,150157
142,2,150160
143,30,150170
144,4,150172
145,15,150178
146,6,150180
147,5,150190
148,32,150200
149,1,150195
150,18,150210
151,2,150215
152,7,150220
153,34,150230
154,15,150240
155,4,150250
156,1,150270
157,16,150275
158,28,150276
159,39,150277
160,63,150280
161,2,150285
162,8,150290
163,36,150293
164,64,150295
165,21,150300
166,68,150304
167,18,150307
168,39,150309
169,2,150310
170,5,150320
171,106,150330
172,3,150340
173,123,150345
174,119,150350
175,3,150360
176,4,150370
177,24,150375
178,45,150380
179,18,150390
180,15,150400
181,67,150405
182,2,150410
183,6,150420
184,13,150430
185,2,150440
186,9,150442
