,QUANTIDADE,MUNCOD
0,1,110005
1,3,110009
2,3,110011
3,1,110014
4,1,110018
5,3,110020
6,11,120040
7,1,120045
8,3,130190
9,11,130260
10,1,130290
11,1,140010
12,2,150060
13,1,150130
14,4,150140
15,1,150180
16,1,150195
17,3,150530
18,1,150540
19,9,150550
20,3,150553
21,2,150660
22,1,150680
23,1,150810
24,1,150820
25,1,150830
26,2,160027
27,1,160060
28,1,170210
29,6,172100
30,1,171610
31,9,210060
32,3,210360
33,2,210750
34,1,210860
35,1,210923
36,1,211120
37,11,211130
38,1,211210
39,1,220253
40,1,220340
41,1,220780
42,1,220987
43,1,221063
44,2,221100
45,1,230070
46,1,230190
47,1,230220
48,1,230240
49,1,230250
50,1,230370
51,1,230428
52,2,230430
53,15,230440
54,1,230500
55,1,230540
56,1,230730
57,1,231123
58,1,231220
59,2,231290
60,2,231340
61,1,240010
62,1,240100
63,1,240300
64,1,240450
65,1,240710
66,1,240720
67,8,240810
68,1,240325
69,1,241120
70,8,250400
71,1,250750
72,1,260005
73,1,260010
74,1,260190
75,3,260290
76,1,260345
77,1,260400
78,2,260410
79,1,260520
80,1,260590
81,1,260640
82,3,260680
83,1,260760
84,4,260790
85,2,260830
86,1,260960
87,1,260970
88,3,261070
89,1,261080
90,3,261110
91,16,261160
92,1,261180
93,1,261260
94,1,261350
95,2,261460
96,1,261485
97,2,261540
98,1,261550
99,2,270030
100,2,270110
101,1,270430
102,1,280210
103,1,280270
104,1,290110
105,1,290280
106,1,290320
107,1,290460
108,1,290490
109,1,290850
110,1,291080
111,4,291470
112,3,291480
113,1,291640
114,1,291770
115,2,291800
116,1,291835
117,1,291920
118,1,292050
119,1,292170
120,3,292230
121,1,292250
122,1,292310
123,1,292600
124,20,292740
125,1,292820
126,2,292870
127,1,293010
128,1,293030
129,1,293135
130,1,293250
131,1,293290
132,3,293330
133,9,310030
134,2,310150
135,2,310160
136,3,310190
137,1,310205
138,1,310210
139,4,310230
140,1,310380
141,1,310400
142,1,310560
143,6,310590
144,179,310620
145,55,310670
146,1,310740
147,1,310800
148,6,310930
149,1,310940
150,1,310960
151,4,310270
152,2,310990
153,2,311340
154,1,311360
155,1,311530
156,1,311580
157,8,311770
158,1,311800
159,3,311830
160,32,311860
161,1,311870
162,3,311900
163,1,312040
164,1,312160
165,2,312320
166,9,312410
167,6,312420
168,1,312480
169,1,312570
170,1,312600
171,8,312610
172,1,312740
173,1,312760
174,2,312770
175,3,312810
176,1,312860
177,1,312965
178,2,312980
179,2,313010
180,1,313080
181,4,313130
182,6,313190
183,5,313330
184,1,313350
185,1,313380
186,1,313420
187,1,313460
188,3,313510
189,1,313550
190,6,313620
191,2,313630
192,1,313665
193,8,313670
194,1,313720
195,4,313760
196,2,313770
197,17,313820
198,2,313870
199,1,314000
200,1,314015
201,1,314060
202,6,314330
203,2,314390
204,1,314460
205,2,314470
206,4,314480
207,4,314490
208,7,314520
209,1,313660
210,1,314600
211,2,314610
212,2,314710
213,1,314700
214,1,314720
215,16,314740
216,2,314790
217,1,314800
218,2,314810
219,1,314830
220,1,314990
221,1,315015
222,7,315120
223,2,315150
224,12,315180
225,11,315210
226,1,315220
227,5,315290
228,1,315340
229,6,315420
230,10,315460
231,1,315540
232,1,315560
233,1,315570
234,13,315670
235,1,315733
236,1,315737
237,10,315780
238,1,315960
239,1,316110
240,1,316165
241,1,316210
242,1,316292
243,1,316370
244,9,316510
245,1,316540
246,1,316553
247,6,316720
248,2,316790
249,5,316810
250,1,316860
251,9,316870
252,1,316890
253,1,316930
254,1,316990
255,4,317010
256,7,317020
257,1,317040
258,3,317070
259,9,317120
260,1,320060
261,1,320120
262,1,320190
263,1,320210
264,5,320280
265,2,320320
266,1,320380
267,1,320530
268,9,330040
269,4,330045
270,1,330090
271,1,330110
272,1,330130
273,9,330170
274,2,330190
275,1,330200
276,1,330210
277,2,330220
278,1,330240
279,1,330285
280,2,330290
281,4,330330
282,1,330340
283,1,330370
284,7,330385
285,1,330390
286,1,330400
287,1,330414
288,2,330420
289,25,330455
290,3,330490
291,1,330510
292,1,330550
293,1,330570
294,9,330580
295,1,330590
296,5,330620
297,8,350040
298,2,350080
299,11,350110
300,1,350130
301,4,350160
302,6,350170
303,1,350200
304,1,350220
305,16,350280
306,1,350310
307,1,350320
308,4,350390
309,8,350410
310,2,350450
311,11,350570
312,2,350590
313,4,350600
314,3,350650
315,1,350660
316,1,350710
317,1,350745
318,2,350750
319,7,350760
320,1,350780
321,1,350870
322,10,350900
323,2,350925
324,9,350950
325,1,350960
326,1,351040
327,1,351050
328,38,351060
329,7,351110
330,1,351230
331,55,351300
332,2,351310
333,1,351340
334,10,351380
335,2,351440
336,16,351500
337,1,351510
338,8,351518
339,1,351535
340,3,351550
341,6,351620
342,13,351630
343,11,351640
344,3,351840
345,1,351860
346,5,351870
347,42,351880
348,3,351907
349,1,351960
350,14,351970
351,2,352050
352,3,352160
353,1,352190
354,27,352220
355,3,352230
356,21,352250
357,1,352270
358,22,352310
359,4,352340
360,1,352350
361,1,352390
362,1,352400
363,2,352410
364,1,352430
365,2,352440
366,2,352480
367,6,352500
368,3,352530
369,6,352590
370,1,352680
371,1,352690
372,5,352720
373,1,352810
374,3,352840
375,1,352850
376,4,352900
377,22,352940
378,2,353010
379,2,353050
380,9,353060
381,3,353070
382,18,353080
383,7,353110
384,4,353130
385,1,353210
386,6,353430
387,67,353440
388,1,353480
389,1,353510
390,4,353550
391,1,353580
392,1,353670
393,1,353770
394,1,353780
395,1,353800
396,1,353860
397,15,353870
398,1,354060
399,9,354100
400,1,354105
401,12,354140
402,5,354150
403,1,354160
404,2,354330
405,9,354340
406,1,354380
407,1,354410
408,1,354350
409,1,354500
410,1,354520
411,3,354560
412,1,354580
413,1,354750
414,1,354730
415,53,354780
416,2,354790
417,9,354810
418,21,354850
419,26,354870
420,26,354880
421,3,354890
422,4,354910
423,2,354940
424,9,354970
425,12,354980
426,10,354990
427,1,355020
428,925,355030
429,2,355060
430,2,355100
431,1,355110
432,1,355150
433,4,355170
434,1,355220
435,1,355240
436,30,355250
437,1,355260
438,4,355270
439,40,355280
440,1,355340
441,1,355370
442,1,355500
443,1,355510
444,1,355540
445,1,355600
446,1,355620
447,3,355630
448,1,355640
449,10,355645
450,1,355670
451,1,355700
452,1,355710
453,3,410040
454,1,410060
455,2,410140
456,1,410180
457,1,410370
458,2,410420
459,5,410425
460,1,410465
461,7,410480
462,3,410490
463,1,410530
464,1,410580
465,52,410690
466,2,410765
467,10,410830
468,1,410860
469,11,410940
470,2,410960
471,1,410970
472,1,411050
473,1,411200
474,1,411320
475,7,411370
476,1,411470
477,5,411520
478,1,411570
479,1,411575
480,1,411580
481,1,411610
482,1,411620
483,1,411820
484,2,411840
485,3,411850
486,7,411915
487,11,411990
488,1,412060
489,2,412240
490,1,412300
491,1,412470
492,3,412550
493,1,412610
494,1,412620
495,6,412625
496,1,412680
497,1,412700
498,2,412710
499,2,412730
500,1,412760
501,2,412796
502,1,412800
503,2,412810
504,3,412820
505,1,412870
506,1,420120
507,1,420200
508,1,420210
509,1,420230
510,10,420240
511,1,420245
512,3,420290
513,2,420320
514,2,420340
515,1,420380
516,1,420395
517,3,420460
518,1,420480
519,1,420530
520,2,420540
521,1,420550
522,1,420580
523,1,420670
524,1,420700
525,2,420710
526,1,420730
527,1,420750
528,4,420810
529,1,420820
530,1,420840
531,3,420890
532,8,420910
533,2,420930
534,1,420960
535,2,421010
536,1,421120
537,1,421160
538,1,421190
539,2,421210
540,2,421480
541,4,421500
542,1,421550
543,1,421635
544,2,421660
545,1,421720
546,1,421770
547,7,421870
548,1,421950
549,4,430060
550,1,430090
551,5,430160
552,1,430210
553,1,430230
554,1,430235
555,2,430300
556,3,430350
557,5,430460
558,1,430463
559,1,430465
560,1,430466
561,11,430470
562,3,430490
563,10,430510
564,1,430530
565,3,430570
566,2,430590
567,2,430600
568,4,430610
569,2,430620
570,2,430676
571,7,430700
572,2,430705
573,1,430760
574,1,430770
575,1,430783
576,1,430805
577,1,430820
578,2,430850
579,1,430920
580,2,430930
581,2,431000
582,2,431020
583,1,431050
584,1,431100
585,1,431125
586,2,431140
587,1,431173
588,1,431180
589,1,431240
590,1,431242
591,1,431265
592,2,431320
593,3,431340
594,1,431350
595,5,431370
596,1,431390
597,3,431405
598,11,431410
599,5,431440
600,30,431490
601,3,431560
602,1,431610
603,1,431710
604,7,431680
605,3,431690
606,2,431830
607,2,431870
608,1,431890
609,1,431920
610,1,431990
611,3,432000
612,1,432035
613,1,432060
614,2,432080
615,2,432090
616,2,432130
617,1,432143
618,1,432150
619,1,432160
620,5,432250
621,1,432255
622,5,432260
623,1,432300
624,1,432320
625,1,500100
626,1,500210
627,4,500270
628,1,500325
629,2,500769
630,2,510025
631,1,510125
632,1,510140
633,1,510160
634,1,510250
635,1,510320
636,1,510340
637,1,510525
638,2,510560
639,1,510704
640,2,510760
641,1,510805
642,1,520010
643,1,520110
644,3,520130
645,1,520140
646,1,520470
647,1,520540
648,10,520549
649,1,520580
650,26,520870
651,1,520880
652,1,521150
653,1,521210
654,2,521250
655,1,521380
656,1,521440
657,4,521523
658,12,521760
659,1,521770
660,4,521880
661,1,521975
662,1,522020
663,2,522140
664,14,522185
665,548,530010
