,QUANTIDADE,MUNCOD
0,1,110001
1,2,110034
2,10,110002
3,1,110045
4,5,110004
5,1,110006
6,2,110094
7,4,110011
8,5,110013
9,3,110140
10,1,110050
11,2,110015
12,2,110145
13,8,110018
14,1,110146
15,33,110020
16,3,110028
17,1,110029
18,2,110149
19,2,110032
20,1,120010
21,1,120020
22,2,120038
23,2,120039
24,6,120040
25,1,120050
26,1,120060
27,8,120070
28,1,130068
29,1,130100
30,3,130170
31,28,130260
32,1,130280
33,1,130290
34,1,130300
35,1,130320
36,1,130340
37,1,130380
38,1,130420
39,2,130426
40,20,140010
41,1,140020
42,1,140070
43,7,150010
44,5,150020
45,1,150040
46,3,150060
47,11,150080
48,6,150120
49,3,150130
50,17,150140
51,1,150150
52,2,150160
53,9,150170
54,6,150180
55,2,150200
56,1,150210
57,1,150215
58,19,150220
59,2,150240
60,1,150275
61,1,150293
62,2,150304
63,1,150307
64,10,150330
65,4,150345
66,1,150360
67,5,150420
68,3,150442
69,1,150445
70,1,150450
71,5,150470
72,1,150480
73,2,150490
74,1,150506
75,4,150543
76,8,150553
77,1,150570
78,1,150620
79,1,150650
80,11,150660
81,2,150670
82,9,150730
83,6,150745
84,4,150747
85,1,150760
86,16,150780
87,1,150790
88,1,150797
89,1,150810
90,2,150820
91,5,150830
92,2,160030
93,1,170035
94,1,170040
95,1,170070
96,1,170100
97,1,170110
98,18,170210
99,6,170230
100,1,170305
101,1,170388
102,2,170700
103,1,170825
104,6,170950
105,1,171070
106,1,171150
107,1,171190
108,1,171195
109,1,171200
110,1,171250
111,1,171320
112,23,172100
113,1,171610
114,3,171630
115,2,171650
116,1,171720
117,5,171750
118,1,171790
119,1,171820
120,1,171840
121,1,171845
122,1,172025
123,1,172085
124,1,172120
125,3,210005
126,1,210015
127,1,210020
128,8,210047
129,17,210060
130,1,210070
131,3,210083
132,6,210090
133,5,210095
134,19,210120
135,1,210130
136,4,210140
137,1,210150
138,3,210180
139,1,210193
140,2,210200
141,2,210210
142,7,210220
143,1,210230
144,1,210235
145,4,210270
146,1,210310
147,1,210312
148,1,210317
149,1,210320
150,1,210330
151,34,210350
152,17,210370
153,1,210375
154,2,210405
155,6,210407
156,1,210440
157,3,210455
158,7,210460
159,2,210465
160,6,210467
161,1,210490
162,1,210500
163,1,210515
164,24,210530
165,3,210535
166,2,210540
167,1,210542
168,3,210545
169,3,210547
170,1,210560
171,4,210610
172,2,210632
173,3,210660
174,3,210680
175,1,210700
176,2,210750
177,9,210760
178,1,210770
179,1,210790
180,2,210810
181,2,210820
182,9,210825
183,1,210840
184,1,210845
