,QUANTIDADE,MUNCOD
0,1,110004
1,1,110010
2,2,110011
3,2,110012
4,2,110018
5,1,110020
6,2,110025
7,1,110028
8,1,110030
9,4,130260
10,1,150180
11,1,150220
12,1,150553
13,1,150660
14,1,150730
15,2,150790
16,1,170130
17,2,170210
18,1,171820
19,1,210090
20,1,210545
21,1,210850
22,1,211110
23,1,211120
24,4,211130
25,1,220190
26,1,220270
27,1,220275
28,1,220370
29,1,220390
30,7,220770
31,15,230440
32,1,230550
33,1,230765
34,1,231160
35,1,231380
36,2,231400
37,1,240150
38,1,240310
39,3,240810
40,1,240940
41,1,241030
42,1,260190
43,3,260290
44,3,260345
45,1,260410
46,1,260460
47,1,260500
48,1,260600
49,1,260620
50,1,260730
51,6,260790
52,1,260860
53,1,260950
54,5,260960
55,1,260970
56,2,261070
57,1,261153
58,6,261160
59,1,261245
60,1,261320
61,1,261370
62,1,261470
63,3,261530
64,1,261580
65,2,270430
66,1,290350
67,2,290515
68,2,291072
69,2,291280
70,1,291290
71,1,291350
72,1,291360
73,1,291390
74,1,291480
75,1,291610
76,1,291880
77,1,292575
78,1,292630
79,17,292740
80,1,293330
81,1,310150
82,6,310400
83,48,310620
84,2,310670
85,5,310730
86,1,310850
87,1,310860
88,2,311060
89,1,311070
90,1,311670
91,1,311730
92,1,312090
93,3,312360
94,4,312770
95,2,312870
96,2,312980
97,1,313130
98,1,313600
99,2,313670
100,2,314070
101,4,314330
102,1,314410
103,1,314600
104,1,315250
105,1,315450
106,4,315460
107,2,315490
108,1,315670
109,1,315770
110,1,315780
111,1,316220
112,2,316250
113,1,316292
114,2,316720
115,1,316920
116,1,317010
117,2,317020
118,1,320020
119,1,320050
120,1,320150
121,1,320320
122,1,320360
123,1,320455
124,3,320500
125,1,320510
126,1,330010
127,5,330030
128,1,330040
129,2,330045
130,2,330070
131,1,330100
132,2,330170
133,10,330180
134,1,330185
135,1,330205
136,1,330220
137,1,330240
138,2,330250
139,2,330270
140,1,330330
141,1,330350
142,4,330390
143,1,330400
144,19,330455
145,1,330490
146,1,330510
147,1,330550
148,1,330555
149,3,330580
150,1,330610
151,1,330630
152,1,350130
153,1,350210
154,1,350220
155,1,350290
156,2,350320
157,1,350370
158,2,350410
159,2,350450
160,2,350460
161,1,350550
162,1,350650
163,1,350840
164,6,350950
165,1,350980
166,1,351020
167,1,351050
168,1,351060
169,8,351110
170,1,351120
171,1,351300
172,1,351340
173,4,351380
174,1,351390
175,1,351510
176,1,351570
177,3,351620
178,1,351820
179,1,351830
180,1,351840
181,1,351870
182,3,351880
183,1,351907
184,1,351920
185,1,351960
186,1,352050
187,1,352130
188,2,352190
189,2,352340
190,1,352480
191,2,352500
192,2,352510
193,4,352530
194,5,352590
195,1,352690
196,1,352880
197,1,352900
198,2,352970
199,1,353020
200,2,353060
201,3,353070
202,1,353080
203,1,353340
204,1,353350
205,3,353390
206,1,353440
207,1,353500
208,1,353520
209,1,353570
210,1,353660
211,1,353810
212,1,353870
213,2,353900
214,1,353980
215,1,354140
216,25,354340
217,1,354560
218,1,354660
219,1,354730
220,16,354780
221,2,354850
222,2,354870
223,2,354890
224,10,354980
225,82,355030
226,1,355060
227,2,355090
228,1,355210
229,3,355220
230,1,355260
231,3,355280
232,1,355370
233,1,355500
234,2,355600
235,2,355620
236,4,410140
237,5,410150
238,1,410160
239,2,410165
240,1,410180
241,1,410210
242,1,410300
243,1,410420
244,1,410430
245,1,410465
246,1,410470
247,2,410480
248,2,410490
249,1,410580
250,2,410640
251,2,410650
252,12,410690
253,1,410765
254,1,410785
255,1,410860
256,1,410940
257,2,411007
258,1,411130
259,1,411140
260,1,411150
261,1,411280
262,1,411325
263,1,411350
264,4,411370
265,1,411430
266,1,411480
267,2,411540
268,1,411580
269,2,411740
270,1,411770
271,1,411840
272,2,411850
273,4,411915
274,3,411950
275,1,411970
276,6,411990
277,1,412060
278,1,412080
279,1,412210
280,2,412230
281,1,412490
282,2,412550
283,5,412625
284,1,412630
285,1,412635
286,2,412750
287,3,412810
288,1,420010
289,1,420040
290,1,420240
291,3,420290
292,1,420300
293,1,420350
294,1,420395
295,2,420420
296,1,420430
297,1,420450
298,1,420475
299,2,420540
300,1,420630
301,6,420820
302,2,420840
303,3,420910
304,1,420930
305,2,420940
306,1,420985
307,3,421010
308,1,421040
309,1,421100
310,1,421150
311,4,421170
312,1,421190
313,1,421470
314,1,421560
315,1,421567
316,1,421600
317,1,421660
318,2,421690
319,1,421720
320,1,421790
321,1,421870
322,1,421920
323,1,421970
324,1,430010
325,6,430060
326,1,430064
327,2,430140
328,1,430160
329,1,430200
330,1,430260
331,1,430410
332,1,430450
333,2,430470
334,1,430511
335,2,430520
336,1,430535
337,1,430610
338,5,430700
339,1,430705
340,1,430750
341,1,430850
342,1,430910
343,3,430920
344,1,430940
345,1,431010
346,1,431036
347,2,431050
348,1,431057
349,1,431110
350,1,431120
351,1,431160
352,1,431173
353,1,431390
354,1,431400
355,3,431410
356,1,431460
357,2,431470
358,1,431480
359,18,431490
360,3,431515
361,1,431550
362,3,431560
363,1,431630
364,4,431640
365,1,431647
366,1,431710
367,1,431670
368,2,431680
369,2,431690
370,1,431720
371,1,431750
372,1,431780
373,1,431800
374,1,431830
375,2,431843
376,2,431870
377,1,431900
378,2,432000
379,1,432080
380,1,432120
381,1,432145
382,3,432147
383,1,432180
384,1,432195
