,QUANTIDADE,MUNCOD
397,5,230650
398,2,230660
399,3,230690
400,2,230700
401,1,230720
402,2,230725
403,5,230730
404,1,230740
405,3,230760
406,1,230763
407,61,230765
408,14,230770
409,1,230780
410,1,230810
411,1,230837
412,3,230870
413,6,230910
414,1,230930
415,2,230945
416,3,230950
417,20,230960
418,13,230970
419,3,230980
420,3,230990
421,1,231000
422,7,231020
423,1,231050
424,1,231085
425,4,231130
426,1,231150
427,2,231160
428,6,231180
429,2,231230
430,6,231240
431,4,231290
432,1,231300
433,7,231310
434,2,231330
435,1,231340
436,12,231350
437,2,231355
438,1,231375
439,3,231380
440,1,231410
441,2,240010
442,8,240020
443,1,240050
444,1,240060
445,1,240080
446,5,240100
447,12,240110
448,1,240140
449,4,240145
450,2,240150
451,2,240170
452,2,240200
453,15,240220
454,6,240260
455,1,240310
456,2,240350
457,15,240360
458,1,240370
459,2,240380
460,1,240420
461,5,240440
462,3,240450
463,4,240470
464,4,240485
465,3,240510
466,2,240540
467,2,240580
468,2,240600
469,2,240610
470,1,240615
471,1,240670
472,1,240690
473,20,240710
474,5,240720
475,1,240740
476,3,240770
477,4,240780
478,100,240800
479,319,240810
480,1,240820
481,16,240830
482,1,240870
483,2,240890
484,35,240325
485,1,240910
486,6,240930
487,9,240940
488,1,240970
489,1,240980
490,3,240990
491,3,241090
492,2,240895
493,1,241120
494,2,241170
495,23,241200
496,1,241220
497,2,241250
498,2,241255
499,2,241270
500,8,241290
501,5,241030
502,2,241360
503,3,241390
504,1,241400
505,5,241440
506,1,241480
507,1,250020
508,6,250030
509,1,250040
510,1,250057
511,9,250060
512,2,250080
513,1,250090
514,3,250100
515,2,250110
516,1,250120
517,2,250130
518,3,250140
519,1,250150
520,1,250157
521,54,250180
522,1,250200
523,1,250220
524,4,250240
525,9,250300
526,27,250320
527,2,250350
528,1,250370
529,70,250400
530,1,250415
531,1,250435
532,3,250440
533,7,250460
534,9,250490
535,2,250510
536,1,250520
537,1,250527
538,1,250570
539,2,250580
540,16,250600
541,3,250610
542,8,250630
543,7,250640
544,4,250690
545,1,250710
546,1,250730
547,1,250740
548,280,250750
549,1,250760
550,1,250770
551,4,250790
552,1,250830
553,1,250860
554,17,250890
555,5,250910
556,2,250930
557,1,250939
558,2,250970
559,1,251040
560,13,251080
561,1,251090
562,1,251100
563,1,251110
564,10,251120
565,5,251140
566,3,251150
567,2,251190
568,3,251200
569,3,251210
570,7,251250
571,3,251270
572,6,251290
573,1,251300
574,4,251315
575,1,251320
576,14,251340
577,46,251370
578,2,251390
579,1,251450
580,2,251445
581,2,251490
582,5,251500
583,12,251530
584,1,251580
585,14,251593
586,5,251600
587,1,251610
588,14,251620
589,1,251640
590,1,251650
591,1,251660
592,1,251690
593,1,251700
594,1,251720
595,1,251740
596,42,260005
597,2,260010
598,5,260040
599,2,260050
600,10,260070
601,6,260090
602,2,260100
603,16,260105
604,1,260110
605,12,260140
606,2,260160
607,6,260170
608,6,260220
609,1,260230
610,2,260240
611,6,260260
612,1,260270
613,71,260290
614,1,260310
615,1,260340
616,89,260345
617,2,260350
618,2,260370
619,18,260400
620,13,260410
621,2,260415
622,12,260420
623,1,260430
624,1,260440
625,6,260450
626,10,260460
627,2,260480
628,2,260490
629,1,260510
630,17,260520
631,10,260540
632,1,260570
633,5,260590
634,6,260600
635,3,260610
636,50,260620
637,4,260640
638,1,260670
639,50,260680
640,3,260690
641,2,260760
642,1,260700
643,21,260720
644,8,260765
645,2,260775
646,359,260790
647,1,260810
648,4,260820
649,3,260825
650,2,260830
651,1,260840
652,5,260850
653,2,260845
654,1,260900
655,1,260930
656,15,260940
657,3,260950
658,342,260960
659,3,260990
660,27,261000
661,4,261050
662,8,261060
663,153,261070
664,2,261080
665,7,261090
666,1,261100
667,8,261110
668,4,261130
669,5,261140
670,1412,261160
671,14,261180
672,12,261190
673,5,261220
674,7,261250
675,3,261270
676,3,261290
677,1,261300
678,3,261310
679,1,261330
680,1,261350
681,35,261370
682,9,261390
683,3,261410
684,12,261420
685,4,261450
686,4,261485
687,2,261500
688,1,261520
689,9,261530
690,2,261540
691,4,261550
692,5,261560
693,1,261610
694,2,261620
695,1,261630
696,40,261640
697,1,261650
698,1,270020
699,19,270030
700,3,270040
701,5,270050
702,1,270060
703,1,270080
704,1,270110
705,1,270130
706,2,270140
707,2,270150
708,1,270160
709,3,270170
710,1,270190
711,3,270200
712,2,270210
713,1,270220
714,2,270230
715,1,270235
716,1,270240
717,4,270280
718,1,270290
719,3,270300
720,2,270310
721,2,270320
722,1,270350
723,3,270380
724,1,270390
725,3,270400
726,268,270430
727,6,270450
728,11,270470
729,1,270500
730,2,270510
731,3,270550
732,2,270560
733,1,270620
734,6,270630
735,2,270644
736,2,270650
737,1,270660
738,2,270680
739,14,270690
740,3,270710
741,2,270720
742,5,270730
743,3,270750
744,3,270770
745,1,270790
746,4,270830
747,12,270850
748,12,270860
749,2,270870
