,QUANTIDADE,MUNCOD
0,2,110001
1,1,110037
2,15,110002
3,2,110045
4,2,110003
5,2,110060
6,12,110004
7,1,110070
8,2,110080
9,1,110090
10,9,110005
11,6,110006
12,3,110007
13,1,110008
14,1,110094
15,2,110009
16,4,110010
17,3,110110
18,8,110011
19,3,110012
20,2,110013
21,2,110033
22,4,110050
23,12,110015
24,10,110145
25,20,110018
26,1,110146
27,27,110020
28,2,110025
29,4,110147
30,1,110026
31,37,110028
32,2,110148
33,5,110149
34,7,110032
35,1,110175
36,54,110030
37,7,120020
38,2,120025
39,2,120030
40,1,120033
41,16,120034
42,2,120038
43,1,120080
44,1,120039
45,19,120040
46,1,120042
47,30,120050
48,2,120045
49,3,120060
50,15,120070
51,1,130006
52,1,130050
53,1,130068
54,3,130070
55,2,130080
56,1,130165
57,1,130170
58,1,130180
59,1,130185
60,1,130210
61,3,130250
62,25,130260
63,5,130290
64,4,130300
65,9,130340
66,4,130370
67,1,130395
68,1,130400
69,5,130410
70,5,130420
71,17,140010
72,1,140015
73,1,140017
74,1,140020
75,1,140030
76,1,140040
77,2,140047
78,2,140050
79,28,150010
80,7,150020
81,7,150030
82,1,150040
83,7,150070
84,8,150080
85,2,150085
86,2,150090
87,1,150110
88,7,150130
89,54,150140
90,4,150157
91,5,150160
92,15,150170
93,2,150175
94,1,150178
95,16,150180
96,1,150200
97,1,150195
98,2,150215
99,20,150220
100,9,150240
101,1,150250
102,1,150275
103,4,150277
104,1,150285
105,1,150293
106,5,150310
107,1,150330
108,5,150345
109,2,150360
110,1,150370
111,5,150375
112,2,150380
113,20,150405
114,3,150420
115,1,150430
116,2,150442
117,1,150445
118,17,150450
119,1,150470
120,11,150480
121,15,150490
122,1,150497
123,4,150506
124,2,150510
125,3,150520
126,1,150530
127,11,150548
128,4,150550
129,15,150553
130,1,150555
131,1,150560
132,2,150563
133,8,150565
134,6,150570
135,1,150600
136,1,150618
137,1,150619
138,2,150620
139,2,150650
140,16,150660
141,15,150670
142,6,150680
143,1,150690
144,1,150715
145,5,150730
146,12,150747
147,6,150775
148,16,150780
149,5,150795
150,13,150803
151,79,150805
152,3,150810
153,1,150820
154,20,150830
155,1,150840
156,1,160010
157,1,160027
158,5,160030
159,4,160050
160,1,170030
161,5,170035
162,2,170110
163,2,170190
164,18,170210
165,2,170220
166,3,170230
167,1,170255
168,1,170300
169,2,170320
170,1,170382
171,1,170388
172,1,170390
173,2,170550
174,1,170610
175,1,170650
176,1,170730
177,1,170755
178,4,170820
179,4,170930
180,7,170950
181,1,171050
182,1,171150
183,2,171195
184,1,171200
185,4,171320
186,4,171330
187,2,171420
188,2,171430
189,3,171488
190,7,171510
191,72,172100
192,4,171610
193,2,171630
194,2,171650
195,3,171660
196,6,171820
197,3,171865
198,2,171870
199,1,172020
200,1,172030
201,1,172049
202,1,172090
203,1,172110
204,1,172125
205,1,172130
206,1,172210
207,6,210005
208,6,210047
209,3,210060
210,1,210070
211,2,210090
212,6,210095
213,87,210120
214,14,210140
215,7,210160
216,1,210177
217,3,210180
218,1,210193
219,4,210200
220,2,210207
221,1,210210
222,7,210220
223,10,210230
224,3,210232
225,1,210235
226,1,210255
227,1,210270
228,1,210290
229,1,210300
230,20,210310
231,2,210312
232,1,210315
233,1,210320
234,1,210325
235,2,210330
236,2,210350
237,4,210360
238,1,210370
239,1,210375
240,1,210380
241,1,210400
242,2,210405
243,2,210408
244,1,210409
245,11,210440
246,1,210455
247,1,210460
248,2,210467
249,1,210470
250,5,210480
251,1,210490
252,4,210510
253,3,210515
254,53,210530
255,7,210535
256,5,210540
257,3,210542
258,2,210590
259,1,210632
260,1,210650
261,5,210660
262,1,210670
263,3,210690
264,1,210700
265,2,210720
266,1,210735
267,1,210740
268,7,210750
269,6,210760
270,3,210770
271,1,210800
272,1,210805
273,2,210810
274,10,210820
275,7,210825
276,5,210840
277,1,210845
278,3,210850
279,1,210860
280,13,210900
281,4,210910
282,2,210920
283,2,210927
284,2,210945
285,1,210950
286,3,210970
287,7,210980
288,4,210990
289,18,211000
290,1,211003
291,1,211010
292,2,211050
293,1,211060
294,1,211070
295,7,211085
296,2,211105
297,6,211110
298,9,211120
299,1,211125
300,59,211130
301,2,211140
302,3,211150
303,9,211160
304,6,211163
305,3,211170
306,1,211172
307,2,211176
308,1,211178
309,3,211180
310,4,211195
311,9,211210
312,2,211220
313,4,211223
314,3,211227
315,2,211230
316,1,211245
317,2,211250
318,1,211270
319,4,211290
320,3,211400
321,1,220027
322,2,220040
323,1,220095
324,12,220120
325,1,220150
326,1,220208
327,4,220220
328,3,220260
329,1,220275
330,1,220390
331,1,220420
332,1,220510
333,1,220550
334,1,220580
335,1,220620
336,1,220660
337,1,220690
338,4,220700
339,1,220740
340,15,220770
341,1,220793
342,2,220800
343,1,220820
344,2,220830
345,1,220840
346,2,220890
347,1,220910
348,1,220965
349,1,221000
350,4,221040
351,1,221065
352,1,221070
353,1,221080
354,32,221100
355,5,221110
356,7,221120
357,3,221130
358,12,230020
359,1,230030
360,1,230040
361,1,230090
362,1,230120
363,1,230180
364,1,230185
365,2,230190
366,1,230210
367,1,230220
368,3,230250
369,2,230270
370,1,230280
371,1,230310
372,1,230330
373,3,230365
374,7,230370
375,3,230380
376,1,230395
377,10,230420
378,1,230428
379,1,230430
380,45,230440
381,1,230460
382,1,230465
383,1,230490
