,MUNCOD,QUANTIDADE
0,110001,16
1,110037,12
2,110040,25
3,110034,7
4,110002,60
5,110045,126
6,110003,5
7,110060,51
8,110004,24
9,110070,30
10,110080,32
11,110090,4
12,110005,253
13,110092,2
14,110006,15
15,110007,16
16,110008,1
17,110094,55
18,110009,118
19,110100,6
20,110010,96
21,110110,10
22,110011,138
23,110012,72
24,110013,94
25,110120,7
26,110130,7
27,110140,27
28,110014,72
29,110033,7
30,110143,9
31,110050,4
32,110015,56
33,110145,15
34,110018,44
35,110146,7
36,110020,317
37,110025,43
38,110147,1
39,110026,2
40,110028,84
41,110029,2
42,110148,17
43,110149,7
44,110032,4
45,110150,5
46,110155,3
47,110160,4
48,110170,14
49,110175,21
50,110180,45
51,110030,18
52,110000,2
53,120001,143
54,120005,2
55,120010,62
56,120013,15
57,120017,23
58,120020,578
59,120025,181
60,120030,2
61,120032,1
62,120033,17
63,120034,1
64,120035,5
65,120038,125
66,120080,38
67,120040,359
68,120042,43
69,120043,1
70,120050,16
71,120045,8
72,120060,4
73,120070,196
74,130002,7
75,130010,1
76,130014,1
77,130030,2
78,130040,4
79,130060,17
80,130063,13
81,130068,6
82,130070,17
83,130080,39
84,130083,1
85,130090,3
86,130100,36
87,130115,1
88,130120,245
89,130130,58
90,130165,79
91,130170,50
92,130180,5
93,130185,26
94,130190,26
95,130195,1
96,130200,1
97,130210,2
98,130230,1
99,130240,15
100,130250,15
101,130260,2501
102,130270,1
103,130280,3
104,130290,46
105,130310,10
106,130320,13
107,130330,36
108,130340,24
109,130350,1
110,130353,1
111,130356,1
112,130380,69
113,130406,106
114,130410,97
115,130420,306
116,130440,2
117,140005,2
118,140002,4
119,140010,194
120,140015,10
121,140017,5
122,140020,15
123,140023,1
124,140028,5
125,140030,11
126,140045,1
127,140047,8
128,140050,22
129,140060,4
130,140070,1
131,150010,161
132,150013,7
133,150020,3
134,150030,9
135,150034,176
136,150040,43
137,150050,7
138,150060,50
139,150070,3
140,150080,73
141,150085,577
142,150090,5
143,150095,6
144,150100,1
145,150110,1
146,150120,2
147,150125,12
148,150130,37
149,150140,246
150,150145,10
151,150150,2
152,150157,1
153,150160,4
154,150170,33
155,150172,7
156,150175,3
157,150178,341
158,150180,6
159,150190,1
160,150195,23
161,150210,12
162,150215,27
163,150220,19
164,150230,144
165,150240,54
166,150250,3
167,150260,3
168,150270,137
169,150275,3
170,150276,15
171,150277,2
172,150280,3
173,150285,1
174,150290,5
175,150293,7
176,150295,2
177,150304,7
178,150307,5
179,150309,141
180,150310,5
181,150320,1
182,150330,2
183,150340,4
184,150345,9
185,150350,6
186,150360,44
187,150370,13
188,150375,1
189,150380,99
190,150390,19
191,150400,33
192,150420,462
193,150430,27
194,150440,2
195,150442,100
196,150445,44
197,150460,3
198,150470,1
199,150475,13
200,150480,5
201,150490,2
202,150495,63
203,150497,6
204,150500,6
205,150503,64
206,150506,145
207,150510,3
208,150520,4
209,150530,35
210,150540,1
211,150543,71
212,150548,286
213,150549,68
214,150550,43
215,150553,1110
216,150555,44
217,150565,1
218,150600,1
219,150610,6
220,150611,6
221,150613,119
222,150616,39
223,150618,76
224,150619,27
225,150620,2
226,150630,3
227,150640,1
228,150650,2
229,150655,13
230,150658,94
231,150660,3
232,150670,20
233,150680,4
234,150690,9
235,150700,7
236,150710,5
237,150715,10
238,150720,2
239,150730,50
240,150740,20
241,150745,222
242,150746,1
243,150747,31
244,150750,92
245,150760,1
246,150775,3
247,150780,8
248,150790,101
249,150795,7
250,150796,2
251,150800,4
252,150803,2
253,150805,1
254,150808,5
255,150810,420
256,150812,1
257,150820,182
258,150830,2
259,150835,22
