,MUNCOD,OSTEOPOROSE,INSUFICIENCIA_RENAL,INSUFICIENCIA_CARDIACA,HIPERTENSAO_ESSENCIAL,ESCLEROSE_MULTIPLA,EPILEPSIA,ENXAQUECA,DPOC,DORSOPATIAS,DOENCA_DE_PARKINSON,DIABETES_MELLITUS,CANCER,ASMA,AIDS,RATE
1389,314350,11.346873936230567,90.77499148984454,113.46873936230568,22.693747872461135,0.0,11.346873936230567,0.0,124.81561329853626,34.040621808691704,0.0,136.16248723476681,34.040621808691704,0.0,22.693747872461135,34.040621808691704
1390,314390,10.193113162089032,97.29789836539531,505.9490715000556,19.459579673079062,0.0,50.96556581044516,2.779939953297009,35.21257274176211,21.312872975277067,0.0,70.42514548352422,188.1092701730976,13.899699766485043,25.019459579673075,8.339819859891026
1391,314400,7.269555103227682,18.173887758069206,567.0252980517593,0.0,0.0,3.634777551613841,0.0,563.3905205001454,7.269555103227682,0.0,109.04332654841522,79.9651061355045,348.93864495492875,0.0,3.634777551613841
1392,314410,0.0,47.571476142904714,375.8146615289473,47.571476142904714,0.0,14.271442842871414,14.271442842871414,285.4288568574283,19.028590457161886,0.0,204.55734741449027,114.17154274297131,61.84291898577613,4.757147614290472,4.757147614290472
1393,314430,11.959433601224646,59.79716800612322,208.09414466130883,38.27018752391887,0.0,14.351320321469576,0.0,74.1484883275928,2.3918867202449294,0.0,98.0673555300421,26.31075392269422,4.783773440489859,0.0,7.175660160734787
1394,314437,0.0,0.0,29.57704821058858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.15409642117716,0.0,0.0,29.57704821058858
1395,314450,11.720581340834507,82.04406938584154,93.76465072667605,0.0,0.0,0.0,0.0,105.48523206751054,0.0,0.0,35.16174402250352,140.64697609001408,23.441162681669013,0.0,23.44116268166901
1396,314460,22.241168402713424,44.48233680542685,315.0832190384402,92.67153501130592,3.7068614004522367,37.06861400452237,3.7068614004522367,263.18715943210884,7.413722800904473,0.0,129.7401490158283,140.86073321718501,55.60292100678356,0.0,11.120584201356714
1397,314470,16.67037119359858,61.12469437652812,100.02222716159147,50.01111358079574,0.0,38.89753278506335,0.0,50.01111358079574,5.556790397866193,0.0,88.90864636585908,50.01111358079574,16.67037119359858,5.556790397866193,5.556790397866193
1398,314480,12.078753472641623,64.78604135325962,125.17980871646773,3.2942054925386244,8.784547980102998,43.92273990051499,1.0980684975128747,29.647849432847618,6.588410985077249,0.0,47.21694539305362,49.413082388079374,49.413082388079374,25.25557544279612,7.686479482590125
1399,314520,8.66438504527141,23.827058874496384,31.408395789108866,0.0,4.332192522635705,4.332192522635705,0.0,30.325347658449942,3.2491443919767793,0.0,32.491443919767796,72.56422475414807,7.581336914612486,3.2491443919767793,5.415240653294632
1400,314530,3.1403090064062305,18.841854038437383,144.4542142946866,169.57668634593642,0.0,200.97977640999875,0.0,56.52556211531214,0.0,0.0,160.15575932671774,53.385253108905914,194.69915839718627,0.0,9.420927019218693
1401,314537,0.0,94.66111321469141,283.9833396440742,18.93222264293828,0.0,37.86444528587656,0.0,94.66111321469141,0.0,0.0,56.79666792881485,37.86444528587656,37.86444528587656,0.0,18.93222264293828
1402,314540,52.826201796090864,0.0,264.13100898045434,0.0,0.0,0.0,0.0,211.30480718436345,0.0,0.0,0.0,52.826201796090864,0.0,0.0,52.826201796090864
1403,314560,2.3958408203358967,103.02115527444356,162.91717578284099,28.75008984403076,0.0,28.75008984403076,0.0,153.3338125014974,9.583363281343587,0.0,86.25026953209229,105.41699609477946,35.93761230503845,2.3958408203358967,7.18752246100769
1404,314590,18.134245226807597,75.1275873682029,88.08061967306547,5.181212921945027,0.0,20.72485168778011,0.0,64.76516152431284,0.0,0.0,28.49667107069765,88.08061967306547,10.362425843890055,0.0,2.5906064609725137
1405,314600,11.920016688023363,92.38012933218107,172.84024197633877,92.38012933218107,0.0,104.30014602020442,8.940012516017523,238.40033376046725,89.40012516017522,0.0,113.24015853622195,83.44011681616355,14.900020860029203,0.0,2.9800041720058412
1406,314610,13.448813814621552,123.72908709451825,221.9054279412556,5.37952552584862,5.37952552584862,41.69132282532681,30.932271773629562,94.14169670235086,13.448813814621552,2.68976276292431,69.93383183603206,80.6928828877293,14.793695196083705,0.0,2.68976276292431
1407,314625,0.0,0.0,555.9968228752979,31.771247021445593,0.0,127.08498808578237,0.0,0.0,31.771247021445593,0.0,31.771247021445593,79.42811755361397,0.0,0.0,15.885623510722795
1408,314630,4.981071926678621,44.82964734010759,139.47001394700138,29.886431560071724,0.0,34.867503486750344,0.0,64.75393504682208,0.0,0.0,99.62143853357243,54.79179119346483,44.82964734010759,0.0,4.981071926678621
1409,314655,0.0,48.598736432852746,129.5966304876073,0.0,0.0,0.0,0.0,0.0,16.199578810950914,0.0,64.79831524380366,16.199578810950914,48.598736432852746,0.0,16.199578810950914
1410,314640,0.0,64.33626420759168,42.89084280506112,21.44542140253056,0.0,21.44542140253056,0.0,0.0,0.0,0.0,0.0,42.89084280506112,0.0,0.0,21.44542140253056
1411,314650,11.94600406164138,71.67602436984828,119.4600406164138,0.0,0.0,0.0,0.0,131.4060446780552,0.0,0.0,11.94600406164138,203.08206904790347,11.94600406164138,0.0,11.94600406164138
1412,314690,12.988699831146901,71.43784907130797,45.46044940901416,0.0,0.0,0.0,0.0,19.483049746720354,0.0,0.0,38.96609949344071,64.94349915573451,12.988699831146901,0.0,25.977399662293802
1413,314710,19.571812241081233,47.84220770042079,77.19992606204265,1.0873229022822908,1.0873229022822908,13.047874827387488,1.0873229022822908,41.31827028672705,18.484489338798944,0.0,43.49291609129163,103.29567571681763,23.921103850210397,6.523937413693744,3.261968706846872
1414,314720,13.962580284836637,41.887740854509914,153.58838313320302,13.962580284836637,0.0,13.962580284836637,0.0,176.8593502745974,9.308386856557759,0.0,88.4296751372987,144.27999627664525,18.616773713115517,0.0,9.30838685655776
1415,314730,0.0,91.12709832134293,148.6810551558753,47.961630695443645,0.0,14.388489208633093,0.0,23.980815347721823,9.592326139088728,0.0,115.10791366906474,91.12709832134293,4.796163069544364,0.0,9.592326139088726
1416,314740,4.119803897334487,115.35450912536562,255.4278416347382,53.557450665348334,12.359411692003462,49.43764676801385,0.0,98.8752935360277,4.119803897334487,0.0,152.432744201376,86.51588184402422,45.31784287067936,8.239607794668974,20.599019486672443
