"Município";"2015";"2016";"2017";"Total"
"150503 Novo Progresso";59;62;49;170
"150506 Novo Repartimento";50;48;26;124
"150510 Óbidos";25;34;45;104
"150520 Oeiras do Pará";20;18;12;50
"150530 Oriximiná";39;38;29;106
"150540 Ourém";35;41;12;88
"150543 Ourilândia do Norte";42;38;74;154
"150548 Pacajá";44;29;37;110
"150549 Palestina do Pará";5;1;18;24
"150550 Paragominas";30;43;34;107
"150553 Parauapebas";74;86;115;275
"150555 Pau D'Arco";20;12;32;64
"150560 Peixe-Boi";1;2;2;5
"150563 Piçarra";30;20;12;62
"150565 Placas";27;17;16;60
"150570 Ponta de Pedras";27;30;30;87
"150580 Portel";17;26;20;63
"150590 Porto de Moz";16;16;12;44
"150600 Prainha";8;10;8;26
"150610 Primavera";3;1;9;13
"150611 Quatipuru";1;1;2;4
"150613 Redenção";53;49;66;168
"150616 Rio Maria";37;44;33;114
"150618 Rondon do Pará";100;107;51;258
"150619 Rurópolis";28;30;24;82
"150620 Salinópolis";36;26;40;102
"150630 Salvaterra";16;12;2;30
"150635 Santa Bárbara do Pará";3;5;2;10
"150640 Santa Cruz do Arari";-;3;1;4
"150650 Santa Izabel do Pará";24;12;34;70
"150655 Santa Luzia do Pará";2;12;4;18
"150658 Santa Maria das Barreiras";14;23;22;59
"150660 Santa Maria do Pará";10;40;27;77
"150670 Santana do Araguaia";56;69;59;184
"150680 Santarém";161;107;101;369
"150690 Santarém Novo";1;5;1;7
"150700 Santo Antônio do Tauá";70;55;35;160
"150710 São Caetano de Odivelas";-;5;1;6
"150715 São Domingos do Araguaia";6;2;9;17
"150720 São Domingos do Capim";24;18;23;65
"150730 São Félix do Xingu";103;114;98;315
"150740 São Francisco do Pará";4;4;4;12
"150745 São Geraldo do Araguaia";63;54;53;170
"150746 São João da Ponta";1;-;1;2
"150747 São João de Pirabas";39;37;30;106
"150750 São João do Araguaia";15;15;5;35
"150760 São Miguel do Guamá";52;34;77;163
"150770 São Sebastião da Boa Vista";11;5;7;23
"150775 Sapucaia";6;21;9;36
"150780 Senador José Porfírio";13;18;19;50
"150790 Soure";10;28;28;66
"150795 Tailândia";27;35;19;81
"150796 Terra Alta";3;2;3;8
"150797 Terra Santa";11;15;6;32
"150800 Tomé-Açu";62;34;42;138
"150803 Tracuateua";56;95;87;238
"150805 Trairão";29;20;34;83
"150808 Tucumã";52;102;119;273
"150810 Tucuruí";42;44;33;119
"150812 Ulianópolis";96;137;165;398
"150815 Uruará";53;44;124;221
"150820 Vigia";59;49;37;145
"150830 Viseu";68;90;41;199
"150835 Vitória do Xingu";19;17;9;45
"150840 Xinguara";27;42;29;98
"160010 Amapá";7;10;10;27
"160020 Calçoene";3;4;4;11
"160021 Cutias";-;1;2;3
"160023 Ferreira Gomes";1;2;1;4
"160027 Laranjal do Jari";23;33;29;85
"160030 Macapá";179;166;124;469
"160040 Mazagão";6;3;3;12
"160050 Oiapoque";2;1;13;16
"160015 Pedra Branca do Amapari";-;8;8;16
"160053 Porto Grande";10;5;10;25
"160060 Santana";52;33;49;134
"160005 Serra do Navio";1;-;-;1
"160070 Tartarugalzinho";1;-;2;3
"160080 Vitória do Jari";5;4;4;13
"170030 Aguiarnópolis";2;6;5;13
"170035 Aliança do Tocantins";2;3;3;8
"170040 Almas";1;2;-;3
"170070 Alvorada";21;21;17;59
"170100 Ananás";6;5;13;24
"170105 Angico";1;1;-;2
"170110 Aparecida do Rio Negro";4;4;5;13
"170130 Aragominas";3;9;3;15
"170190 Araguacema";6;13;10;29
"170200 Araguaçu";17;19;10;46
"170210 Araguaína";149;147;99;395
"170215 Araguanã";2;12;14;28
"170220 Araguatins";21;34;17;72
"170230 Arapoema";9;4;10;23
"170240 Arraias";2;2;2;6
"170255 Augustinópolis";32;29;11;72
"170270 Aurora do Tocantins";2;2;2;6
"170290 Axixá do Tocantins";16;20;1;37
"170300 Babaçulândia";7;4;3;14
"170305 Bandeirantes do Tocantins";1;-;4;5
"170307 Barra do Ouro";1;-;-;1
"170310 Barrolândia";-;-;1;1
"170320 Bernardo Sayão";5;1;2;8
"170330 Bom Jesus do Tocantins";7;5;6;18
"170360 Brasilândia do Tocantins";1;1;1;3
