"Município";"2015";"2016";"2017";"Total"
"220090 Aroazes";9;7;11;27
"220095 Aroeiras do Itaim";4;3;-;7
"220100 Arraial";5;1;3;9
"220105 Assunção do Piauí";6;2;1;9
"220110 Avelino Lopes";6;11;8;25
"220115 Baixa Grande do Ribeiro";3;1;4;8
"220117 Barra D'Alcântara";2;7;2;11
"220120 Barras";119;83;68;270
"220130 Barreiras do Piauí";1;1;3;5
"220140 Barro Duro";3;1;3;7
"220150 Batalha";93;64;61;218
"220155 Bela Vista do Piauí";-;1;1;2
"220157 Belém do Piauí";-;-;1;1
"220160 Beneditinos";7;10;14;31
"220170 Bertolínia";6;2;6;14
"220173 Betânia do Piauí";3;4;1;8
"220177 Boa Hora";2;7;6;15
"220180 Bocaina";4;18;13;35
"220190 Bom Jesus";99;67;67;233
"220191 Bom Princípio do Piauí";4;2;2;8
"220192 Bonfim do Piauí";9;11;13;33
"220194 Boqueirão do Piauí";17;21;24;62
"220196 Brasileira";8;3;2;13
"220198 Brejo do Piauí";2;5;4;11
"220200 Buriti dos Lopes";9;6;10;25
"220202 Buriti dos Montes";2;-;2;4
"220205 Cabeceiras do Piauí";26;9;19;54
"220207 Cajazeiras do Piauí";5;2;8;15
"220208 Cajueiro da Praia";4;-;3;7
"220209 Caldeirão Grande do Piauí";10;2;2;14
"220210 Campinas do Piauí";2;3;4;9
"220211 Campo Alegre do Fidalgo";3;-;1;4
"220213 Campo Grande do Piauí";9;3;5;17
"220217 Campo Largo do Piauí";7;5;8;20
"220220 Campo Maior";154;180;153;487
"220225 Canavieira";1;-;-;1
"220230 Canto do Buriti";28;35;35;98
"220240 Capitão de Campos";20;18;9;47
"220245 Capitão Gervásio Oliveira";3;3;2;8
"220250 Caracol";18;11;11;40
"220253 Caraúbas do Piauí";6;-;2;8
"220260 Castelo do Piauí";18;22;33;73
"220265 Caxingó";3;1;4;8
"220270 Cocal";17;22;16;55
"220271 Cocal de Telha";18;17;18;53
"220272 Cocal dos Alves";3;1;3;7
"220273 Coivaras";8;7;2;17
"220275 Colônia do Gurguéia";4;4;8;16
"220277 Colônia do Piauí";20;15;15;50
"220280 Conceição do Canindé";2;1;-;3
"220285 Coronel José Dias";6;8;8;22
"220290 Corrente";49;26;51;126
"220300 Cristalândia do Piauí";2;3;3;8
"220310 Cristino Castro";29;38;40;107
"220320 Curimatá";21;18;24;63
"220323 Currais";9;6;16;31
"220327 Curral Novo do Piauí";1;1;1;3
"220325 Curralinhos";-;1;2;3
"220330 Demerval Lobão";41;36;22;99
"220335 Dirceu Arcoverde";6;11;3;20
"220340 Dom Expedito Lopes";6;2;3;11
"220345 Dom Inocêncio";5;6;8;19
"220342 Domingos Mourão";-;4;-;4
"220350 Elesbão Veloso";47;68;63;178
"220360 Eliseu Martins";2;2;1;5
"220370 Esperantina";94;67;77;238
"220375 Fartura do Piauí";4;14;9;27
"220380 Flores do Piauí";1;3;2;6
"220385 Floresta do Piauí";4;2;4;10
"220390 Floriano";59;51;48;158
"220400 Francinópolis";2;4;5;11
"220410 Francisco Ayres";2;2;3;7
"220415 Francisco Macedo";6;2;1;9
"220420 Francisco Santos";14;3;3;20
"220430 Fronteiras";29;11;15;55
"220435 Geminiano";8;6;3;17
"220440 Gilbués";5;7;6;18
"220450 Guadalupe";70;57;51;178
"220455 Guaribas";-;2;1;3
"220460 Hugo Napoleão";6;3;8;17
"220465 Ilha Grande";5;5;7;17
"220470 Inhuma";25;33;25;83
"220480 Ipiranga do Piauí";10;4;4;18
"220490 Isaías Coelho";3;1;2;6
"220500 Itainópolis";7;8;4;19
"220510 Itaueira";21;26;36;83
"220515 Jacobina do Piauí";1;3;4;8
"220520 Jaicós";4;5;2;11
"220525 Jardim do Mulato";3;2;2;7
"220527 Jatobá do Piauí";8;27;15;50
"220530 Jerumenha";9;4;5;18
"220535 João Costa";3;2;2;7
"220540 Joaquim Pires";23;18;32;73
"220545 Joca Marques";3;8;5;16
"220550 José de Freitas";61;62;45;168
"220551 Juazeiro do Piauí";4;8;3;15
"220552 Júlio Borges";9;8;2;19
"220553 Jurema";5;6;8;19
"220555 Lagoa Alegre";4;3;5;12
"220557 Lagoa de São Francisco";7;4;3;14
"220556 Lagoa do Barro do Piauí";2;3;7;12
"220558 Lagoa do Piauí";2;3;1;6
"220559 Lagoa do Sítio";8;7;13;28
"220554 Lagoinha do Piauí";3;2;9;14
"220560 Landri Sales";7;5;2;14
"220570 Luís Correia";29;30;12;71
"220580 Luzilândia";60;71;39;170
"220585 Madeiro";10;7;-;17
"220590 Manoel Emídio";1;2;5;8
"220595 Marcolândia";5;4;2;11
"220600 Marcos Parente";1;5;4;10
"220605 Massapê do Piauí";4;1;1;6
"220610 Matias Olímpio";5;7;3;15
"220620 Miguel Alves";67;56;79;202
"220630 Miguel Leão";2;2;-;4
"220635 Milton Brandão";5;4;4;13
"220640 Monsenhor Gil";3;5;3;11
"220650 Monsenhor Hipólito";17;4;11;32
"220660 Monte Alegre do Piauí";10;11;11;32
"220665 Morro Cabeça no Tempo";3;2;2;7
"220667 Morro do Chapéu do Piauí";15;10;11;36
"220669 Murici dos Portelas";1;3;3;7
"220670 Nazaré do Piauí";7;6;3;16
"220672 Nazária";3;5;4;12
"220675 Nossa Senhora de Nazaré";16;21;17;54
"220680 Nossa Senhora dos Remédios";16;1;1;18
"220795 Nova Santa Rita";4;3;1;8
"220690 Novo Oriente do Piauí";4;7;5;16
"220695 Novo Santo Antônio";-;3;1;4
"220700 Oeiras";140;108;76;324
"220710 Olho D'Água do Piauí";5;1;2;8
"220720 Padre Marcos";5;3;-;8
"220730 Paes Landim";4;3;8;15
"220735 Pajeú do Piauí";3;1;1;5
"220740 Palmeira do Piauí";4;7;14;25
"220750 Palmeirais";5;3;2;10
"220755 Paquetá";2;2;-;4
"220760 Parnaguá";32;27;31;90
"220770 Parnaíba";154;148;158;460
"220775 Passagem Franca do Piauí";5;3;1;9
"220777 Patos do Piauí";-;4;2;6
"220779 Pau D'Arco do Piauí";-;5;7;12
"220780 Paulistana";26;13;15;54
"220785 Pavussu";3;1;1;5
"220790 Pedro II";95;51;91;237
"220793 Pedro Laurentino";1;-;2;3
"220800 Picos";131;70;34;235
"220810 Pimenteiras";13;17;14;44
"220820 Pio IX";21;9;10;40
"220830 Piracuruca";27;28;14;69
"220840 Piripiri";59;39;22;120
"220850 Porto";26;12;16;54
"220855 Porto Alegre do Piauí";1;1;-;2
"220860 Prata do Piauí";-;2;2;4
"220865 Queimada Nova";-;7;6;13
"220870 Redenção do Gurguéia";20;25;18;63
"220880 Regeneração";73;48;76;197
"220885 Riacho Frio";9;11;4;24
"220887 Ribeira do Piauí";-;7;2;9
"220890 Ribeiro Gonçalves";3;3;-;6
"220900 Rio Grande do Piauí";1;4;2;7
"220910 Santa Cruz do Piauí";1;2;3;6
"220915 Santa Cruz dos Milagres";1;1;1;3
"220920 Santa Filomena";2;1;1;4
"220930 Santa Luz";18;8;13;39
"220937 Santa Rosa do Piauí";11;8;5;24
"220935 Santana do Piauí";7;3;1;11
"220940 Santo Antônio de Lisboa";10;2;3;15
"220945 Santo Antônio dos Milagres";3;1;-;4
"220950 Santo Inácio do Piauí";6;5;9;20
"220955 São Braz do Piauí";12;18;6;36
"220960 São Félix do Piauí";5;4;5;14
"220965 São Francisco de Assis do Piauí";3;4;-;7
"220970 São Francisco do Piauí";2;6;2;10
"220975 São Gonçalo do Gurguéia";-;2;-;2
"220980 São Gonçalo do Piauí";11;8;2;21
"220985 São João da Canabrava";10;9;4;23
"220987 São João da Fronteira";4;-;1;5
"220990 São João da Serra";3;9;13;25
"220995 São João da Varjota";16;15;11;42
"220997 São João do Arraial";13;5;7;25
"221000 São João do Piauí";21;23;33;77
"221005 São José do Divino";4;-;2;6
"221010 São José do Peixe";5;3;2;10
"221020 São José do Piauí";7;1;1;9
"221030 São Julião";12;5;8;25
"221035 São Lourenço do Piauí";9;10;8;27
"221037 São Luis do Piauí";4;2;-;6
"221038 São Miguel da Baixa Grande";4;-;-;4
"221039 São Miguel do Fidalgo";3;4;-;7
"221040 São Miguel do Tapuio";26;24;15;65
"221050 São Pedro do Piauí";57;36;10;103
"221060 São Raimundo Nonato";104;109;90;303
"221062 Sebastião Barros";1;2;1;4
"221063 Sebastião Leal";4;-;2;6
"221065 Sigefredo Pacheco";10;12;13;35
"221070 Simões";3;-;2;5
"221080 Simplício Mendes";11;5;17;33
"221090 Socorro do Piauí";1;1;2;4
"221093 Sussuapara";13;4;3;20
"221095 Tamboril do Piauí";6;3;3;12
"221097 Tanque do Piauí";3;5;2;10
"221100 Teresina";671;589;468;1728
"221110 União";79;78;47;204
"221120 Uruçuí";43;48;58;149
"221130 Valença do Piauí";49;57;87;193
"221135 Várzea Branca";7;7;8;22
"221140 Várzea Grande";6;4;3;13
"221150 Vera Mendes";3;1;-;4
"221160 Vila Nova do Piauí";3;2;1;6
"221170 Wall Ferraz";4;2;-;6
"230010 Abaiara";10;9;10;29
"230015 Acarape";11;5;7;23
"230020 Acaraú";41;23;29;93
"230030 Acopiara";22;36;49;107
"230040 Aiuaba";8;7;4;19
"230050 Alcântaras";-;4;6;10
"230060 Altaneira";3;-;7;10
"230070 Alto Santo";4;7;6;17
"230075 Amontada";21;11;14;46
"230080 Antonina do Norte";2;1;6;9
"230090 Apuiarés";2;4;3;9
"230100 Aquiraz";40;31;33;104
"230110 Aracati";47;37;59;143
"230120 Aracoiaba";38;54;41;133
"230125 Ararendá";2;6;9;17
"230130 Araripe";26;13;9;48
"230140 Aratuba";5;5;2;12
"230150 Arneiroz";3;4;6;13
"230160 Assaré";16;22;23;61
"230170 Aurora";30;20;27;77
"230180 Baixio";2;2;2;6
"230185 Banabuiú";3;7;4;14
"230190 Barbalha";51;54;45;150
"230195 Barreira";8;14;11;33
"230200 Barro";22;12;20;54
"230205 Barroquinha";4;3;10;17
"230210 Baturité";28;44;35;107
"230220 Beberibe";24;31;28;83
"230230 Bela Cruz";11;22;17;50
"230240 Boa Viagem";54;31;34;119
"230250 Brejo Santo";118;109;113;340
"230260 Camocim";32;26;35;93
"230270 Campos Sales";22;20;36;78
"230280 Canindé";29;48;38;115
"230290 Capistrano";10;17;26;53
"230300 Caridade";10;7;5;22
"230310 Cariré";2;1;6;9
"230320 Caririaçu";28;28;35;91
"230330 Cariús";14;7;12;33
"230340 Carnaubal";18;2;14;34
"230350 Cascavel";42;46;40;128
"230360 Catarina";5;3;3;11
"230365 Catunda";10;2;6;18
"230370 Caucaia";64;73;69;206
"230380 Cedro";30;40;24;94
"230390 Chaval";4;3;21;28
"230393 Choró";3;-;4;7
"230395 Chorozinho";2;2;9;13
"230400 Coreaú";5;5;11;21
"230410 Crateús";76;63;40;179
"230420 Crato";209;188;130;527
"230423 Croatá";5;7;6;18
"230425 Cruz";6;3;20;29
"230426 Deputado Irapuan Pinheiro";11;14;17;42
"230427 Ererê";1;3;1;5
"230428 Eusébio";20;10;12;42
"230430 Farias Brito";12;11;14;37
"230435 Forquilha";4;2;2;8
"230440 Fortaleza";803;764;680;2247
"230445 Fortim";7;6;7;20
"230450 Frecheirinha";6;4;3;13
"230460 General Sampaio";1;-;9;10
"230465 Graça";11;5;1;17
"230470 Granja";8;14;9;31
"230480 Granjeiro";-;-;1;1
"230490 Groaíras";5;3;5;13
"230495 Guaiúba";9;18;8;35
"230500 Guaraciaba do Norte";32;25;17;74
"230510 Guaramiranga";3;1;3;7
"230520 Hidrolândia";8;10;7;25
"230523 Horizonte";8;5;8;21
"230526 Ibaretama";6;1;-;7
"230530 Ibiapina";16;7;6;29
"230533 Ibicuitinga";3;2;7;12
"230535 Icapuí";4;2;3;9
"230540 Icó";30;17;42;89
"230550 Iguatu";83;66;62;211
"230560 Independência";14;17;13;44
"230565 Ipaporanga";15;10;19;44
"230570 Ipaumirim";3;2;5;10
"230580 Ipu";21;9;22;52
"230590 Ipueiras";26;15;42;83
"230600 Iracema";9;2;5;16
"230610 Irauçuba";2;9;3;14
"230620 Itaiçaba";1;6;7;14
"230625 Itaitinga";32;25;20;77
"230630 Itapagé";22;33;48;103
"230640 Itapipoca";71;50;36;157
"230650 Itapiúna";9;13;10;32
"230655 Itarema";11;17;25;53
"230660 Itatira";7;11;5;23
"230670 Jaguaretama";6;7;1;14
"230680 Jaguaribara";4;3;3;10
"230690 Jaguaribe";20;9;10;39
"230700 Jaguaruana";24;12;26;62
"230710 Jardim";52;35;15;102
"230720 Jati";4;6;7;17
"230725 Jijoca de Jericoacoara";11;3;10;24
"230730 Juazeiro do Norte";144;156;139;439
"230740 Jucás";13;17;1;31
"230750 Lavras da Mangabeira";27;29;21;77
"230760 Limoeiro do Norte";7;8;28;43
"230763 Madalena";16;14;5;35
"230765 Maracanaú";165;148;181;494
"230770 Maranguape";56;64;61;181
"230780 Marco";6;6;25;37
"230790 Martinópole";2;4;5;11
"230800 Massapê";18;14;8;40
"230810 Mauriti";27;12;30;69
"230820 Meruoca";1;3;8;12
"230830 Milagres";21;18;13;52
"230835 Milhã";6;2;8;16
"230837 Miraíma";3;2;5;10
"230840 Missão Velha";60;67;40;167
"230850 Mombaça";19;24;27;70
"230860 Monsenhor Tabosa";9;14;10;33
"230870 Morada Nova";20;30;33;83
"230880 Moraújo";3;1;1;5
"230890 Morrinhos";3;8;4;15
"230900 Mucambo";23;13;10;46
"230910 Mulungu";11;5;1;17
"230920 Nova Olinda";37;59;22;118
"230930 Nova Russas";37;36;36;109
"230940 Novo Oriente";28;37;21;86
"230945 Ocara";14;7;6;27
"230950 Orós";17;11;24;52
"230960 Pacajus";19;35;25;79
"230970 Pacatuba";29;34;41;104
"230980 Pacoti";10;28;12;50
"230990 Pacujá";6;2;4;12
"231000 Palhano";1;6;1;8
"231010 Palmácia";3;3;4;10
"231020 Paracuru";20;15;16;51
"231025 Paraipaba";6;1;6;13
"231030 Parambu";25;19;27;71
"231040 Paramoti";5;3;4;12
"231050 Pedra Branca";21;13;37;71
"231060 Penaforte";9;11;11;31
"231070 Pentecoste";18;17;23;58
"231080 Pereiro";13;12;6;31
"231085 Pindoretama";8;9;2;19
"231090 Piquet Carneiro";11;7;6;24
"231095 Pires Ferreira";5;-;4;9
"231100 Poranga";9;10;8;27
"231110 Porteiras";8;11;17;36
"231120 Potengi";5;4;3;12
"231123 Potiretama";-;-;1;1
"231126 Quiterianópolis";4;2;4;10
"231130 Quixadá";33;37;36;106
"231135 Quixelô";4;6;21;31
"231140 Quixeramobim";52;50;55;157
"231150 Quixeré";3;8;6;17
"231160 Redenção";38;39;43;120
"231170 Reriutaba";6;1;12;19
"231180 Russas";101;69;76;246
"231190 Saboeiro";7;3;5;15
"231195 Salitre";8;11;1;20
"231220 Santa Quitéria";13;15;21;49
"231200 Santana do Acaraú";11;6;6;23
"231210 Santana do Cariri";16;19;12;47
"231230 São Benedito";27;32;21;80
"231240 São Gonçalo do Amarante";21;23;17;61
"231250 São João do Jaguaribe";-;-;2;2
"231260 São Luís do Curu";2;2;-;4
"231270 Senador Pompeu";21;23;26;70
"231280 Senador Sá";4;4;2;10
"231290 Sobral";86;69;70;225
"231300 Solonópole";15;10;8;33
"231310 Tabuleiro do Norte";17;5;11;33
"231320 Tamboril";15;25;11;51
"231325 Tarrafas";2;5;5;12
"231330 Tauá";84;81;87;252
"231335 Tejuçuoca";4;2;4;10
"231340 Tianguá";60;35;29;124
"231350 Trairi";24;25;20;69
"231355 Tururu";13;5;5;23
"231360 Ubajara";12;9;26;47
"231370 Umari";6;4;9;19
"231375 Umirim";4;8;5;17
"231380 Uruburetama";15;16;6;37
"231390 Uruoca";1;3;1;5
"231395 Varjota";3;6;10;19
"231400 Várzea Alegre";21;18;19;58
"231410 Viçosa do Ceará";38;45;36;119
"240010 Acari";24;28;20;72
"240020 Açu";35;19;40;94
"240030 Afonso Bezerra";3;9;2;14
"240040 Água Nova";1;-;1;2
"240050 Alexandria";17;10;19;46
"240060 Almino Afonso";4;3;7;14
"240070 Alto do Rodrigues";6;11;8;25
"240080 Angicos";11;11;13;35
"240090 Antônio Martins";1;-;4;5
"240100 Apodi";43;40;21;104
"240110 Areia Branca";19;22;27;68
"240120 Arês";5;11;9;25
"240130 Augusto Severo";3;2;3;8
"240140 Baía Formosa";8;9;8;25
"240145 Baraúna";10;8;13;31
"240150 Barcelona";1;9;3;13
"240160 Bento Fernandes";2;2;12;16
"240165 Bodó";-;-;1;1
"240170 Bom Jesus";4;6;5;15
"240180 Brejinho";7;8;12;27
"240185 Caiçara do Norte";10;1;2;13
"240190 Caiçara do Rio do Vento";1;5;6;12
"240200 Caicó";72;86;43;201
"240210 Campo Redondo";7;9;3;19
"240220 Canguaretama";42;25;32;99
"240230 Caraúbas";22;33;34;89
"240240 Carnaúba dos Dantas";6;7;4;17
"240250 Carnaubais";9;4;6;19
"240260 Ceará-Mirim";72;83;57;212
"240270 Cerro Corá";6;4;10;20
"240280 Coronel Ezequiel";3;2;3;8
"240290 Coronel João Pessoa";1;1;-;2
"240300 Cruzeta";7;7;1;15
"240310 Currais Novos";31;30;34;95
"240320 Doutor Severiano";4;1;2;7
"240330 Encanto";2;2;3;7
"240340 Equador";5;5;9;19
"240350 Espírito Santo";8;7;7;22
"240360 Extremoz";20;26;23;69
"240370 Felipe Guerra";7;4;3;14
"240375 Fernando Pedroza";4;6;2;12
"240380 Florânia";3;3;5;11
"240390 Francisco Dantas";3;2;2;7
"240400 Frutuoso Gomes";3;1;7;11
"240410 Galinhos";1;-;-;1
"240420 Goianinha";15;11;16;42
"240430 Governador Dix-Sept Rosado";1;3;3;7
"240440 Grossos";3;3;4;10
"240450 Guamaré";11;7;19;37
"240460 Ielmo Marinho";6;6;9;21
"240470 Ipanguaçu";8;7;6;21
"240485 Itajá";2;7;7;16
"240490 Itaú";1;-;2;3
"240500 Jaçanã";2;8;2;12
"240510 Jandaíra";2;10;8;20
"240520 Janduís";-;1;3;4
"240530 Januário Cicco";6;5;11;22
"240540 Japi";2;2;5;9
"240550 Jardim de Angicos";-;-;5;5
"240560 Jardim de Piranhas";13;8;11;32
"240570 Jardim do Seridó";11;20;11;42
"240580 João Câmara";24;30;37;91
"240600 José da Penha";6;3;1;10
"240610 Jucurutu";26;24;29;79
"240615 Jundiá";3;3;3;9
"240620 Lagoa d'Anta";1;4;-;5
"240630 Lagoa de Pedras";5;1;5;11
"240640 Lagoa de Velhos";5;3;3;11
"240650 Lagoa Nova";17;14;10;41
"240660 Lagoa Salgada";2;5;3;10
"240670 Lajes";13;20;20;53
"240680 Lajes Pintadas";3;5;1;9
"240690 Lucrécia";1;1;1;3
"240700 Luís Gomes";1;2;1;4
"240710 Macaíba";50;55;54;159
"240720 Macau";13;13;16;42
"240725 Major Sales";1;1;2;4
"240730 Marcelino Vieira";8;2;1;11
"240740 Martins";10;6;8;24
"240750 Maxaranguape";12;9;9;30
"240760 Messias Targino";-;1;1;2
"240770 Montanhas";5;5;9;19
"240780 Monte Alegre";17;26;21;64
"240790 Monte das Gameleiras";1;-;2;3
"240800 Mossoró";84;77;127;288
"240810 Natal";845;1262;1087;3194
"240820 Nísia Floresta";15;13;13;41
"240830 Nova Cruz";10;31;23;64
"240840 Olho-d'Água do Borges";1;3;1;5
"240850 Ouro Branco";2;1;7;10
"240860 Paraná";2;-;2;4
"240870 Paraú";-;1;-;1
"240880 Parazinho";2;3;-;5
"240890 Parelhas";10;17;17;44
"240325 Parnamirim";166;126;111;403
"240910 Passa e Fica";7;2;4;13
"240920 Passagem";2;3;1;6
"240930 Patu";7;1;1;9
"240940 Pau dos Ferros";7;17;15;39
"240950 Pedra Grande";5;6;2;13
"240960 Pedra Preta";1;3;5;9
"240970 Pedro Avelino";-;-;1;1
"240980 Pedro Velho";7;11;6;24
"240990 Pendências";2;9;22;33
"241000 Pilões";2;-;-;2
"241010 Poço Branco";8;5;12;25
"241020 Portalegre";4;9;10;23
"241025 Porto do Mangue";4;3;3;10
"241040 Pureza";8;2;4;14
"241050 Rafael Fernandes";2;1;1;4
"241060 Rafael Godeiro";2;3;2;7
"241070 Riacho da Cruz";-;6;1;7
"241080 Riacho de Santana";2;1;3;6
"241090 Riachuelo";4;15;2;21
"240895 Rio do Fogo";1;1;8;10
"241100 Rodolfo Fernandes";-;3;1;4
"241110 Ruy Barbosa";4;4;3;11
"241120 Santa Cruz";18;48;22;88
"240933 Santa Maria";2;5;-;7
"241140 Santana do Matos";9;11;4;24
"241142 Santana do Seridó";2;3;-;5
"241150 Santo Antônio";19;26;19;64
"241160 São Bento do Norte";2;1;1;4
"241170 São Bento do Trairí";1;-;2;3
"241180 São Fernando";6;7;2;15
"241190 São Francisco do Oeste";2;-;1;3
"241200 São Gonçalo do Amarante";77;88;79;244
"241210 São João do Sabugi";6;7;3;16
"241220 São José de Mipibu";41;22;14;77
"241230 São José do Campestre";9;18;10;37
"241240 São José do Seridó";2;1;2;5
"241250 São Miguel";4;12;21;37
"241255 São Miguel do Gostoso";2;-;3;5
"241260 São Paulo do Potengi";22;20;28;70
"241270 São Pedro";5;4;11;20
"241280 São Rafael";2;4;4;10
"241290 São Tomé";2;5;1;8
"241300 São Vicente";10;7;6;23
"241310 Senador Elói de Souza";3;6;6;15
"241320 Senador Georgino Avelino";3;5;2;10
"241030 Serra Caiada";2;5;7;14
"241330 Serra de São Bento";6;3;7;16
"241335 Serra do Mel";3;2;1;6
"241340 Serra Negra do Norte";7;4;4;15
"241350 Serrinha";2;9;7;18
"241355 Serrinha dos Pintos";2;-;2;4
"241360 Severiano Melo";1;2;6;9
"241370 Sítio Novo";2;-;1;3
"241380 Taboleiro Grande";2;-;3;5
"241390 Taipu";7;6;9;22
"241400 Tangará";11;6;19;36
"241410 Tenente Ananias";3;1;1;5
"241415 Tenente Laurentino Cruz";1;6;1;8
"241105 Tibau";1;3;-;4
"241420 Tibau do Sul";23;26;4;53
"241430 Timbaúba dos Batistas";4;1;2;7
"241440 Touros";24;19;29;72
"241445 Triunfo Potiguar";-;-;2;2
"241450 Umarizal";4;3;3;10
"241460 Upanema";2;6;4;12
"241470 Várzea";5;5;6;16
"241480 Vera Cruz";5;10;6;21
"241490 Viçosa";-;-;3;3
"241500 Vila Flor";-;3;2;5
"250010 Água Branca";15;7;3;25
"250020 Aguiar";2;-;1;3
"250030 Alagoa Grande";13;28;17;58
"250040 Alagoa Nova";43;44;34;121
"250050 Alagoinha";5;5;7;17
"250053 Alcantil";3;8;7;18
"250057 Algodão de Jandaíra";1;-;1;2
"250060 Alhandra";11;8;5;24
"250073 Amparo";3;1;-;4
"250077 Aparecida";-;1;1;2
"250080 Araçagi";5;3;1;9
"250090 Arara";9;11;12;32
"250100 Araruna";20;10;3;33
"250110 Areia";46;38;9;93
"250115 Areia de Baraúnas";1;2;-;3
"250120 Areial";5;19;7;31
"250130 Aroeiras";18;40;36;94
"250135 Assunção";-;6;4;10
"250140 Baía da Traição";3;2;6;11
"250150 Bananeiras";34;25;26;85
"250160 Barra de Santa Rosa";5;-;3;8
"250157 Barra de Santana";2;5;8;15
"250170 Barra de São Miguel";3;2;3;8
"250180 Bayeux";87;52;60;199
"250190 Belém";20;8;3;31
"250200 Belém do Brejo do Cruz";6;6;6;18
"250205 Bernardino Batista";1;2;3;6
"250210 Boa Ventura";2;-;6;8
"250215 Boa Vista";7;1;4;12
"250220 Bom Jesus";1;3;1;5
"250230 Bom Sucesso";2;2;1;5
"250240 Bonito de Santa Fé";6;12;7;25
"250250 Boqueirão";33;43;22;98
"250270 Borborema";3;7;3;13
"250280 Brejo do Cruz";4;2;10;16
"250290 Brejo dos Santos";6;1;4;11
"250300 Caaporã";68;48;33;149
"250310 Cabaceiras";4;3;6;13
"250320 Cabedelo";48;72;51;171
"250330 Cachoeira dos Índios";-;9;8;17
"250340 Cacimba de Areia";1;1;1;3
"250350 Cacimba de Dentro";18;9;6;33
"250355 Cacimbas";1;3;1;5
"250360 Caiçara";7;1;3;11
"250370 Cajazeiras";19;49;45;113
"250375 Cajazeirinhas";2;1;1;4
"250380 Caldas Brandão";2;3;7;12
"250390 Camalaú";5;2;3;10
"250400 Campina Grande";500;450;567;1517
"250403 Capim";6;3;7;16
"250407 Caraúbas";2;6;15;23
"250410 Carrapateira";1;1;1;3
"250415 Casserengue";9;17;11;37
"250420 Catingueira";-;2;3;5
"250430 Catolé do Rocha";18;10;14;42
"250435 Caturité";5;3;5;13
"250440 Conceição";8;12;18;38
"250450 Condado";3;4;4;11
"250460 Conde";19;7;12;38
"250470 Congo";18;7;11;36
"250480 Coremas";9;2;8;19
"250485 Coxixola";3;1;-;4
"250490 Cruz do Espírito Santo";18;9;16;43
"250500 Cubati";2;4;6;12
"250510 Cuité";41;25;19;85
"250523 Cuité de Mamanguape";1;-;3;4
"250520 Cuitegi";4;1;-;5
"250527 Curral de Cima";3;-;1;4
"250535 Damião";3;3;8;14
"250540 Desterro";2;9;8;19
"250560 Diamante";-;1;4;5
"250570 Dona Inês";2;5;-;7
"250580 Duas Estradas";3;-;2;5
"250590 Emas";-;2;3;5
"250600 Esperança";39;37;55;131
"250610 Fagundes";7;10;13;30
"250620 Frei Martinho";1;1;1;3
"250625 Gado Bravo";2;11;6;19
"250630 Guarabira";34;27;26;87
"250640 Gurinhém";8;2;6;16
"250650 Gurjão";-;3;1;4
"250660 Ibiara";2;3;6;11
"250260 Igaracy";3;2;2;7
"250670 Imaculada";1;2;6;9
"250680 Ingá";97;132;61;290
"250690 Itabaiana";15;25;19;59
"250700 Itaporanga";7;14;17;38
"250710 Itapororoca";12;2;2;16
"250720 Itatuba";14;10;8;32
"250730 Jacaraú";7;8;7;22
"250740 Jericó";5;7;1;13
"250750 João Pessoa";529;404;478;1411
"251365 Joca Claudino";2;4;2;8
"250760 Juarez Távora";3;9;11;23
"250770 Juazeirinho";7;12;17;36
"250780 Junco do Seridó";-;1;3;4
"250790 Juripiranga";8;2;7;17
"250800 Juru";5;7;1;13
"250810 Lagoa";2;1;2;5
"250820 Lagoa de Dentro";5;1;4;10
"250830 Lagoa Seca";23;27;33;83
"250840 Lastro";1;1;-;2
"250850 Livramento";8;10;11;29
"250855 Logradouro";4;-;-;4
"250860 Lucena";5;4;3;12
"250870 Mãe d'Água";-;-;3;3
"250880 Malta";4;-;2;6
"250890 Mamanguape";20;11;17;48
"250900 Manaíra";3;-;4;7
"250905 Marcação";2;-;4;6
"250910 Mari";20;10;7;37
"250915 Marizópolis";-;1;4;5
"250920 Massaranduba";16;9;11;36
"250930 Mataraca";2;2;2;6
"250933 Matinhas";6;3;2;11
"250937 Mato Grosso";1;-;1;2
"250939 Maturéia";1;3;3;7
"250940 Mogeiro";9;6;14;29
"250950 Montadas";4;1;8;13
"250960 Monte Horebe";2;6;1;9
"250970 Monteiro";16;9;14;39
"250980 Mulungu";4;3;6;13
"250990 Natuba";3;4;2;9
"251000 Nazarezinho";-;2;1;3
"251010 Nova Floresta";3;2;6;11
"251020 Nova Olinda";2;1;2;5
"251030 Nova Palmeira";1;1;4;6
"251040 Olho d'Água";3;-;3;6
"251050 Olivedos";2;1;1;4
"251060 Ouro Velho";1;2;1;4
"251065 Parari";2;-;1;3
"251070 Passagem";2;1;1;4
"251080 Patos";19;14;30;63
"251090 Paulista";7;7;13;27
"251100 Pedra Branca";1;-;-;1
"251110 Pedra Lavrada";6;4;3;13
"251120 Pedras de Fogo";35;41;19;95
"251272 Pedro Régis";1;1;4;6
"251130 Piancó";16;6;17;39
"251140 Picuí";5;9;9;23
"251150 Pilar";2;5;3;10
"251160 Pilões";6;2;4;12
"251170 Pilõezinhos";4;-;1;5
"251180 Pirpirituba";5;1;2;8
"251190 Pitimbu";8;5;4;17
"251200 Pocinhos";9;10;10;29
"251203 Poço Dantas";3;2;3;8
"251207 Poço de José de Moura";2;4;10;16
