,QUANTIDADE,MUNCOD,MUNNOME,LATITUDE,LONGITUDE
0,4,110020,Porto Velho,-8.762,-63.904
1,1,120040,Rio Branco,-9.975,-67.81
2,30,130260,Manaus,-3.102,-60.025
3,82,150140,Belém,-1.456,-48.504
4,2,150240,Castanhal,-1.297,-47.922
5,3,170210,Araguaína,-7.191,-48.207
6,2,210140,Balsas,-7.533,-46.036
7,1,221100,Teresina,-5.089,-42.802
8,15,230190,Barbalha,-7.305,-39.302
9,4,230440,Fortaleza,-3.717,-38.543
10,1,231130,Quixadá,-4.971,-39.015
11,1,260790,Jaboatão dos Guararapes,-8.113,-35.015
12,1,270030,Arapiraca,-9.752,-36.661
13,6,270430,Maceió,-9.666,-35.735
14,1,291360,Ilhéus,-14.789,-39.049
15,3,291480,Itabuna,-14.786,-39.28
16,92,292740,Salvador,-12.971,-38.511
17,1,310350,Araguari,-18.649,-48.187
18,2,310400,Araxá,-19.593,-46.941
19,22,310620,Belo Horizonte,-19.817,-43.956
20,1,311120,Campo Belo,-20.897,-45.277
21,1,312160,Diamantina,-18.249,-43.6
22,147,312230,Divinópolis,-20.139,-44.884
23,1,312870,Guaxupé,-21.305,-46.713
24,1,313130,Ipatinga,-19.468,-42.537
25,3,313240,Itajubá,-22.426,-45.453
26,1,313380,Itaúna,-20.075,-44.576
27,5,313670,Juiz de Fora,-21.764,-43.35
28,11,314330,Montes Claros,-16.735,-43.862
29,5,314390,Muriaé,-21.131,-42.366
30,1,314810,Patrocínio,-18.944,-46.993
31,1,316250,São João del Rei,-21.136,-44.262
32,1,316370,São Lourenço,-22.116,-45.054
33,3,316720,Sete Lagoas,-19.466,-44.247
34,2,316860,Teófilo Otoni,-17.858,-41.505
35,1,316870,Timóteo,-19.583,-42.644
36,1,316990,Ubá,-21.12,-42.943
37,3,317010,Uberaba,-19.748,-47.932
38,1,320060,Aracruz,-19.82,-40.273
39,2,320120,Cachoeiro de Itapemirim,-20.849,-41.113
40,1,320520,Vila Velha,-20.33,-40.292
41,1,320530,Vitória,-20.319,-40.338
42,5,330040,Barra Mansa,-22.544,-44.171
43,1,330060,Bom Jesus do Itabapoana,-21.134,-41.68
44,1,330100,Campos dos Goytacazes,-21.754,-41.324
45,11,330220,Itaperuna,-21.205,-41.888
46,1,330420,Resende,-22.469,-44.447
47,225,330455,Rio de Janeiro,-22.903,-43.208
48,1,330610,Valença,-22.246,-43.7
49,2,330620,Vassouras,-22.404,-43.663
50,8,350160,Americana,-22.739,-47.331
51,6,350320,Araraquara,-21.794,-48.176
52,4,350390,Arujá,-23.396,-46.321
53,3,350550,Barretos,-20.557,-48.568
54,4,350600,Bauru,-22.315,-49.061
55,12,350950,Campinas,-22.906,-47.061
56,481,351110,Catanduva,-21.138,-48.973
57,1,351300,Cotia,-23.604,-46.919
58,1,351550,Fernandópolis,-20.284,-50.246
59,1,351620,Franca,-20.539,-47.401
60,3,351840,Guaratinguetá,-22.816,-45.193
61,1,352440,Jacareí,-23.305,-45.966
62,6,352590,Jundiaí,-23.186,-46.884
63,1,352690,Limeira,-22.565,-47.402
64,1,352710,Lins,-21.679,-49.743
65,1,352930,Matão,-21.603,-48.366
66,4,352940,Mauá,-23.668,-46.461
67,37,353060,Mogi das Cruzes,-23.523,-46.188
68,1,353130,Monte Alto,-21.261,-48.496
69,2,353470,Ourinhos,-22.979,-49.871
70,1,353800,Pindamonhangaba,-22.924,-45.462
71,3,353870,Piracicaba,-22.725,-47.649
72,1,353930,Pirassununga,-21.996,-47.426
73,2,354140,Presidente Prudente,-22.126,-51.389
74,1,354330,Ribeirão Pires,-23.711,-46.413
75,13,354340,Ribeirão Preto,-21.178,-47.81
76,1,354390,Rio Claro,-22.411,-47.561
77,1,354780,Santo André,-23.664,-46.538
78,143,354850,Santos,-23.961,-46.334
79,2,354870,São Bernardo do Campo,-23.694,-46.565
80,5,354890,São Carlos,-22.018,-47.891
81,23,354980,São José do Rio Preto,-20.82,-49.379
82,6,354990,São José dos Campos,-23.179,-45.887
83,434,355030,São Paulo,-23.548,-46.636
84,2,355070,São Sebastião,-23.76,-45.41
85,18,355220,Sorocaba,-23.502,-47.458
86,1,355370,Taquaritinga,-21.406,-48.505
87,4,355410,Taubaté,-23.026,-45.555
88,7,355450,Tietê,-23.102,-47.715
89,1,355620,Valinhos,-22.971,-46.996
90,3,355710,Votuporanga,-20.423,-49.973
91,37,410690,Curitiba,-25.428,-49.273
92,8,411370,Londrina,-23.31,-51.163
93,10,411520,Maringá,-23.425,-51.939
94,4,411990,Ponta Grossa,-25.095,-50.162
95,1,412770,Toledo,-24.714,-53.743
96,2,412810,Umuarama,-23.766,-53.325
97,5,420240,Blumenau,-26.919,-49.066
98,6,420420,Chapecó,-27.096,-52.618
99,5,420820,Itajaí,-26.908,-48.662
100,1,420890,Jaraguá do Sul,-26.486,-49.067
101,1,420930,Lages,-27.816,-50.326
102,1,421480,Rio do Sul,-27.214,-49.643
103,1,421570,Santo Amaro da Imperatriz,-27.688,-48.779
104,1,421870,Tubarão,-28.467,-49.007
105,2,430090,Aratiba,-27.394,-52.3
106,1,430100,Arroio do Meio,-29.401,-51.945
107,140,430210,Bento Gonçalves,-29.171,-51.519
108,1,430220,Boa Vista do Buricá,-27.669,-54.11
109,3,430300,Cachoeira do Sul,-30.039,-52.894
110,5,430460,Canoas,-29.918,-51.184
111,1,430463,Capão da Canoa,-29.761,-50.03
112,258,430510,Caxias do Sul,-29.168,-51.179
113,6,430860,Garibaldi,-29.256,-51.534
114,1,430910,Gramado,-29.379,-50.874
115,2,430920,Gravataí,-29.944,-50.992
116,3,431130,Lagoa Vermelha,-28.209,-51.526
117,1,431180,Marau,-28.449,-52.2
118,1,431205,Marques de Souza,-29.328,-52.093
119,4,431340,Novo Hamburgo,-29.678,-51.131
120,11,431410,Passo Fundo,-28.263,-52.407
121,1,431440,Pelotas,-31.772,-52.343
122,106,431490,Porto Alegre,-30.033,-51.23
123,1,431680,Santa Cruz do Sul,-29.718,-52.426
124,26,431690,Santa Maria,-29.684,-53.807
125,1,431800,São Borja,-28.661,-56.004
126,1,431840,São Jerônimo,-29.959,-51.722
127,2,432140,Tenente Portela,-27.371,-53.758
128,2,432180,Três de Maio,-27.773,-54.24
129,4,432260,Venâncio Aires,-29.606,-52.192
130,1,432280,Veranópolis,-28.936,-51.549
131,1,432300,Viamão,-30.081,-51.023
132,28,500270,Campo Grande,-20.443,-54.646
133,8,500370,Dourados,-22.221,-54.806
134,1,510525,Lucas do Rio Verde,-13.05,-55.911
135,1,510760,Rondonópolis,-16.471,-54.636
136,1,510790,Sinop,-11.864,-55.504
137,1,520110,Anápolis,-16.327,-48.953
138,1,521880,Rio Verde,-17.798,-50.928
