,MUNCOD,QUANTIDADE
0,110001,4
1,110040,4
2,110034,1
3,110002,36
4,110045,5
5,110060,1
6,110004,26
7,110070,2
8,110080,18
9,110005,2
10,110092,2
11,110006,3
12,110007,1
13,110008,2
14,110094,2
15,110009,8
16,110100,2
17,110010,33
18,110110,8
19,110011,15
20,110012,38
21,110013,5
22,110140,2
23,110014,3
24,110033,5
25,110015,7
26,110018,9
27,110146,1
28,110020,481
29,110025,5
30,110026,2
31,110028,6
32,110029,1
33,110148,1
34,110149,2
35,110032,1
36,110155,1
37,110160,2
38,110170,3
39,110175,1
40,110180,2
41,110030,20
42,120001,3
43,120005,3
44,120010,12
45,120013,4
46,120017,1
47,120020,17
48,120025,1
49,120030,4
50,120033,1
51,120034,10
52,120035,7
53,120038,15
54,120080,11
55,120039,2
56,120040,333
57,120042,3
58,120043,6
59,120050,20
60,120045,18
61,120060,11
62,120070,2
63,130002,2
64,130006,5
65,130008,3
66,130010,6
67,130014,1
68,130020,5
69,130030,21
70,130040,15
71,130050,15
72,130060,18
73,130063,12
74,130068,5
75,130070,28
76,130080,27
77,130083,5
78,130090,3
79,130100,14
80,130110,12
81,130115,3
82,130120,35
83,130130,13
84,130140,14
85,130150,4
86,130160,5
87,130170,28
88,130180,7
89,130185,48
90,130190,50
91,130200,2
92,130210,1
93,130220,1
94,130230,9
95,130240,23
96,130250,67
97,130255,6
98,130260,2734
99,130270,19
100,130280,8
101,130290,53
102,130300,6
103,130310,30
104,130320,6
105,130330,9
106,130340,47
107,130350,10
108,130353,16
109,130356,17
110,130360,8
111,130370,7
112,130380,77
113,130390,9
114,130395,2
115,130400,2
116,130406,55
117,130410,8
118,130420,36
119,130423,3
120,130430,6
121,130440,17
122,140005,17
123,140002,3
124,140010,150
125,140015,6
126,140017,3
127,140020,2
128,140023,1
129,140028,2
130,140030,2
131,140040,5
132,140045,7
133,140047,9
134,140070,1
135,150010,58
136,150013,2
137,150020,21
138,150030,4
139,150040,16
140,150050,5
141,150060,83
142,150070,8
143,150080,378
144,150085,3
145,150090,11
146,150095,4
147,150100,1
148,150110,8
149,150120,8
150,150130,56
151,150140,1649
152,150145,6
153,150150,38
154,150157,4
155,150160,3
156,150170,64
157,150172,7
158,150175,1
159,150178,18
160,150180,46
161,150190,9
162,150200,6
163,150195,8
164,150210,61
165,150215,18
166,150220,32
167,150230,10
168,150240,110
169,150250,3
170,150260,6
