,QUANTIDADE,MUNCOD,MUNNOME,LATITUDE,LONGITUDE
92,1,310200,Alterosa,-21.249,-46.143
93,1,310230,Alvinópolis,-20.107,-43.049
94,20,310260,Andradas,-22.068,-46.569
95,16,310280,Andrelândia,-21.74,-44.309
96,68,310340,Araçuaí,-16.85,-42.07
97,59,310350,Araguari,-18.649,-48.187
98,73,310400,Araxá,-19.593,-46.941
99,28,310420,Arcos,-20.282,-45.539
100,3,310490,Baependi,-21.959,-44.89
101,12,310510,Bambuí,-20.006,-45.977
102,503,310560,Barbacena,-21.226,-43.774
103,3,310590,Barroso,-21.187,-43.976
104,12622,310620,Belo Horizonte,-19.817,-43.956
105,5,310640,Belo Vale,-20.408,-44.024
106,5,310710,Boa Esperança,-21.09,-45.566
107,25,310740,Bom Despacho,-19.736,-45.252
108,12,310800,Bom Sucesso,-21.033,-44.758
109,1,310840,Botelhos,-21.633,-46.395
110,2,310950,Cabo Verde,-21.472,-46.396
111,1,310990,Caetanópolis,-19.295,-44.419
112,5,311000,Caeté,-19.88,-43.67
113,1,311030,Caldas,-21.924,-46.386
114,17,311050,Camanducaia,-22.755,-46.145
115,8,311060,Cambuí,-22.612,-46.058
116,41,311070,Cambuquira,-21.852,-45.296
117,13,311100,Campestre,-21.711,-46.246
118,3,311110,Campina Verde,-19.536,-49.486
119,110,311120,Campo Belo,-20.897,-45.277
120,6,311150,Campos Altos,-19.696,-46.171
121,3,311180,Canápolis,-18.725,-49.204
122,7,311230,Capelinha,-17.691,-42.516
123,131,311330,Carangola,-20.733,-42.029
124,118,311340,Caratinga,-19.79,-42.139
125,11,311430,Carmo do Paranaíba,-19.001,-46.316
126,4,311450,Carmópolis de Minas,-20.541,-44.635
127,13,311510,Cássia,-20.583,-46.922
128,191,311530,Cataguases,-21.389,-42.697
129,8,311660,Cláudio,-20.443,-44.766
130,1,311770,Conceição do Rio Verde,-21.881,-45.085
131,8,311800,Congonhas,-20.5,-43.858
132,117,311830,Conselheiro Lafaiete,-20.66,-43.786
133,4,311930,Coromandel,-18.473,-47.2
134,4,312080,Cruzília,-21.839,-44.808
135,261,312090,Curvelo,-18.756,-44.431
136,33,312160,Diamantina,-18.249,-43.6
137,2,312200,Divino,-20.614,-42.149
138,740,312230,Divinópolis,-20.139,-44.884
139,2,312270,Dom Silvério,-20.16,-42.968
140,5,312360,Elói Mendes,-21.61,-45.565
141,4,312560,Felisburgo,-16.639,-40.761
142,166,312610,Formiga,-20.464,-45.426
143,214,312770,Governador Valadares,-18.851,-41.949
144,25,312800,Guanhães,-18.775,-42.933
145,12,312830,Guaranésia,-21.299,-46.803
146,48,312870,Guaxupé,-21.305,-46.713
147,6,313090,Inhapim,-19.549,-42.12
148,34,313120,Ipanema,-19.801,-41.713
149,3119,313130,Ipatinga,-19.468,-42.537
150,320,313170,Itabira,-19.619,-43.227
151,19,313190,Itabirito,-20.253,-43.801
152,4,313220,Itaguara,-20.392,-44.488
153,193,313240,Itajubá,-22.426,-45.453
154,8,313250,Itamarandiba,-17.857,-42.859
155,12,313270,Itambacuri,-18.031,-41.685
156,1,313300,Itamonte,-22.284,-44.87
157,16,313310,Itanhandu,-22.296,-44.935
158,5,313320,Itanhomi,-19.172,-41.865
159,4,313330,Itaobim,-16.562,-41.503
160,3,313350,Itapecerica,-20.473,-45.126
161,1,313375,Itaú de Minas,-20.739,-46.752
162,101,313380,Itaúna,-20.075,-44.576
163,64,313420,Ituiutaba,-18.969,-49.465
164,10,313490,Jacutinga,-22.286,-46.612
165,26,313510,Janaúba,-15.803,-43.309
166,2,313580,Jequitinhonha,-16.434,-41.003
167,119,313620,João Monlevade,-19.81,-43.174
168,913,313670,Juiz de Fora,-21.764,-43.35
169,2,313720,Lagoa da Prata,-20.023,-45.544
170,1,313750,Lagoa Formosa,-18.779,-46.408
171,147,313820,Lavras,-21.245,-45.0
172,26,313840,Leopoldina,-21.532,-42.643
173,1,313880,Luz,-19.801,-45.686
174,4,313900,Machado,-21.675,-45.92
175,34,313930,Manga,-14.756,-43.932
176,68,313940,Manhuaçu,-20.258,-42.034
177,10,313950,Manhumirim,-20.358,-41.958
178,16,313960,Mantena,-18.782,-40.98
179,1,313980,Mar de Espanha,-21.867,-43.01
180,47,314000,Mariana,-20.378,-43.416
181,1,314070,Mateus Leme,-19.986,-44.428
182,18,314110,Matozinhos,-19.558,-44.081
183,12,314140,Medina,-16.223,-41.477
184,3,314180,Minas Novas,-17.219,-42.59
185,3,314280,Monte Alegre de Minas,-18.871,-48.881
186,9,314320,Monte Santo de Minas,-21.19,-46.98
187,1797,314330,Montes Claros,-16.735,-43.862
188,1,314350,Morada Nova de Minas,-18.604,-45.357
189,3006,314390,Muriaé,-21.131,-42.366
190,5,314410,Muzambinho,-21.376,-46.526
191,1,314460,Nepomuceno,-21.236,-45.236
192,2,314470,Nova Era,-19.75,-43.038
193,1501,314480,Nova Lima,-19.986,-43.847
194,11,314520,Nova Serrana,-19.876,-44.984
195,77,314560,Oliveira,-20.696,-44.827
196,9,314600,Ouro Fino,-22.283,-46.369
197,68,314610,Ouro Preto,-20.288,-43.508
198,1,314670,Palma,-21.375,-42.314
199,35,314710,Pará de Minas,-19.86,-44.608
200,2,314720,Paraguaçu,-21.547,-45.738
201,3,314730,Paraisópolis,-22.554,-45.78
202,1,314760,Passa Quatro,-22.39,-44.967
203,5,314770,Passa Tempo,-20.651,-44.496
204,1240,314790,Passos,-20.719,-46.61
205,332,314810,Patrocínio,-18.944,-46.993
206,7,314870,Pedra Azul,-16.005,-41.297
207,62,314930,Pedro Leopoldo,-19.618,-44.043
208,2,314990,Perdões,-21.091,-45.091
209,46,315120,Pirapora,-17.345,-44.942
210,14,315140,Pitangui,-19.683,-44.89
211,29,315150,Piumhi,-20.465,-45.958
212,2,315170,Poço Fundo,-21.781,-45.965
213,553,315180,Poços de Caldas,-21.788,-46.561
214,6,315200,Pompéu,-19.224,-44.935
215,222,315210,Ponte Nova,-20.416,-42.909
216,190,315250,Pouso Alegre,-22.23,-45.936
217,1,315260,Pouso Alto,-22.194,-44.973
218,4,315280,Prata,-19.307,-48.924
219,21,315400,Raul Soares,-20.102,-42.453
220,1,315420,Resende Costa,-20.922,-44.238
221,14,315430,Resplendor,-19.326,-41.255
222,6,315490,Rio Casca,-20.226,-42.651
223,1,315570,Rio Piracicaba,-19.929,-43.174
224,9,315580,Rio Pomba,-21.275,-43.179
225,21,315670,Sabará,-19.886,-43.807
226,2,315680,Sabinópolis,-18.666,-43.084
227,34,315690,Sacramento,-19.865,-47.44
228,41,315700,Salinas,-16.17,-42.29
229,25,315720,Santa Bárbara,-19.959,-43.415
230,2,315820,Santa Maria do Suaçuí,-18.19,-42.414
231,6,315960,Santa Rita do Sapucaí,-22.252,-45.703
232,5,315980,Santa Vitória,-18.839,-50.121
233,5,315990,Santo Antônio do Amparo,-20.946,-44.919
234,12,316040,Santo Antônio do Monte,-20.087,-45.294
235,9,316070,Santos Dumont,-21.457,-43.553
236,2,316100,São Domingos do Prata,-19.865,-42.968
237,342,316250,São João del Rei,-21.136,-44.262
238,1,316290,São João Nepomuceno,-21.54,-43.011
239,76,316370,São Lourenço,-22.116,-45.054
240,57,316470,São Sebastião do Paraíso,-20.917,-46.991
241,1,316500,São Tiago,-20.913,-44.509
242,1,316530,São Vicente de Minas,-21.713,-44.444
243,26,316710,Serro,-18.605,-43.379
244,373,316720,Sete Lagoas,-19.466,-44.247
245,17,316800,Taiobeiras,-15.808,-42.233
246,24,316840,Tarumirim,-19.281,-42.007
247,285,316860,Teófilo Otoni,-17.858,-41.505
