,QUANTIDADE,MUNCOD,MUNNOME,LATITUDE,LONGITUDE
0,5,110002,Ariquemes,-9.913,-63.041
1,3,110010,Guajará-Mirim,-10.783,-65.339
2,23,110020,Porto Velho,-8.762,-63.904
3,32,120040,Rio Branco,-9.975,-67.81
4,80,130260,Manaus,-3.102,-60.025
5,8,150040,Alenquer,-1.942,-54.738
6,199,150140,Belém,-1.456,-48.504
7,2,150170,Bragança,-1.063,-46.773
8,6,150215,Canaã dos Carajás,-6.497,-49.878
9,2,150220,Capanema,-1.196,-47.181
10,767,150295,Eldorado dos Carajás,-6.104,-49.355
11,1,150530,Oriximiná,-1.766,-55.866
12,45,150553,Parauapebas,-6.068,-49.902
13,1,150830,Viseu,-1.197,-46.14
14,38,160030,Macapá,0.039,-51.066
15,80,170210,Araguaína,-7.191,-48.207
16,7,211130,São Luís,-2.53,-44.303
17,3,220770,Parnaíba,-2.905,-41.777
18,34,221100,Teresina,-5.089,-42.802
19,2,230190,Barbalha,-7.305,-39.302
20,1,230250,Brejo Santo,-7.493,-38.985
21,10,230260,Camocim,-2.902,-40.841
22,1,230420,Crato,-7.234,-39.409
23,2839,230440,Fortaleza,-3.717,-38.543
24,3,230580,Ipu,-4.322,-40.711
25,2,231140,Quixeramobim,-5.199,-39.293
26,3,231290,Sobral,-3.674,-40.239
27,263,240810,Natal,-5.795,-35.209
28,5,240940,Pau dos Ferros,-6.111,-38.209
29,1,250400,Campina Grande,-7.231,-35.881
30,4,250750,João Pessoa,-7.115,-34.863
31,1,260110,Araripina,-7.576,-40.498
32,3,260190,Bezerros,-8.233,-35.797
33,2,260410,Caruaru,-8.283,-35.976
34,258,260600,Garanhuns,-8.89,-36.493
35,3,260790,Jaboatão dos Guararapes,-8.113,-35.015
36,5,261160,Recife,-8.054,-34.881
37,89,270430,Maceió,-9.666,-35.735
38,381,280030,Aracaju,-10.911,-37.072
39,138,290520,Caetité,-14.069,-42.475
40,1,290600,Campo Formoso,-10.509,-40.321
41,2,291080,Feira de Santana,-12.267,-38.967
42,1,291360,Ilhéus,-14.789,-39.049
43,90,291480,Itabuna,-14.786,-39.28
44,4,291640,Itapetinga,-15.249,-40.248
45,1,292170,Morro do Chapéu,-11.55,-41.156
46,1,292600,Remanso,-9.622,-42.081
47,16298,292740,Salvador,-12.971,-38.511
48,8,293290,Valença,-13.37,-39.073
49,56,293330,Vitória da Conquista,-14.866,-40.839
50,5,310020,Abaeté,-19.16,-45.446
51,2,310090,Águas Formosas,-17.082,-40.936
52,4,310110,Aimorés,-19.496,-41.064
53,7,310120,Aiuruoca,-21.976,-44.603
54,5,310150,Além Paraíba,-21.888,-42.704
55,7,310160,Alfenas,-21.429,-45.947
56,1,310200,Alterosa,-21.249,-46.143
57,1,310230,Alvinópolis,-20.107,-43.049
58,1,310260,Andradas,-22.068,-46.569
59,4,310340,Araçuaí,-16.85,-42.07
60,5,310350,Araguari,-18.649,-48.187
61,742,310400,Araxá,-19.593,-46.941
62,344,310420,Arcos,-20.282,-45.539
63,5,310490,Baependi,-21.959,-44.89
64,6,310510,Bambuí,-20.006,-45.977
65,113,310560,Barbacena,-21.226,-43.774
66,12939,310620,Belo Horizonte,-19.817,-43.956
67,246,310710,Boa Esperança,-21.09,-45.566
68,9,310740,Bom Despacho,-19.736,-45.252
69,1,310800,Bom Sucesso,-21.033,-44.758
70,22,311000,Caeté,-19.88,-43.67
71,2,311050,Camanducaia,-22.755,-46.145
72,4,311110,Campina Verde,-19.536,-49.486
73,18,311330,Carangola,-20.733,-42.029
74,20,311340,Caratinga,-19.79,-42.139
75,1,311370,Carlos Chagas,-17.703,-40.766
76,4,311450,Carmópolis de Minas,-20.541,-44.635
77,2,311510,Cássia,-20.583,-46.922
78,29,311530,Cataguases,-21.389,-42.697
79,1,311660,Cláudio,-20.443,-44.766
80,16606,311830,Conselheiro Lafaiete,-20.66,-43.786
81,842,311860,Contagem,-19.932,-44.054
82,1,311930,Coromandel,-18.473,-47.2
83,457,312090,Curvelo,-18.756,-44.431
84,520,312230,Divinópolis,-20.139,-44.884
85,4,312320,Dores do Indaiá,-19.463,-45.602
86,1,312360,Elói Mendes,-21.61,-45.565
87,1,312450,Estiva,-22.463,-46.017
88,25,312610,Formiga,-20.464,-45.426
89,1,312800,Guanhães,-18.775,-42.933
90,1,312830,Guaranésia,-21.299,-46.803
91,8,312870,Guaxupé,-21.305,-46.713
92,335,313130,Ipatinga,-19.468,-42.537
93,31,313170,Itabira,-19.619,-43.227
94,78,313190,Itabirito,-20.253,-43.801
95,8,313240,Itajubá,-22.426,-45.453
96,2,313250,Itamarandiba,-17.857,-42.859
97,3,313270,Itambacuri,-18.031,-41.685
98,2,313300,Itamonte,-22.284,-44.87
99,34,313375,Itaú de Minas,-20.739,-46.752
100,2,313380,Itaúna,-20.075,-44.576
101,22,313420,Ituiutaba,-18.969,-49.465
102,1,313510,Janaúba,-15.803,-43.309
103,10,313620,João Monlevade,-19.81,-43.174
104,244,313670,Juiz de Fora,-21.764,-43.35
105,48,313820,Lavras,-21.245,-45.0
