"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"150170 Bragança";81;69;29;31;10;16;19;31;46;109;66;507
"150172 Brasil Novo";67;25;37;53;60;82;28;7;13;42;50;464
"150175 Brejo Grande do Araguaia";1;1;3;1;-;1;2;15;5;2;4;35
"150178 Breu Branco";17;15;4;5;7;4;15;9;11;5;2;94
"150180 Breves";26;21;31;78;111;43;23;49;40;49;56;527
"150190 Bujaru";45;52;27;21;15;5;14;5;8;4;15;211
"150200 Cachoeira do Arari";79;54;116;132;101;113;43;45;45;7;24;759
"150195 Cachoeira do Piriá";3;4;4;4;1;2;1;2;1;-;1;23
"150210 Cametá";28;28;22;33;19;26;14;6;19;26;26;247
"150215 Canaã dos Carajás";29;6;5;2;5;11;12;4;6;13;8;101
"150220 Capanema";14;56;82;64;107;98;47;21;34;25;22;570
"150230 Capitão Poço";12;13;20;29;21;22;6;4;57;105;186;475
"150240 Castanhal";69;76;65;112;58;74;158;146;150;47;51;1006
"150250 Chaves";-;-;-;-;-;-;1;2;1;-;7;11
"150260 Colares";3;3;5;3;-;-;1;-;-;-;2;17
"150270 Conceição do Araguaia";61;75;85;84;92;76;44;41;51;44;49;702
"150275 Concórdia do Pará";3;5;12;6;10;-;13;2;7;5;10;73
"150276 Cumaru do Norte";3;11;19;10;4;13;21;9;9;5;6;110
"150277 Curionópolis";10;26;2;9;12;25;13;26;12;23;19;177
"150280 Curralinho";-;2;6;4;14;27;37;52;54;67;127;390
"150285 Curuá";-;1;-;-;1;-;-;-;-;-;-;2
"150290 Curuçá";3;1;1;25;7;17;15;6;1;2;38;116
"150293 Dom Eliseu";76;127;97;57;85;77;80;72;40;66;61;838
"150295 Eldorado do Carajás";28;41;32;21;4;13;23;20;27;39;20;268
"150300 Faro";-;-;-;-;1;1;-;-;-;-;-;2
"150304 Floresta do Araguaia";19;15;15;13;10;40;47;74;15;91;140;479
"150307 Garrafão do Norte";3;4;2;4;5;9;-;3;11;25;34;100
"150309 Goianésia do Pará";1;2;4;3;-;-;3;1;-;1;1;16
"150310 Gurupá";1;2;1;2;10;4;5;11;12;8;9;65
"150320 Igarapé-Açu";12;8;11;20;15;23;27;11;5;54;20;206
"150330 Igarapé-Miri";25;58;31;44;28;20;39;14;16;66;34;375
"150340 Inhangapi";1;3;4;-;2;3;11;3;12;3;1;43
"150345 Ipixuna do Pará";37;48;17;46;105;109;33;36;77;23;23;554
"150350 Irituia";19;25;11;21;19;12;7;15;50;12;8;199
"150360 Itaituba";96;85;59;66;34;45;75;222;176;134;38;1030
"150370 Itupiranga";3;8;14;9;6;2;2;6;2;5;12;69
"150375 Jacareacanga";3;-;1;-;1;12;10;18;10;6;6;67
"150380 Jacundá";18;10;11;17;13;28;32;15;9;10;13;176
"150390 Juruti";3;-;-;-;1;-;-;1;-;1;-;6
"150400 Limoeiro do Ajuru";28;27;32;17;10;5;9;8;75;120;157;488
"150405 Mãe do Rio";42;38;49;26;32;12;19;33;15;18;15;299
"150410 Magalhães Barata";-;3;-;1;3;2;1;-;-;4;-;14
"150420 Marabá";30;16;26;27;18;18;10;16;11;28;16;216
"150430 Maracanã";15;31;17;5;14;16;29;6;4;2;7;146
"150440 Marapanim";7;9;14;19;11;13;6;5;1;4;10;99
"150442 Marituba";45;43;30;29;25;15;24;20;17;15;14;277
"150445 Medicilândia";19;20;24;30;35;27;14;4;6;9;18;206
"150450 Melgaço";2;2;6;13;3;6;14;35;1;10;13;105
"150460 Mocajuba";3;16;17;2;8;3;4;9;18;11;5;96
"150470 Moju";28;15;18;20;19;22;23;16;9;22;21;213
"150475 Mojuí dos Campos";-;-;-;-;-;-;-;-;1;-;-;1
"150480 Monte Alegre";26;50;35;32;23;19;22;13;23;5;9;257
"150490 Muaná";14;2;9;8;11;12;17;44;116;279;166;678
"150495 Nova Esperança do Piriá";2;2;-;-;2;118;21;2;16;13;7;183
"150497 Nova Ipixuna";1;1;-;-;1;-;1;-;1;-;-;5
"150500 Nova Timboteua";1;9;5;3;4;1;4;1;3;2;1;34
"150503 Novo Progresso";12;32;51;70;55;40;50;26;35;49;21;441
"150506 Novo Repartimento";17;29;32;22;14;14;17;12;9;11;14;191
"150510 Óbidos";69;14;25;-;-;-;1;9;7;8;19;152
"150520 Oeiras do Pará";1;1;-;2;3;-;1;20;-;1;5;34
"150530 Oriximiná";4;13;11;18;14;7;11;13;9;21;13;134
"150540 Ourém";12;10;2;13;8;12;30;21;25;9;10;152
"150543 Ourilândia do Norte";90;92;70;89;56;55;30;41;61;39;76;699
"150548 Pacajá";12;22;6;12;11;6;3;3;1;25;14;115
"150549 Palestina do Pará";10;7;11;2;2;-;1;-;2;7;4;46
"150550 Paragominas";22;44;21;32;27;37;34;33;49;49;38;386
"150553 Parauapebas";8;21;14;12;11;18;17;7;21;25;25;179
"150555 Pau D'Arco";12;6;13;13;5;6;2;5;7;13;1;83
"150560 Peixe-Boi";-;3;4;2;3;1;-;-;-;-;1;14
"150563 Piçarra";2;-;1;1;2;2;2;5;11;1;14;41
"150565 Placas";4;4;10;18;3;9;6;9;12;21;-;96
"150570 Ponta de Pedras";4;3;10;4;3;5;8;15;2;4;3;61
"150580 Portel";5;4;9;13;13;6;14;7;12;16;10;109
"150590 Porto de Moz";13;16;14;26;16;3;3;3;8;23;31;156
"150600 Prainha";3;2;3;6;31;15;10;9;11;36;26;152
"150610 Primavera";2;5;5;7;2;5;3;1;2;1;2;35
"150611 Quatipuru";1;2;2;1;5;3;3;1;6;2;-;26
"150613 Redenção";29;175;67;40;28;67;66;79;98;44;61;754
"150616 Rio Maria";20;11;19;20;18;25;17;25;18;30;61;264
"150618 Rondon do Pará";146;176;188;163;178;205;244;262;62;97;41;1762
"150619 Rurópolis";3;4;12;36;55;38;39;35;11;30;26;289
"150620 Salinópolis";36;26;49;31;11;17;22;12;21;13;18;256
"150630 Salvaterra";48;51;61;62;67;34;26;9;2;1;3;364
"150635 Santa Bárbara do Pará";1;2;1;2;1;1;3;1;-;2;2;16
"150640 Santa Cruz do Arari";1;1;-;3;1;1;1;-;1;-;1;10
"150650 Santa Izabel do Pará";11;15;21;19;15;8;3;7;5;8;17;129
"150655 Santa Luzia do Pará";8;3;7;7;8;6;2;1;4;3;1;50
"150658 Santa Maria das Barreiras";25;7;9;3;7;1;1;2;1;3;-;59
"150660 Santa Maria do Pará";-;6;10;4;4;9;4;7;39;23;12;118
"150670 Santana do Araguaia";3;15;35;20;21;34;19;32;39;33;27;278
"150680 Santarém";16;9;14;13;13;17;17;33;7;1;3;143
"150690 Santarém Novo";2;-;2;-;5;1;-;3;-;3;1;17
"150700 Santo Antônio do Tauá";21;13;14;2;2;3;6;5;6;-;1;73
"150710 São Caetano de Odivelas";1;2;3;-;2;1;3;4;1;-;3;20
"150715 São Domingos do Araguaia";13;12;24;7;1;-;3;1;-;15;17;93
"150720 São Domingos do Capim";4;16;15;31;11;13;3;1;7;7;9;117
"150730 São Félix do Xingu";34;36;24;37;54;32;29;29;38;99;375;787
"150740 São Francisco do Pará";4;4;4;7;4;4;6;5;8;2;2;50
"150745 São Geraldo do Araguaia";17;11;5;2;-;8;11;4;5;10;16;89
"150746 São João da Ponta";-;2;-;-;1;-;-;2;-;-;1;6
"150747 São João de Pirabas";12;156;162;13;6;5;5;9;8;9;8;393
"150750 São João do Araguaia";12;3;1;-;-;2;-;-;2;3;1;24
"150760 São Miguel do Guamá";6;19;25;121;87;42;36;33;15;46;20;450
"150770 São Sebastião da Boa Vista";14;69;73;107;86;63;31;30;7;39;24;543
"150775 Sapucaia";3;30;21;17;20;2;12;4;11;15;7;142
"150780 Senador José Porfírio";3;3;9;6;3;5;13;3;9;19;9;82
"150790 Soure";2;2;2;7;10;7;4;8;12;46;26;126
"150795 Tailândia";14;14;6;4;10;14;12;4;5;7;7;97
"150796 Terra Alta";1;3;1;6;2;3;1;1;4;-;-;22
"150797 Terra Santa";-;-;-;5;-;1;1;6;4;5;4;26
"150800 Tomé-Açu";15;26;41;17;21;17;17;21;26;18;14;233
"150803 Tracuateua";10;10;20;22;23;17;20;55;58;39;39;313
"150805 Trairão";6;15;91;87;76;15;10;14;19;17;24;374
"150808 Tucumã";115;101;74;48;58;72;86;58;84;173;146;1015
"150810 Tucuruí";17;18;17;16;10;5;13;10;7;17;9;139
"150812 Ulianópolis";45;22;20;32;41;21;33;47;30;43;84;418
"150815 Uruará";37;41;48;41;24;22;16;14;16;33;29;321
"150820 Vigia";23;21;44;36;29;33;29;110;220;95;80;720
"150830 Viseu";70;54;62;118;94;90;103;75;98;103;102;969
"150835 Vitória do Xingu";10;10;28;34;3;4;8;3;10;6;6;122
"150840 Xinguara";61;77;96;37;17;21;122;121;15;32;28;627
"160010 Amapá";-;-;2;1;4;7;3;1;-;4;-;22
"160020 Calçoene";-;4;8;11;7;12;12;11;6;5;6;82
"160021 Cutias";-;-;-;-;-;-;-;1;-;-;-;1
"160023 Ferreira Gomes";6;-;-;-;1;-;-;-;1;-;-;8
"160027 Laranjal do Jari";14;13;11;14;14;5;26;24;35;34;51;241
"160030 Macapá";58;103;113;113;120;86;75;86;53;54;92;953
"160040 Mazagão";2;-;5;2;-;1;-;3;2;-;8;23
"160050 Oiapoque";-;1;4;5;1;3;-;-;1;7;3;25
"160015 Pedra Branca do Amapari";-;1;-;-;1;-;-;-;-;6;2;10
"160053 Porto Grande";1;6;2;12;6;1;13;13;9;4;2;69
"160060 Santana";46;39;25;16;29;31;11;13;13;21;23;267
"160005 Serra do Navio";-;1;1;1;-;-;-;-;-;1;1;5
"160070 Tartarugalzinho";-;-;1;-;1;-;-;-;2;-;-;4
"160080 Vitória do Jari";-;-;3;1;2;2;-;2;3;4;2;19
"170025 Abreulândia";-;-;-;1;-;-;1;-;-;-;-;2
"170030 Aguiarnópolis";1;2;2;-;1;1;2;-;-;-;-;9
"170035 Aliança do Tocantins";-;2;2;2;1;-;2;2;-;2;1;14
"170040 Almas";4;-;1;-;3;-;2;-;1;2;1;14
"170070 Alvorada";-;-;13;6;14;24;19;14;7;20;9;126
"170100 Ananás";10;6;5;2;1;2;3;5;3;4;3;44
"170105 Angico";-;1;-;-;1;-;1;1;1;1;3;9
"170110 Aparecida do Rio Negro";1;-;-;1;3;-;-;2;-;-;1;8
"170130 Aragominas";-;2;-;-;1;2;1;3;-;-;-;9
"170190 Araguacema";5;-;1;3;4;-;4;2;2;-;3;24
"170200 Araguaçu";44;42;28;57;26;33;15;12;16;17;21;311
"170210 Araguaína";72;76;70;48;45;46;58;62;41;49;36;603
"170215 Araguanã";1;-;-;1;2;1;1;2;-;1;1;10
"170220 Araguatins";9;7;7;6;10;17;14;10;10;6;2;98
"170230 Arapoema";6;18;15;18;6;16;14;14;7;17;8;139
"170240 Arraias";9;4;5;-;-;1;2;20;7;4;-;52
"170255 Augustinópolis";11;12;8;22;15;14;9;24;9;3;-;127
"170270 Aurora do Tocantins";-;3;1;4;-;-;2;-;-;-;-;10
"170290 Axixá do Tocantins";3;9;8;10;7;9;6;5;2;3;-;62
"170300 Babaçulândia";5;2;-;1;-;-;1;-;3;1;-;13
"170305 Bandeirantes do Tocantins";-;-;1;1;1;1;2;2;-;3;5;16
"170307 Barra do Ouro";1;-;2;2;-;-;2;-;-;-;-;7
"170310 Barrolândia";4;3;3;1;1;3;2;1;1;-;2;21
"170320 Bernardo Sayão";1;2;-;1;2;-;3;3;2;1;2;17
"170330 Bom Jesus do Tocantins";-;-;4;3;1;2;-;3;-;-;1;14
"170360 Brasilândia do Tocantins";1;3;-;-;-;2;-;1;1;-;1;9
"170370 Brejinho de Nazaré";3;4;-;8;3;11;10;1;3;3;3;49
"170380 Buriti do Tocantins";3;7;1;4;3;4;3;4;3;-;-;32
"170382 Cachoeirinha";2;1;1;-;-;-;1;-;1;-;1;7
"170384 Campos Lindos";-;-;2;-;-;-;-;2;-;1;-;5
"170386 Cariri do Tocantins";1;-;-;-;1;1;-;1;-;2;1;7
"170388 Carmolândia";3;3;-;-;1;-;-;1;3;-;-;11
"170389 Carrasco Bonito";3;5;3;5;3;-;-;4;1;-;1;25
"170390 Caseara";1;2;-;2;-;-;-;-;1;-;1;7
"170410 Centenário";-;-;1;1;-;1;-;1;1;-;-;5
"170510 Chapada da Natividade";2;1;1;1;2;1;2;1;1;1;2;15
"170460 Chapada de Areia";-;1;-;-;-;-;1;-;-;-;-;2
"170550 Colinas do Tocantins";29;26;20;21;26;23;23;41;11;23;12;255
"171670 Colméia";29;10;6;14;12;21;9;18;7;6;7;139
"170555 Combinado";1;5;10;2;-;1;-;1;-;-;-;20
"170560 Conceição do Tocantins";1;2;-;1;-;-;2;-;-;4;-;10
"170600 Couto Magalhães";-;2;3;-;-;1;1;1;1;1;4;14
"170610 Cristalândia";1;1;-;7;5;1;-;12;-;1;3;31
"170625 Crixás do Tocantins";-;-;-;2;-;3;-;-;-;1;1;7
"170650 Darcinópolis";1;1;-;-;1;-;1;1;-;2;1;8
"170700 Dianópolis";5;2;4;2;-;2;2;-;2;3;2;24
"170710 Divinópolis do Tocantins";2;6;30;26;23;3;1;-;-;3;1;95
"170720 Dois Irmãos do Tocantins";3;2;1;1;2;-;-;-;1;1;2;13
"170730 Dueré";4;4;-;1;1;5;2;-;2;1;1;21
"170740 Esperantina";3;3;2;5;1;3;5;2;-;-;2;26
"170755 Fátima";3;1;2;3;5;1;4;8;1;6;2;36
"170765 Figueirópolis";7;6;3;5;-;1;1;3;1;2;2;31
"170770 Filadélfia";-;1;1;-;-;1;1;1;-;2;-;7
"170820 Formoso do Araguaia";14;9;6;3;8;10;10;6;8;1;5;80
"170825 Fortaleza do Tabocão";2;2;1;-;3;3;6;2;-;7;8;34
"170830 Goianorte";-;-;1;-;1;-;1;3;3;1;4;14
"170900 Goiatins";-;-;3;2;1;1;1;1;-;6;7;22
"170930 Guaraí";23;20;24;32;26;27;20;33;35;26;21;287
"170950 Gurupi";21;25;26;31;30;38;42;30;29;34;35;341
"170980 Ipueiras";3;-;3;3;4;2;4;4;2;7;5;37
"171050 Itacajá";-;5;3;4;1;2;1;2;1;5;2;26
"171070 Itaguatins";1;2;4;2;3;2;2;3;1;2;-;22
"171090 Itapiratins";-;-;-;3;1;1;-;2;1;-;2;10
"171110 Itaporã do Tocantins";1;-;1;1;1;1;1;2;2;1;2;13
"171150 Jaú do Tocantins";1;-;2;-;-;2;3;-;2;-;1;11
"171180 Juarina";1;1;1;1;-;3;2;-;-;-;1;10
"171190 Lagoa da Confusão";3;-;-;1;4;11;9;7;5;6;2;48
"171195 Lagoa do Tocantins";2;2;2;1;-;-;-;2;-;2;1;12
"171200 Lajeado";1;1;4;4;3;1;2;2;2;4;1;25
"171215 Lavandeira";-;1;5;1;-;-;-;2;-;-;-;9
"171240 Lizarda";-;-;-;1;1;1;1;-;-;-;-;4
"171245 Luzinópolis";-;-;2;2;1;2;2;-;-;-;-;9
"171250 Marianópolis do Tocantins";-;1;5;-;1;1;3;1;1;1;1;15
"171270 Mateiros";2;1;-;2;4;1;2;-;-;-;2;14
"171280 Maurilândia do Tocantins";-;1;1;2;1;-;-;-;1;-;-;6
