"Município";"2007/Jan";"2007/Abr";"2007/Mai";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;-;-;-;21;64;30;21;22;34;19;33;33;19;34;28;54;52;26;19;18;13;26;33;29;27;26;40;22;25;27;46;18;19;27;30;38;29;23;32;49;16;30;33;23;8;15;13;9;23;36;36;20;60;23;1;17;15;21;17;26;26;28;25;19;27;12;12;12;5;18;17;9;6;10;12;13;18;13;13;13;20;15;14;17;19;20;20;29;27;13;13;5;5;6;10;9;5;20;44;32;5;10;19;7;7;11;5;8;4;10;2;8;8;5;6;8;12;1;10;13;8;6;13;12;18;17;15;7;14;5;5;7;4;7;8;16;7;10;9;5;11;12;14;6;7;12;16;6;8;12;12;8;7;1;2683
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-;-;-;-;1;3;-;1;-;-;1;1;-;-;1;-;2;-;-;-;-;3;-;-;-;1;1;-;8;2;2;-;5;1;-;1;1;-;1;-;-;1;-;-;-;-;2;4;10;30;13;19;19;17;15;17;14;7;12;2;13;4;4;1;7;4;6;3;4;4;3;2;2;-;3;4;3;6;1;3;5;5;5;1;2;8;9;12;9;3;5;4;10;7;2;6;7;5;11;17;10;6;9;8;8;5;15;17;8;16;11;17;10;8;19;25;17;4;7;9;6;10;13;10;4;5;7;11;5;1;-;6;4;6;4;3;4;2;2;5;1;10;1;5;2;3;-;1;10;2;5;-;-;1;806
"110040 Alto Paraíso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;-;-;-;-;-;1;1;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;1;2;-;-;-;-;1;-;-;-;-;32
"110034 Alvorada D'Oeste";-;-;-;-;-;-;-;-;1;10;8;1;-;1;-;6;6;-;14;3;11;11;10;18;8;11;7;8;11;5;8;18;11;9;12;4;16;4;4;5;8;5;8;15;12;3;6;5;4;2;4;3;3;4;6;3;1;5;6;4;2;2;6;3;12;3;-;6;4;13;16;5;10;5;2;4;5;4;3;6;3;-;2;4;1;2;3;2;1;9;8;7;4;3;2;5;5;1;1;1;-;2;1;1;-;-;2;2;2;2;4;3;3;3;6;1;1;3;4;4;2;7;1;2;3;2;-;-;3;1;3;2;1;3;2;-;3;6;3;6;-;2;2;2;3;6;5;3;6;3;4;3;1;1;2;-;-;-;-;660
"110002 Ariquemes";-;-;-;-;-;-;-;-;-;2;3;-;1;1;-;-;1;-;1;1;1;5;3;6;3;4;4;5;2;3;4;3;5;4;6;1;2;1;4;5;5;6;1;-;2;2;1;4;-;1;2;-;2;1;-;2;9;-;2;3;-;-;1;1;2;-;-;-;-;-;3;4;1;2;3;2;-;2;-;3;1;2;4;4;-;1;2;1;4;-;4;4;2;6;3;-;-;3;2;2;-;-;2;1;4;5;2;1;1;3;2;-;2;4;6;1;1;1;1;2;4;4;2;-;-;1;-;-;1;-;2;1;-;-;-;1;2;-;-;1;-;1;-;-;-;2;1;1;4;-;1;4;3;3;-;2;2;-;-;275
"110045 Buritis";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;1;1;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;23
"110003 Cabixi";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6;1;2;2;-;6;4;2;2;3;-;3;7;6;-;2;5;-;2;2;1;1;4;3;1;1;4;1;-;4;4;6;-;10;5;6;9;8;2;1;-;-;1;1;6;3;4;4;4;3;6;1;1;-;1;1;5;1;1;1;8;6;2;4;3;2;5;4;15;10;4;7;8;6;-;4;3;2;-;2;1;5;-;6;4;1;4;2;2;3;5;2;1;6;4;1;5;4;1;1;5;3;1;6;1;-;1;8;5;5;5;3;1;-;2;-;5;3;2;2;2;3;2;2;2;3;3;2;1;2;-;3;1;1;2;1;-;1;413
"110060 Cacaulândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"110004 Cacoal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;1;1;-;1;1;1;-;-;-;1;1;1;-;1;1;-;-;-;-;-;1;1;-;-;1;-;-;-;1;-;-;-;1;-;1;3;1;2;2;3;1;-;-;1;-;-;-;3;-;-;-;1;1;1;-;1;1;2;-;1;-;-;-;1;-;-;-;-;1;-;1;-;1;-;-;1;-;-;1;-;-;-;1;1;-;2;-;1;-;-;1;-;1;-;-;-;1;1;4;-;2;1;1;6;5;6;6;7;7;3;8;7;1;8;11;10;12;8;4;10;11;9;9;4;6;7;7;3;3;1;2;1;248
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;-;-;-;2;9;-;-;-;-;-;-;-;1;-;3;11;6;15;8;11;5;6;5;9;8;5;19;13;5;18;21;15;4;22;30;13;11;41;11;15;12;14;11;13;4;9;11;11;13;16;11;15;1;5;6;13;6;11;7;14;16;6;16;4;7;5;6;5;1;5;10;19;6;4;8;7;8;10;7;9;6;7;3;5;1;1;4;1;-;2;4;9;7;-;5;7;9;6;-;1;7;1;4;8;3;1;1;3;4;1;1;-;1;-;1;4;3;2;2;1;5;1;2;1;4;2;4;7;5;-;-;6;9;-;1;2;-;4;1;1;-;4;1;1;-;-;1;-;-;1;-;-;-;893
"110080 Candeias do Jamari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;12
"110090 Castanheiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;8
"110005 Cerejeiras";-;-;-;-;-;-;-;-;5;27;10;10;9;10;21;1;15;12;9;11;4;14;10;9;2;8;2;7;7;4;7;11;12;14;14;14;12;10;12;20;5;7;9;9;16;8;10;2;5;7;6;5;10;14;15;30;32;18;12;17;13;8;9;6;19;12;12;16;17;16;14;6;6;9;3;7;6;5;9;11;15;11;17;4;5;17;15;15;10;9;18;19;10;12;8;23;11;9;12;13;15;5;14;16;15;20;12;7;17;6;8;11;13;9;8;14;9;18;9;4;8;8;4;1;7;3;8;11;10;16;7;6;10;10;9;4;7;12;3;10;5;6;9;4;1;4;2;2;6;3;3;3;11;9;2;3;-;1;2;1487
"110092 Chupinguaia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110006 Colorado do Oeste";-;-;-;-;-;-;-;1;3;4;4;-;-;-;2;21;10;8;4;27;18;27;8;16;12;15;13;36;12;15;14;15;14;12;15;6;9;8;9;9;8;4;6;19;10;8;3;4;8;5;10;7;9;4;12;7;32;34;24;24;15;15;9;21;46;8;11;7;7;6;11;15;4;8;3;3;1;3;8;5;1;2;4;6;11;3;-;3;3;10;3;9;17;4;4;6;11;3;4;6;10;10;7;8;7;19;11;11;8;1;5;1;11;22;11;7;9;13;8;5;4;2;1;3;10;5;5;10;6;4;2;8;1;10;5;5;4;3;1;2;1;1;2;3;2;5;5;5;5;8;6;5;6;6;2;3;-;-;1;1262
"110007 Corumbiara";-;-;-;-;-;-;-;-;-;3;1;3;1;1;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;12;15;15;15;7;-;-;-;8;5;7;6;1;-;1;-;-;1;-;1;-;-;-;-;-;-;1;1;1;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;4;-;-;1;1;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;1;-;1;1;-;-;1;-;-;-;-;-;2;-;1;-;-;1;-;-;1;1;1;-;-;1;1;-;-;-;-;142
"110008 Costa Marques";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;4;5;1;-;-;-;-;-;-;-;-;2;-;1;4;3;1;-;2;6;10;9;4;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;2;2;1;5;4;1;-;3;2;-;3;-;2;1;1;3;1;2;1;1;1;1;2;3;2;2;-;4;4;4;2;1;1;-;2;-;-;-;-;4;-;3;-;-;-;-;-;-;136
"110094 Cujubim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;3;2;1;2;-;-;7;5;12;11;13;9;15;8;-;11;6;4;2;1;5;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;4;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;-;142
"110009 Espigão D'Oeste";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;7;6;5;7;9;5;1;8;9;12;10;2;1;9;15;7;9;6;8;3;14;9;7;12;9;7;4;7;10;11;14;9;13;12;8;13;6;5;15;14;7;15;12;7;13;9;5;8;5;4;6;3;6;8;6;5;14;3;13;6;13;9;15;6;10;11;13;7;6;15;14;17;19;13;12;8;17;15;12;11;11;17;7;9;28;15;9;14;12;18;22;20;17;4;3;2;1;1;1;3;1;-;5;5;2;2;1;1;-;975
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;-;-;6;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;-;1;2;-;3;-;-;-;-;-;2;7;1;-;-;-;2;-;-;-;-;2;2;1;-;1;4;-;-;1;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50
"110010 Guajará-Mirim";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;1;2;1;-;-;5;6;3;-;1;1;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;1;1;-;1;-;-;-;4;-;-;-;1;3;4;1;1;-;1;1;1;4;4;3;4;1;2;1;2;2;2;3;4;1;5;3;2;1;2;-;1;-;2;-;-;-;1;1;5;2;3;2;1;-;-;1;-;-;-;3;-;2;1;1;1;-;-;3;2;-;-;1;5;3;1;-;-;1;-;1;1;-;1;1;-;1;-;3;2;-;147
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"110011 Jaru";-;-;-;-;-;-;-;-;1;10;6;1;4;-;-;3;5;1;1;2;3;3;-;-;4;1;1;-;1;-;1;-;-;-;-;7;1;-;-;-;-;1;-;-;-;1;-;1;-;2;-;-;1;1;-;4;6;3;-;1;1;-;4;-;2;-;1;2;-;2;-;-;-;-;1;-;1;-;1;1;1;-;1;2;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;1;1;-;-;1;1;-;-;1;-;1;1;1;2;2;2;-;-;-;2;-;1;-;1;-;-;-;-;1;-;1;-;-;-;1;-;126
"110012 Ji-Paraná";-;-;-;-;-;-;-;-;1;20;6;11;22;4;-;7;22;23;18;48;45;30;28;18;19;20;3;6;4;3;1;2;5;-;-;6;4;4;4;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;-;-;1;-;1;-;-;-;-;2;1;1;-;1;1;-;2;-;-;-;-;1;410
"110013 Machadinho D'Oeste";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;2;20;8;4;11;4;12;13;16;39;22;24;13;9;13;12;18;15;19;23;18;26;9;20;2;7;14;24;24;3;4;3;7;12;10;27;15;15;5;11;6;4;1;1;-;5;3;3;5;5;2;14;8;4;3;8;2;5;2;1;4;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;3;-;2;2;8;6;3;13;8;2;4;4;6;2;1;6;2;2;2;2;-;13;8;6;2;3;8;13;6;15;12;16;9;3;-;-;2;-;846
"110120 Ministro Andreazza";-;-;-;-;-;-;-;-;-;8;-;-;-;-;2;6;2;10;6;5;2;6;4;8;6;8;9;3;5;6;4;7;5;6;5;4;2;2;4;5;4;5;4;6;5;3;6;4;2;3;5;2;1;1;3;3;2;4;2;5;2;2;-;2;2;1;1;2;3;3;4;3;3;5;2;-;-;-;3;6;3;3;2;-;1;2;1;2;1;1;2;1;4;-;1;-;-;2;-;1;-;2;1;1;-;1;-;-;1;1;1;3;-;-;-;1;-;1;2;2;1;-;1;-;2;-;1;4;2;1;2;1;1;-;1;1;1;1;1;-;-;3;-;1;3;2;1;-;-;1;1;-;2;-;-;1;1;-;-;335
"110130 Mirante da Serra";-;-;-;-;-;-;-;-;-;4;-;-;1;1;-;2;1;-;1;2;-;1;-;2;1;1;-;-;-;-;-;1;-;1;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;32
"110140 Monte Negro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;4;5;6;6;6;7;7;3;4;5;8;14;6;8;8;9;6;11;10;16;9;5;12;5;16;9;5;5;5;3;10;17;8;8;13;18;16;12;11;6;5;5;1;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;376
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;-;-;2;3;3;1;-;-;1;-;-;-;1;-;1;-;-;-;-;1;-;-;1;3;-;2;-;-;2;1;1;1;3;-;2;2;-;-;2;-;2;-;1;4;2;2;8;6;4;1;6;7;-;6;-;-;2;3;4;1;2;3;5;6;10;6;2;4;6;12;2;5;10;16;6;13;3;4;6;6;5;11;5;6;9;8;4;-;-;-;-;-;-;-;-;-;-;6;14;5;4;1;4;5;7;1;-;2;4;4;1;3;2;5;3;2;3;1;-;2;6;9;3;6;1;2;2;3;2;1;-;-;-;1;-;-;1;-;1;1;2;-;-;2;4;3;3;6;1;2;-;-;408
"110033 Nova Mamoré";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;16
"110143 Nova União";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;1;-;-;3;-;-;-;1;5;-;-;-;-;1;-;-;-;1;-;1;1;-;1;7;7;2;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;5;1;2;-;3;-;-;-;-;-;-;64
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;-;-;-;9;11;-;-;-;5;13;11;9;16;9;10;9;1;-;-;1;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;-;1;1;-;1;1;-;3;-;-;2;5;-;-;-;-;-;-;-;1;1;-;4;2;-;-;1;1;-;-;-;-;1;-;1;9;1;1;-;-;1;1;-;1;2;-;-;3;4;4;4;2;3;5;8;14;8;4;7;4;2;1;5;3;1;5;5;11;7;7;3;1;4;1;-;2;1;2;2;1;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;2;-;1;-;-;-;300
"110015 Ouro Preto do Oeste";-;-;-;-;-;-;-;3;14;4;10;9;5;8;3;3;3;1;2;-;5;11;5;2;2;1;6;4;3;-;1;4;1;-;1;-;1;1;2;1;1;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;1;-;-;-;-;-;2;4;1;2;-;3;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;1;-;1;2;-;1;1;1;2;-;-;-;2;2;1;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;162
"110145 Parecis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;1;1;1;2;-;-;-;-;-;2;3;1;1;-;-;1;-;1;2;-;-;-;-;1;1;2;2;1;-;-;-;2;-;1;4;1;1;1;-;-;1;-;3;1;1;3;2;-;-;4;-;-;1;-;-;-;54
"110018 Pimenta Bueno";-;-;-;-;-;-;-;-;8;1;-;1;-;-;1;-;-;1;-;-;1;-;-;-;-;-;1;1;-;5;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;1;1;1;-;1;1;3;1;-;1;2;1;1;-;2;-;1;-;2;1;-;-;1;-;3;1;4;-;-;-;1;-;-;-;-;1;-;-;-;1;1;1;1;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;-;-;2;-;-;1;1;1;-;-;-;2;1;1;-;-;2;-;2;-;-;-;-;1;-;2;-;-;-;1;-;-;1;1;1;-;-;1;-;1;-;1;1;-;-;3;-;-;-;-;-;-;-;89
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;1;-;2;-;-;-;-;-;-;-;-;1;-;-;3;1;1;1;1;-;1;1;1;2;2;7;-;2;1;1;1;1;-;1;-;-;2;-;5;4;3;-;2;3;3;1;7;4;1;-;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;2;-;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;-;-;2;-;1;1;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;-;100
"110020 Porto Velho";-;-;-;-;-;-;-;-;2;2;-;1;1;-;1;-;5;2;1;-;1;7;2;2;2;1;1;1;3;4;1;1;-;5;2;4;1;2;1;11;12;15;9;12;18;8;15;3;2;2;1;3;8;-;3;1;2;11;2;10;-;5;1;-;4;-;3;1;1;2;1;2;7;1;6;1;-;-;2;1;4;-;1;-;3;1;2;3;3;2;-;-;1;1;2;-;1;1;1;-;2;3;2;1;4;6;1;4;1;1;2;1;3;3;3;-;1;-;3;-;3;3;-;-;3;2;3;1;2;2;2;1;4;2;1;1;-;1;2;4;4;2;2;3;2;-;4;2;5;4;1;2;2;2;3;-;-;1;-;385
"110025 Presidente Médici";-;-;-;-;-;-;-;-;-;28;9;15;6;9;1;6;15;17;21;15;21;12;6;15;12;8;6;2;10;6;4;9;16;4;9;3;9;3;5;5;7;12;3;7;5;1;1;1;7;2;3;8;8;4;5;8;3;6;5;7;5;3;3;3;5;4;6;3;3;1;2;1;-;6;6;2;3;3;2;1;2;3;-;1;1;1;-;1;1;1;2;-;10;-;2;2;2;-;-;-;2;2;2;5;-;-;3;-;1;1;-;1;2;2;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;2;-;-;1;-;1;2;-;1;-;-;-;-;1;1;1;3;1;1;2;-;5;1;-;1;-;-;1;-;-;550
