,2015,2016,2017,MUNCOD
0,1,0,0,110001
1,0,1,0,110002
2,0,0,1,110005
3,1,1,3,110009
4,0,1,0,110110
5,5,2,3,110011
6,0,1,0,110012
7,0,0,1,110014
8,0,1,1,110018
9,0,6,3,110020
10,0,2,0,110025
11,2,0,0,110028
12,2,5,11,120040
13,0,0,1,120045
14,0,1,0,130002
15,1,0,0,130050
16,0,1,3,130190
17,1,0,0,130240
18,0,1,0,130250
19,20,10,11,130260
20,0,0,1,130290
21,0,1,0,130320
22,0,1,0,130400
23,3,4,1,140010
24,1,0,2,150060
25,1,0,0,150080
26,0,0,1,150130
27,0,2,4,150140
28,1,0,0,150172
29,0,1,1,150180
30,0,0,1,150195
31,0,2,0,150240
32,0,1,0,150280
33,0,1,0,150309
34,1,0,0,150360
35,1,0,0,150420
36,0,1,0,150503
37,4,2,3,150530
38,0,0,1,150540
39,0,1,0,150548
40,1,9,9,150550
41,4,2,3,150553
42,0,0,2,150660
43,2,0,1,150680
44,0,1,0,150700
45,0,1,0,150720
46,1,0,0,150797
47,0,0,1,150810
48,0,0,1,150820
49,0,0,1,150830
50,0,1,0,160010
51,0,0,2,160027
52,2,1,0,160030
53,0,0,1,160060
54,2,2,1,170210
55,0,1,0,171670
56,4,3,0,171090
57,2,3,6,172100
58,2,2,1,171610
59,4,0,0,171820
60,4,0,9,210060
61,0,0,3,210360
62,1,0,0,210370
63,0,1,0,210467
64,1,0,0,210540
65,6,1,0,210550
66,0,6,0,210690
67,1,0,0,210740
68,4,4,2,210750
69,1,1,0,210850
70,1,0,1,210860
71,0,1,0,210910
72,0,0,1,210923
73,1,0,0,210927
74,1,1,0,211000
75,0,1,0,211050
76,7,1,1,211120
77,24,11,11,211130
78,2,0,1,211210
79,1,0,0,211220
80,1,0,0,211230
81,0,1,0,211400
82,1,0,0,220105
83,0,0,1,220253
84,0,0,1,220340
85,0,1,0,220480
86,0,1,0,220557
87,0,2,0,220650
88,0,0,1,220780
89,1,0,0,220880
90,0,0,1,220987
91,0,0,1,221063
92,1,0,0,221065
93,2,3,2,221100
94,1,0,0,221130
95,2,1,0,230050
96,0,0,1,230070
97,0,0,1,230190
98,1,0,1,230220
99,0,1,1,230240
100,0,0,1,230250
101,2,1,0,230260
102,1,0,0,230310
103,0,2,1,230370
104,1,0,0,230410
105,0,0,1,230428
106,0,1,2,230430
107,0,1,0,230435
108,23,23,15,230440
109,1,0,0,230470
110,0,1,0,230490
111,0,0,1,230500
112,1,0,0,230535
113,0,0,1,230540
114,1,0,0,230550
115,0,1,0,230580
116,1,0,0,230600
117,2,0,0,230630
118,2,2,1,230730
119,3,0,0,230765
120,0,1,0,230770
121,1,0,0,230780
122,1,0,0,230840
123,1,0,0,230890
124,1,0,0,230920
125,1,0,0,230960
126,1,0,0,230970
127,0,2,1,231123
128,1,0,0,231126
129,0,1,0,231160
130,0,1,0,231170
131,1,0,0,231180
132,0,0,1,231220
133,9,4,2,231290
134,1,4,2,231340
135,1,0,0,231350
136,1,0,0,231360
137,0,1,0,231395
138,0,0,1,240010
139,0,0,1,240100
140,0,1,0,240110
141,0,1,0,240120
142,0,1,0,240200
143,1,0,0,240260
144,0,0,1,240300
145,1,0,0,240320
146,0,0,1,240450
147,1,0,0,240470
148,1,0,0,240580
149,0,0,1,240710
150,0,0,1,240720
151,4,0,0,240800
152,9,6,8,240810
153,1,0,0,240830
154,1,1,1,240325
155,0,0,1,241120
156,1,5,0,241150
157,2,0,0,241200
158,1,0,0,241330
159,1,0,0,250215
160,2,1,8,250400
161,1,0,0,250630
162,3,0,1,250750
163,0,1,0,250830
164,0,1,0,251370
165,1,0,0,251390
166,1,0,0,251620
167,0,0,1,260005
168,0,1,1,260010
169,1,0,0,260120
170,0,1,0,260140
171,0,2,1,260190
172,0,1,3,260290
173,1,0,1,260345
174,0,1,1,260400
175,1,4,2,260410
176,0,0,1,260520
177,1,3,0,260570
178,0,0,1,260590
179,0,1,0,260600
180,0,1,0,260620
181,1,0,1,260640
182,1,1,3,260680
183,0,0,1,260760
184,1,0,0,260740
185,3,3,4,260790
186,0,2,0,260825
187,0,3,2,260830
188,0,1,0,260880
189,0,1,0,260890
190,2,1,0,260940
191,4,3,1,260960
192,0,0,1,260970
193,0,1,3,261070
194,0,0,1,261080
195,0,0,3,261110
196,12,21,16,261160
197,0,0,1,261180
198,1,1,0,261220
199,0,1,0,261250
200,0,0,1,261260
201,0,0,1,261350
202,1,0,0,261410
203,0,1,0,261420
