,2015,2016,2017,MUNCOD
0,1,2,2,110001
1,0,1,1,110037
2,1,2,0,110040
3,1,1,0,110034
4,33,18,15,110002
5,9,2,2,110045
6,2,2,2,110003
7,0,0,2,110060
8,38,27,12,110004
9,0,1,1,110070
10,0,2,2,110080
11,0,0,1,110090
12,9,6,9,110005
13,2,1,0,110092
14,3,4,6,110006
15,2,1,3,110007
16,0,1,1,110008
17,2,1,1,110094
18,2,1,2,110009
19,1,2,0,110100
20,3,2,4,110010
21,0,0,3,110110
22,8,6,8,110011
23,5,13,3,110012
24,2,1,2,110013
25,2,0,0,110120
26,1,0,0,110130
27,0,1,0,110014
28,2,1,2,110033
29,5,0,4,110050
30,14,14,12,110015
31,2,7,10,110145
32,8,9,20,110018
33,2,1,1,110146
34,18,15,27,110020
35,4,1,2,110025
36,3,2,4,110147
37,0,0,1,110026
38,18,4,37,110028
39,1,1,0,110029
40,0,1,2,110148
41,2,0,5,110149
42,7,6,7,110032
43,0,1,0,110150
44,1,1,0,110170
45,0,0,1,110175
46,1,1,0,110180
47,72,41,54,110030
48,0,1,0,120005
49,3,9,0,120010
50,1,0,0,120017
51,6,5,7,120020
52,7,3,2,120025
53,1,0,2,120030
54,1,1,1,120033
55,13,22,16,120034
56,0,1,0,120035
57,4,4,2,120038
58,2,0,1,120080
59,0,1,1,120039
60,16,26,19,120040
61,3,3,1,120042
62,3,7,30,120050
63,6,10,2,120045
64,1,6,3,120060
65,5,4,15,120070
66,1,0,0,130002
67,0,0,1,130006
68,1,0,0,130008
69,1,0,0,130030
70,0,2,1,130050
71,2,2,0,130063
72,0,0,1,130068
73,1,1,3,130070
74,0,0,2,130080
75,2,1,0,130100
76,2,0,0,130110
77,1,1,0,130120
78,1,4,0,130130
79,1,0,0,130150
80,7,5,1,130165
81,0,0,1,130170
82,4,6,1,130180
83,0,0,1,130185
84,2,2,0,130195
85,0,0,1,130210
86,1,1,3,130250
87,42,23,25,130260
88,3,3,5,130290
89,0,0,4,130300
90,1,0,0,130320
91,4,5,9,130340
92,4,0,0,130350
93,1,0,0,130356
94,0,0,4,130370
95,1,0,0,130390
96,0,0,1,130395
97,6,1,1,130400
98,2,1,0,130406
99,4,0,5,130410
100,10,5,5,130420
101,0,2,0,140002
102,15,30,17,140010
103,1,2,1,140015
104,0,0,1,140017
105,1,2,1,140020
106,1,1,1,140030
107,0,0,1,140040
108,1,1,2,140047
109,0,0,2,140050
110,0,1,0,140070
111,1,4,28,150010
112,0,2,7,150020
113,7,7,7,150030
114,2,0,1,150040
115,1,0,0,150050
116,3,8,0,150060
117,3,0,7,150070
118,12,11,8,150080
119,13,13,2,150085
120,0,1,2,150090
121,1,0,0,150095
122,1,0,1,150110
123,1,0,0,150125
124,2,8,7,150130
125,28,30,54,150140
126,4,3,0,150145
127,1,1,0,150150
128,0,0,4,150157
129,0,0,5,150160
130,2,4,15,150170
