,2015,2016,2017,MUNCOD
0,1,0,0,110001
1,3,1,1,110004
2,2,0,0,110080
3,0,1,1,110010
4,2,1,2,110011
5,2,4,2,110012
6,1,0,0,110015
7,0,0,2,110018
8,0,2,1,110020
9,0,0,2,110025
10,1,0,1,110028
11,0,1,0,110148
12,0,4,0,110149
13,0,1,0,110150
14,1,0,0,110155
15,0,3,1,110030
16,0,1,0,120010
17,2,1,0,120040
18,1,0,0,120050
19,1,0,0,130040
20,1,0,0,130240
21,9,9,4,130260
22,0,1,0,130340
23,7,0,0,140010
24,1,0,0,150010
25,1,0,0,150060
26,1,0,0,150080
27,2,0,0,150140
28,0,0,1,150180
29,0,0,1,150220
30,1,0,0,150270
31,0,1,0,150345
32,1,1,0,150375
33,1,0,0,150510
34,0,0,1,150553
35,1,0,0,150613
36,0,0,1,150660
37,0,0,1,150730
38,0,0,2,150790
39,1,0,0,150803
40,0,1,0,150830
41,1,0,0,160020
42,1,1,0,160030
43,0,2,0,170110
44,0,0,1,170130
45,0,4,2,170210
46,0,1,0,170555
47,1,1,0,170950
48,1,0,0,171330
49,1,2,0,172100
50,2,0,1,171820
51,0,1,1,210090
52,1,0,0,210240
53,0,1,0,210270
54,1,0,0,210280
55,0,0,1,210545
56,0,1,0,210570
57,2,0,0,210825
58,0,0,1,210850
59,0,1,0,211010
60,0,0,1,211110
61,0,0,1,211120
62,1,6,4,211130
63,0,1,0,211170
64,1,0,0,211210
65,1,0,0,211220
66,1,1,1,220190
67,0,2,0,220200
68,0,1,0,220208
69,0,1,1,220270
70,0,0,1,220275
71,0,2,1,220370
72,1,0,1,220390
73,0,1,0,220465
74,0,1,0,220540
75,1,0,0,220550
76,0,12,7,220770
77,1,0,0,230100
78,2,1,0,230110
79,0,1,0,230150
80,1,0,0,230190
81,1,0,0,230220
82,7,3,0,230240
83,2,0,0,230250
84,0,1,0,230270
85,1,0,0,230280
86,0,1,0,230310
87,0,1,0,230360
88,4,1,0,230370
89,69,17,15,230440
90,0,1,0,230445
91,0,1,0,230530
92,0,0,1,230550
93,3,1,0,230630
94,1,0,0,230655
95,0,1,0,230680
96,1,2,0,230730
97,3,0,0,230760
98,4,2,1,230765
99,0,1,0,230840
100,1,0,0,230850
101,0,1,0,230970
102,0,1,0,231050
103,0,1,0,231085
104,0,0,1,231160
105,4,0,0,231220
106,1,0,0,231270
107,4,0,0,231290
108,0,1,0,231330
109,1,0,0,231340
110,1,0,0,231375
111,0,0,1,231380
112,0,0,2,231400
113,6,0,0,231410
114,0,0,1,240150
115,0,2,0,240200
116,1,0,0,240210
117,1,0,1,240310
118,0,1,0,240380
119,0,1,0,240800
120,3,3,3,240810
121,1,0,1,240940
122,0,0,1,241030
123,1,0,0,241335
124,1,0,0,250230
125,2,1,0,250400
126,1,3,0,250750
127,1,0,0,251040
128,2,0,0,251490
129,0,1,0,260005
130,0,1,0,260110
131,1,3,0,260120
132,0,1,0,260170
133,0,0,1,260190
134,0,0,3,260290
135,1,0,3,260345
136,1,1,1,260410
137,0,0,1,260460
138,0,0,1,260500
139,1,0,0,260570
140,0,0,1,260600
141,3,1,1,260620
142,0,1,0,260640
143,1,0,1,260730
144,0,2,0,260775
145,4,1,6,260790
146,0,0,1,260860
147,0,1,0,260890
148,0,2,0,260940
149,0,0,1,260950
150,7,4,5,260960
151,0,0,1,260970
152,0,1,0,261060
153,3,4,2,261070
154,1,1,0,261100
155,1,2,0,261110
156,0,3,1,261153
157,13,17,6,261160
158,0,1,0,261190
159,0,0,1,261245
160,0,0,1,261320
161,1,2,1,261370
162,1,0,0,261420
163,0,0,1,261470
164,0,1,3,261530
165,1,0,0,261540
166,0,2,1,261580
167,1,3,0,261640
168,1,0,2,270430
169,3,0,0,280030
170,0,1,0,280350
171,4,1,0,290070
172,0,1,0,290270
173,0,4,1,290350
174,0,2,0,290390
175,9,0,0,290490
176,0,0,2,290515
177,0,1,0,290520
178,2,2,0,290570
179,3,0,0,290890
180,2,0,0,290900
181,0,1,0,291000
182,2,0,2,291072
183,3,1,0,291080
184,0,0,2,291280
185,0,0,1,291290
186,0,0,1,291350
187,0,0,1,291360
188,0,0,1,291390
189,0,3,1,291480
190,0,0,1,291610
191,0,1,0,291660
192,0,1,0,291740
193,1,0,0,291800
194,0,1,0,291830
195,1,1,0,291840
196,0,0,1,291880
197,7,0,0,291920
198,1,0,0,291992
199,1,3,0,292170
200,1,0,0,292320
201,2,4,0,292400
202,2,0,0,292520
203,1,0,1,292575
204,0,0,1,292630
205,1,0,0,292660
206,1,0,0,292720
207,49,22,17,292740
208,0,2,0,292820
209,4,0,0,292870
210,0,2,0,292905
211,1,0,0,293077
212,1,0,0,293135
213,0,1,0,293270
214,3,1,1,293330
215,0,0,1,310150
216,2,0,0,310190
217,0,1,0,310340
218,2,3,6,310400
219,0,1,0,310510
220,1,0,0,310560
221,23,49,48,310620
222,0,0,2,310670
223,0,1,5,310730
224,0,1,0,310740
225,1,0,0,310780
226,1,0,0,310840
227,0,0,1,310850
228,0,1,1,310860
229,1,0,0,311000
230,0,0,2,311060
231,0,2,1,311070
232,0,1,0,311270
233,4,3,0,311330
234,1,0,0,311340
235,0,1,0,311550
236,0,0,1,311670
237,0,1,0,311680
238,0,1,0,311710
239,1,0,0,311520
240,1,0,1,311730
241,1,0,0,311830
242,1,2,0,311860
243,1,1,0,311910
244,0,1,1,312090
245,0,3,0,312160
246,2,0,0,312200
247,0,1,0,312247
248,0,4,3,312360
249,0,1,0,312390
250,0,1,0,312540
251,1,0,0,312595
252,2,1,0,312620
253,1,0,0,312737
254,0,14,4,312770
255,1,0,0,312825
256,0,0,2,312870
257,0,2,0,312965
258,1,0,2,312980
259,0,1,0,312990
260,0,1,0,313005
261,5,2,1,313130
262,1,0,0,313190
263,0,1,0,313210
264,0,1,0,313240
265,0,2,0,313250
266,1,0,0,313350
267,1,0,0,313505
268,1,0,0,313520
269,0,0,1,313600
270,5,4,2,313670
271,0,1,0,313720
272,1,0,0,313750
273,0,1,0,313820
274,0,2,0,313930
275,1,3,0,313940
276,0,1,0,313960
277,0,1,0,313990
278,1,0,0,314000
279,0,1,2,314070
280,1,0,0,314080
281,1,2,0,314320
282,3,9,4,314330
283,1,0,0,314400
284,0,0,1,314410
285,0,0,1,314600
286,0,2,0,314610
287,0,1,0,314790
288,1,0,0,314800
289,1,1,0,315120
290,1,0,0,315180
291,1,0,1,315250
292,1,0,0,315300
293,0,3,0,315330
294,1,0,0,315400
295,0,1,0,315420
296,0,1,1,315450
297,1,0,4,315460
298,0,0,2,315490
299,0,0,1,315670
300,1,0,0,315680
301,0,0,1,315770
302,0,1,1,315780
303,2,0,0,315790
304,1,0,0,316110
305,0,0,1,316220
306,3,0,2,316250
307,3,1,0,316255
308,0,0,1,316292
309,0,1,0,316370
310,0,1,0,316430
311,0,2,2,316720
312,0,1,0,316870
313,2,0,0,316905
314,0,0,1,316920
315,1,2,0,316930
316,1,1,0,316990
317,1,9,1,317010
318,4,2,2,317020
319,0,2,0,317040
320,0,1,0,317130
321,0,1,0,320010
322,0,1,1,320020
323,0,0,1,320050
324,0,1,0,320070
325,1,0,0,320110
326,2,3,0,320120
327,0,0,1,320150
328,0,1,0,320210
329,0,1,0,320300
330,0,0,1,320320
331,0,0,1,320360
332,0,0,1,320455
333,0,1,0,320480
334,1,0,3,320500
335,0,0,1,320510
336,0,2,0,320520
337,0,2,0,320530
338,0,0,1,330010
339,36,42,5,330030
340,1,1,1,330040
341,1,0,2,330045
342,1,0,0,330050
343,0,0,2,330070
344,0,0,1,330100
345,1,0,0,330110
346,1,0,0,330130
347,0,1,0,330150
348,3,4,2,330170
349,0,0,10,330180
350,1,3,1,330185
351,0,1,0,330200
352,0,0,1,330205
353,0,0,1,330220
354,0,0,1,330240
355,0,0,2,330250
356,0,0,2,330270
357,0,1,0,330280
358,0,1,0,330285
359,1,0,1,330330
360,1,0,0,330340
361,1,1,1,330350
362,5,3,4,330390
363,0,0,1,330400
364,0,1,0,330420
