,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,110002,0,0,0,0,0,1,0,0,0
1,110100,0,0,0,0,0,0,0,0,1
2,110010,0,1,0,0,1,0,0,0,0
3,110013,0,0,0,0,0,0,0,0,2
4,110029,0,0,0,0,0,0,1,0,0
5,120010,0,1,0,0,1,0,0,0,0
6,120030,0,0,0,1,0,0,0,0,0
7,120040,0,1,0,0,0,1,0,0,0
8,120043,0,0,0,0,1,0,0,0,0
9,120060,0,0,1,0,0,0,0,0,0
10,130068,0,0,0,0,1,0,0,0,0
11,130130,0,0,0,0,0,0,1,0,0
12,130190,0,0,0,0,0,1,0,0,0
13,130260,0,0,0,0,4,4,2,0,0
14,130270,0,0,0,0,0,0,2,0,0
15,130330,0,0,0,0,0,0,1,0,0
16,130350,0,0,0,0,0,0,1,0,0
17,130353,0,0,0,1,0,0,0,0,0
18,130390,0,0,1,0,0,0,0,0,0
19,130400,0,0,0,0,0,0,0,0,4
20,130406,0,4,0,0,0,0,0,0,0
21,130420,0,0,0,0,1,0,0,0,0
22,150140,0,0,0,0,0,0,1,2,0
23,150150,0,0,0,0,0,0,1,0,0
24,150375,0,0,0,0,0,0,1,2,0
25,150510,0,0,0,0,0,1,0,0,0
26,150730,0,0,0,0,1,1,0,0,0
27,150812,0,0,0,0,0,1,0,0,0
28,160050,0,0,0,1,0,3,0,0,0
29,160060,0,0,0,0,1,0,0,0,0
30,170070,0,0,0,0,0,0,1,0,0
31,170950,0,0,0,0,1,0,0,0,0
32,172100,0,0,0,1,0,0,0,0,0
33,171855,0,0,0,0,0,0,0,0,1
34,172125,0,1,0,0,0,0,0,0,0
35,210043,0,0,0,0,0,1,0,0,0
36,210055,0,0,0,1,0,0,0,0,0
37,210080,0,0,0,0,0,0,0,1,0
38,210180,0,0,0,0,2,0,0,0,0
39,210290,0,0,0,1,0,0,0,0,0
40,210380,0,1,0,0,0,0,0,0,0
41,210480,0,0,0,0,0,0,1,0,0
42,210750,0,0,0,0,1,0,0,0,0
43,210830,0,1,0,0,0,0,0,0,0
44,210945,0,0,0,0,0,0,0,1,0
45,211130,0,0,1,1,0,1,3,4,0
