,MUNCOD,2008,2009,2010,2011,2012,2013,2014,2015
0,110040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,110002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,110045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,110009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,110010,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,110011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,110012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,110140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,110015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,110145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,110018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,110020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,110028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,110175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,110030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,120005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,120010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,120030,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,120034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,120038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,120042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,120060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,120070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,130002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,130010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,130080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,130110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,130120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,130150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,130180,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,130200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,130260,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
32,130353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,130395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,130406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,130420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,130426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,130430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
