,MUNCOD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
37,261310,0,0,0,0,0,0,0,1,0,0,0,0,0
38,261370,0,0,0,0,0,0,0,0,0,0,0,0,1
39,261530,0,0,0,0,0,0,0,0,0,0,1,0,0
40,270030,0,0,0,0,0,0,0,0,0,1,0,0,0
41,270040,0,0,0,0,0,0,0,0,0,1,0,0,0
42,270160,0,0,0,0,0,0,0,0,0,0,1,0,0
43,270430,0,0,0,0,0,0,0,1,0,10,4,2,1
44,270770,0,0,0,0,0,0,0,0,0,0,0,1,0
45,270790,0,0,0,0,0,0,0,0,0,0,0,1,0
46,270830,0,0,0,0,0,0,0,0,0,0,0,1,0
47,270880,0,0,0,0,0,0,0,0,0,0,0,1,0
48,280760,0,0,0,0,0,0,0,1,0,0,0,0,0
49,290350,0,0,0,0,0,0,0,0,0,0,0,1,0
50,291840,0,0,0,0,0,0,0,0,1,0,0,0,0
51,292740,0,0,0,0,0,0,0,0,0,2,0,0,0
52,310620,0,0,0,0,0,0,0,0,4,1,0,1,1
53,310670,0,0,0,0,0,0,0,1,0,0,1,0,0
54,311120,0,0,0,0,0,0,0,1,0,0,0,0,0
55,311860,0,1,0,0,0,0,0,1,0,0,0,0,0
56,312090,0,0,0,0,0,0,0,0,1,0,0,0,0
57,312730,0,0,0,0,0,0,0,0,0,1,0,0,0
58,312770,0,0,0,0,0,0,0,0,0,0,1,0,0
59,313620,0,0,0,0,0,0,0,1,0,0,0,0,0
60,313720,0,0,0,0,0,0,0,0,1,0,0,0,0
61,314110,0,0,0,0,0,0,0,1,0,0,0,0,0
62,314140,0,0,0,0,0,0,0,0,1,0,0,0,0
63,314467,0,0,0,0,0,0,0,0,0,0,1,0,0
64,314520,0,0,0,0,0,0,0,0,3,0,0,0,0
65,314710,0,0,0,0,0,0,0,0,1,0,0,0,0
66,315460,0,0,0,0,0,0,0,1,1,0,1,1,0
67,315720,0,0,0,0,0,0,0,0,1,0,0,0,0
68,315780,0,0,0,0,0,0,0,0,2,0,0,0,0
69,317020,0,0,0,0,0,0,1,0,1,0,0,0,1
70,317120,0,0,0,0,0,0,0,1,1,0,0,0,0
71,320130,0,0,0,0,0,0,0,3,3,2,1,0,2
72,320455,0,0,0,0,0,0,0,0,0,0,0,2,0
73,320510,0,0,0,0,0,0,0,0,0,0,1,0,0
