,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total,MUNCOD
1304,0,0,0,0,0,0,0,0,0,0,1,1,250905
1305,1,0,0,0,3,1,2,2,1,3,2,15,250910
1306,0,0,1,0,0,0,0,2,0,0,0,3,250915
1307,0,4,0,0,0,0,2,1,0,0,1,8,250920
1308,0,1,1,0,0,0,0,0,0,0,0,2,250930
1309,1,0,0,0,2,0,0,0,0,0,0,3,250933
1310,0,1,0,0,0,0,0,0,0,0,0,1,250939
1311,0,0,1,1,0,0,0,0,0,1,0,3,250940
1312,1,0,0,0,0,0,0,0,1,0,0,2,250960
1313,1,0,1,2,1,1,2,3,5,3,5,24,250970
1314,0,0,1,1,0,0,0,0,0,0,0,2,250980
1315,0,0,2,0,0,0,1,1,0,0,0,4,250990
1316,0,0,0,0,1,1,0,1,0,0,0,3,251000
1317,0,1,2,0,1,1,2,0,0,1,1,9,251010
1318,0,0,0,0,0,0,0,0,1,4,4,9,251020
1319,2,0,0,0,0,0,0,0,0,0,0,2,251030
1320,0,0,2,0,0,0,0,0,0,0,1,3,251040
1321,0,0,1,1,0,0,0,0,0,0,0,2,251060
1322,0,0,0,0,1,0,0,0,0,0,0,1,251065
1323,6,5,10,8,3,5,11,13,5,16,9,91,251080
1324,0,0,0,0,0,2,2,1,1,1,1,8,251090
1325,0,1,0,1,0,0,0,0,0,2,0,4,251100
1326,0,0,0,0,0,1,0,0,0,1,0,2,251110
1327,0,2,4,2,0,2,1,3,1,1,1,17,251120
1328,0,0,0,0,0,0,0,0,1,0,0,1,251272
1329,1,1,0,2,1,3,1,1,4,2,5,21,251130
1330,1,1,0,3,3,1,3,1,2,0,1,16,251140
1331,0,0,3,0,0,1,0,1,0,1,0,6,251150
1332,1,0,1,0,0,0,1,1,2,0,1,7,251160
1333,0,0,0,0,1,0,0,0,0,1,1,3,251170
1334,0,0,1,0,0,5,0,1,0,0,0,7,251180
1335,0,3,1,1,1,1,0,0,0,0,2,9,251190
1336,1,1,3,1,0,0,0,3,0,0,0,9,251200
1337,0,0,0,0,1,0,1,0,0,0,0,2,251203
1338,1,0,0,1,5,0,5,1,1,3,1,18,251210
1339,0,1,1,0,0,0,0,0,0,1,0,3,251220
1340,2,1,0,1,0,0,0,2,2,0,3,11,251230
1341,1,0,1,0,0,0,0,1,0,0,0,3,251240
1342,3,3,2,1,1,0,2,2,4,3,5,26,251250
1343,1,0,0,0,0,0,1,0,0,0,0,2,251260
1344,1,1,1,3,0,0,0,0,0,3,1,10,251270
1345,0,0,0,0,0,1,0,0,1,0,0,2,251274
1346,0,0,0,0,0,2,1,0,0,1,0,4,251275
1347,0,0,1,0,0,1,1,0,0,0,0,3,251276
1348,0,0,0,0,0,0,0,0,0,0,1,1,251280
1349,0,0,0,2,1,2,0,0,1,0,0,6,251290
1350,0,0,0,0,2,0,0,0,0,1,0,3,251300
1351,0,0,1,0,0,1,0,2,0,0,0,4,251310
1352,3,0,0,1,0,2,0,0,0,0,0,6,251315
1353,0,0,0,1,1,0,0,0,1,0,0,3,251320
1354,0,1,0,0,0,0,0,0,0,1,1,3,251330
1355,0,0,0,1,0,0,0,0,0,2,0,3,251335
1356,0,2,0,1,1,0,1,1,1,0,1,8,251340
1357,2,3,1,5,7,3,3,5,5,0,6,40,251370
1358,0,0,0,0,0,1,0,1,0,0,1,3,251380
1359,0,0,0,0,1,1,0,1,0,0,0,3,251350
1360,0,1,0,0,0,1,1,0,1,0,1,5,251360
1361,0,0,0,0,2,0,0,1,0,0,1,4,251385
1362,0,0,0,0,0,0,0,0,1,0,1,2,251392
1363,2,3,2,1,3,3,3,2,1,3,5,28,251390
1364,1,0,0,0,0,0,0,0,0,0,0,1,251394
1365,2,0,0,0,1,0,1,0,0,2,0,6,251398
1366,1,1,0,0,0,0,0,1,0,2,1,6,251400
1367,0,0,1,1,1,1,0,3,0,0,2,9,250070
1368,0,1,0,0,0,0,0,1,0,0,0,2,251410
1369,1,1,0,1,0,1,1,1,0,0,0,6,251420
1370,0,0,0,0,0,0,0,0,0,2,0,2,251430
1371,0,2,0,1,1,0,0,0,1,1,0,6,251440
1372,0,2,2,1,1,2,0,1,2,4,1,16,251450
1373,0,0,0,0,2,1,0,0,0,0,1,4,251455
1374,0,0,0,0,0,0,0,1,0,0,0,1,251460
1375,0,0,1,0,0,0,0,0,0,0,0,1,251465
1376,0,1,0,0,0,0,0,0,1,0,1,3,251470
1377,0,0,0,0,1,0,0,1,0,0,0,2,251480
1378,0,0,0,0,0,1,0,0,0,0,0,1,251445
1379,0,0,0,0,0,1,0,2,0,0,2,5,251490
1380,2,1,0,0,0,0,0,0,0,0,0,3,251500
1381,0,0,0,0,0,1,0,0,0,1,1,3,251510
1382,0,0,0,0,0,0,0,0,1,0,1,2,251520
1383,1,0,0,1,1,0,0,1,0,0,0,4,251540
1384,4,2,5,1,7,1,2,2,2,7,3,36,251530
1385,1,1,1,0,1,0,0,2,0,1,0,7,251550
1386,0,0,0,0,0,0,0,0,0,1,0,1,251560
1387,0,0,0,0,0,3,0,0,0,0,0,3,251570
1388,1,0,0,0,0,0,0,0,0,0,0,1,251580
1389,0,0,0,0,1,0,0,2,2,1,0,6,251590
1390,0,0,2,2,5,0,1,2,6,3,0,21,251600
1391,2,0,3,0,0,0,0,1,1,1,4,12,251610
1392,5,5,2,6,3,1,3,1,7,7,7,47,251620
1393,0,0,0,0,0,3,1,1,0,0,2,7,251630
1394,0,0,1,0,0,1,1,0,0,2,0,5,251640
1395,0,1,1,1,0,0,1,2,0,2,2,10,251650
1396,0,1,2,0,0,1,2,2,0,3,1,12,251660
1397,0,1,0,1,1,2,1,0,2,1,1,10,251670
1398,0,0,0,0,1,0,0,1,0,0,0,2,251680
1399,1,0,0,0,0,1,2,0,0,0,0,4,251690
1400,0,1,1,0,0,1,0,1,0,0,0,4,251700
1401,0,1,2,0,1,0,0,0,1,0,1,6,251710
1402,0,1,0,2,0,0,1,0,0,0,0,4,251720
1403,1,2,0,1,1,0,0,2,0,0,0,7,250550
1404,0,0,0,0,0,1,0,1,0,0,1,3,250000
1405,1,4,0,1,3,6,3,2,6,4,4,34,260005
1406,2,1,2,1,1,1,0,0,0,1,1,10,260010
1407,2,2,1,0,0,1,2,0,3,2,2,15,260020
1408,1,2,0,1,2,1,0,0,2,0,1,10,260030
1409,2,1,0,0,0,1,2,0,0,0,1,7,260040
1410,3,1,1,0,4,1,1,2,6,6,1,26,260050
1411,1,1,0,3,0,1,1,0,0,1,0,8,260060
1412,0,0,3,2,0,4,2,0,2,3,1,17,260070
1413,3,3,2,1,2,2,2,0,0,0,1,16,260080
1414,0,1,4,0,1,0,0,2,0,2,0,10,260090
1415,1,0,0,0,1,1,1,0,1,0,0,5,260100
1416,0,0,0,0,0,0,1,0,0,1,0,2,260105
1417,7,12,2,5,6,5,5,2,8,5,3,60,260110
1418,5,1,1,2,2,3,2,0,3,2,6,27,260120
1419,0,0,0,0,3,0,0,0,1,0,1,5,260130
1420,1,2,2,4,0,0,2,1,1,0,0,13,260140
1421,1,1,2,0,1,0,0,0,1,0,0,6,260150
1422,0,1,1,1,1,1,0,1,1,4,2,13,260160
1423,5,3,0,5,4,2,5,4,3,6,3,40,260170
1424,0,0,0,1,0,2,0,0,2,1,0,6,260180
1425,1,2,4,1,3,3,5,5,5,4,4,37,260190
1426,4,2,1,2,1,2,3,5,1,4,2,27,260200
1427,2,2,3,3,3,5,4,3,5,3,5,38,260210
1428,3,1,0,0,1,2,1,1,2,1,0,12,260220
1429,0,2,1,1,3,3,0,0,0,4,1,15,260230
1430,1,3,1,0,1,0,0,0,2,0,1,9,260240
1431,0,0,2,0,0,1,0,1,0,0,0,4,260250
1432,1,1,1,1,2,4,1,2,3,1,1,18,260260
1433,0,1,1,1,0,1,2,0,3,3,1,13,260270
1434,4,1,2,3,0,2,5,1,4,4,4,30,260280
1435,3,4,5,4,8,1,6,2,5,10,4,52,260290
1436,3,5,1,2,1,2,1,0,4,3,3,25,260300
1437,3,0,3,2,0,1,0,1,3,2,0,15,260310
1438,2,1,1,0,0,4,4,1,1,0,0,14,260320
1439,0,0,0,1,0,1,2,1,0,0,0,5,260330
1440,4,3,0,1,0,0,0,2,0,1,1,12,260340
1441,6,2,4,3,3,2,7,4,5,11,3,50,260345
1442,0,2,0,0,1,0,2,3,1,0,0,9,260350
1443,0,0,0,0,1,0,0,0,0,1,1,3,260360
1444,3,2,1,1,0,1,1,0,1,1,1,12,260370
1445,0,1,3,1,0,2,2,1,2,0,0,12,260380
1446,0,1,0,1,4,1,1,0,1,1,2,12,260390
1447,0,0,1,1,1,0,1,0,2,0,0,6,260392
1448,4,5,0,1,4,4,0,2,6,2,1,29,260400
1449,22,15,14,10,10,13,10,17,11,12,16,150,260410
1450,0,0,1,0,0,0,1,0,1,1,1,5,260415
1451,4,2,1,1,0,1,0,0,1,1,0,11,260420
1452,0,0,0,0,0,2,0,2,0,3,1,8,260430
1453,0,0,0,0,0,0,0,0,0,0,1,1,260440
1454,1,3,3,1,1,2,2,1,0,1,1,16,260450
1455,0,1,0,0,0,1,1,3,0,1,1,8,260460
1456,1,1,1,0,0,1,0,0,1,0,0,5,260470
1457,0,0,0,0,0,3,0,0,1,1,0,5,260480
1458,1,1,2,0,1,0,0,1,1,1,3,11,260490
1459,0,0,1,1,1,0,1,2,4,0,0,10,260500
1460,1,3,2,1,5,1,0,1,6,1,3,24,260510
1461,4,0,0,0,0,1,0,0,0,0,0,5,260515
1462,1,0,2,2,1,1,4,3,2,2,3,21,260520
1463,0,0,0,2,0,2,1,0,1,1,5,12,260530
1464,0,1,1,0,1,0,1,1,0,0,2,7,260540
1465,0,0,0,0,0,0,0,0,1,0,0,1,260545
1466,0,2,0,0,0,1,1,0,0,2,0,6,260550
1467,1,1,2,2,0,0,0,0,0,4,3,13,260560
1468,3,3,2,3,2,1,2,3,2,1,2,24,260570
1469,2,0,0,0,0,1,1,1,0,0,1,6,260580
1470,1,2,0,2,0,0,0,1,0,0,1,7,260590
1471,4,8,4,4,4,7,6,4,12,8,7,68,260600
1472,1,1,2,2,0,0,1,1,0,0,1,9,260610
1473,1,2,2,1,3,3,3,3,2,2,2,24,260620
1474,0,1,1,0,1,0,1,1,2,0,1,8,260630
1475,5,3,2,3,5,0,7,2,3,6,5,41,260640
1476,0,1,1,1,0,1,0,0,1,2,4,11,260650
1477,0,0,3,1,0,1,3,0,0,1,2,11,260660
1478,0,1,0,1,0,0,0,0,0,0,0,2,260670
1479,0,0,1,3,5,0,3,3,3,2,5,25,260680
1480,1,0,0,0,1,0,1,1,0,0,1,5,260690
1481,0,0,1,1,1,1,0,1,0,0,1,6,260760
1482,0,0,0,0,0,0,2,0,0,0,1,3,260700
1483,0,5,2,4,1,1,1,3,2,5,1,25,260720
1484,1,2,2,1,5,3,1,1,0,1,3,20,260730
1485,0,1,0,0,0,1,0,0,0,0,0,2,260740
1486,0,4,0,1,1,1,2,3,1,2,2,17,260750
1487,0,4,1,0,0,1,2,4,2,2,1,17,260765
1488,4,0,0,0,1,2,3,1,1,3,1,16,260770
1489,0,1,0,0,1,0,1,0,0,0,0,3,260775
1490,0,0,0,0,0,0,0,0,1,0,1,2,260780
1491,23,15,11,16,11,17,19,13,22,29,21,197,260790
1492,0,0,0,0,1,0,0,0,0,2,0,3,260795
1493,0,0,1,0,2,0,2,0,0,0,1,6,260800
1494,0,0,0,0,0,1,1,0,1,4,0,7,260805
1495,2,0,2,1,2,2,5,2,5,3,2,26,260810
1496,0,0,0,2,0,0,0,0,0,2,0,4,260820
1497,0,0,0,1,0,0,0,0,1,0,1,3,260825
1498,0,0,0,0,2,0,1,1,1,2,0,7,260830
1499,0,0,0,3,1,1,0,2,1,2,1,11,260840
1500,2,1,0,2,0,1,1,2,1,0,3,13,260850
1501,2,0,0,1,0,0,0,0,0,0,0,3,260845
1502,0,0,1,0,1,2,1,1,0,2,1,9,260860
1503,1,1,0,1,1,0,0,2,0,1,1,8,260870
1504,0,2,1,0,1,1,0,2,2,2,3,14,260875
1505,4,0,1,0,2,4,1,4,1,2,2,21,260880
1506,5,2,1,5,7,4,0,3,4,3,4,38,260890
1507,3,2,3,0,2,0,3,1,1,5,0,20,260900
1508,1,1,1,0,1,0,0,0,0,0,0,4,260910
1509,1,0,1,0,0,1,0,1,1,0,2,7,260915
1510,0,1,0,0,0,1,0,1,0,1,1,5,260920
1511,1,1,0,0,1,0,1,0,0,0,3,7,260930
1512,2,0,0,1,0,1,0,0,0,1,0,5,261430
1513,1,0,1,0,0,1,0,1,2,3,2,11,260940
1514,1,0,2,0,0,0,0,0,1,0,0,4,260950
1515,13,7,18,11,11,9,8,11,13,19,14,134,260960
1516,1,3,2,0,0,2,2,0,0,0,2,12,260970
1517,0,1,0,0,0,1,1,0,1,0,0,4,260980
1518,6,1,3,1,3,3,4,2,3,6,5,37,260990
1519,1,1,1,4,3,1,2,3,2,5,1,24,261000
1520,0,1,0,0,0,0,0,1,2,0,1,5,261010
1521,2,1,0,2,2,1,0,1,0,0,2,11,261020
1522,1,1,0,0,1,2,1,1,0,1,0,8,261030
1523,2,1,4,1,2,1,0,0,0,0,0,11,261040
1524,1,0,0,0,1,0,1,1,4,2,1,11,261050
1525,0,0,0,2,2,1,1,3,1,1,2,13,261060
1526,6,8,3,5,9,5,6,9,11,14,10,86,261070
1527,2,0,0,0,1,2,2,3,0,0,1,11,261080
1528,1,3,4,4,3,1,2,2,3,3,4,30,261090
1529,2,3,3,1,3,2,1,1,2,1,0,19,261100
1530,16,16,12,10,10,12,13,7,13,16,23,148,261110
1531,0,1,0,0,2,0,1,0,0,0,1,5,261120
1532,1,1,0,3,0,3,0,1,1,1,2,13,261130
1533,2,2,0,1,0,0,0,0,1,0,1,7,261140
1534,0,0,2,0,1,1,1,0,0,0,1,6,261150
1535,0,0,0,0,0,0,0,0,0,0,1,1,261153
1536,50,44,39,38,51,32,51,60,60,70,77,572,261160
1537,1,1,0,0,1,0,1,2,0,0,0,6,261170
1538,1,0,2,1,0,0,1,0,2,1,0,8,261180
1539,0,0,0,0,0,1,0,0,0,0,0,1,261190
1540,2,0,0,0,0,0,0,0,0,0,0,2,261200
1541,0,0,0,0,1,0,0,0,0,1,1,3,261210
1542,1,1,0,6,1,9,1,1,4,5,2,31,261220
1543,0,1,0,0,0,3,2,0,1,0,1,8,261230
1544,2,0,0,0,0,2,1,0,0,2,2,9,261240
1545,0,4,1,0,2,1,1,2,1,0,1,13,261245
1546,1,1,5,1,0,0,1,1,2,0,4,16,261247
1547,4,3,1,4,2,5,1,1,2,2,5,30,261250
1548,2,2,1,1,2,1,2,2,0,1,2,16,261255
1549,5,2,5,4,2,0,0,0,1,5,2,26,261260
1550,0,1,0,1,1,0,0,0,0,0,1,4,261270
1551,0,1,2,0,1,0,0,0,0,1,0,5,261290
1552,2,0,0,2,8,4,4,1,2,3,8,34,261300
1553,2,1,3,2,2,5,3,2,3,1,1,25,261310
1554,0,0,4,1,0,0,0,0,1,1,3,10,261320
1555,3,0,0,1,1,0,1,3,0,0,3,12,261330
1556,0,0,0,2,0,0,1,1,0,0,0,4,261340
1557,2,2,3,3,3,3,2,3,5,5,2,33,261350
1558,5,2,1,2,1,3,3,2,4,3,1,27,261360
1559,4,2,0,1,2,4,0,0,5,4,4,26,261370
1560,5,0,0,1,1,0,1,1,1,1,1,12,261380
1561,4,6,4,6,4,6,4,3,4,5,2,48,261390
1562,0,1,0,1,1,2,0,0,2,0,0,7,261400
1563,0,1,1,0,3,1,1,2,2,4,2,17,261410
1564,0,0,0,0,1,1,0,0,0,2,1,5,261420
1565,1,2,0,0,2,0,0,0,1,0,0,6,261440
1566,3,3,4,5,5,3,4,5,1,2,3,38,261450
1567,2,0,0,1,1,2,0,1,4,2,3,16,261460
1568,1,0,0,0,3,0,0,0,1,0,1,6,261470
1569,0,0,0,0,0,0,0,1,2,0,0,3,261480
1570,0,0,1,0,0,0,0,0,0,0,0,1,261485
1571,0,2,2,1,0,2,1,0,2,1,1,12,261500
1572,1,0,2,1,0,1,0,0,0,2,1,8,261510
1573,0,2,0,0,1,0,0,0,0,0,2,5,261520
1574,4,3,1,5,1,4,2,5,4,2,8,39,261530
1575,0,1,1,0,0,1,1,1,0,1,4,10,261540
1576,0,1,0,0,0,0,1,1,1,0,0,4,261550
1577,1,2,0,1,0,1,0,1,0,1,1,8,261560
1578,0,3,0,0,3,3,1,1,0,0,1,12,261570
1579,1,1,0,1,1,1,1,2,1,1,1,11,261580
1580,0,0,0,0,0,0,0,0,1,1,0,2,261590
1581,0,1,2,1,3,0,1,0,1,0,0,9,261600
1582,2,0,0,0,1,0,0,0,1,2,1,7,261610
1583,0,0,0,0,0,0,1,1,0,0,0,2,261618
1584,1,0,0,0,0,0,0,0,1,0,0,2,261620
1585,0,0,0,0,3,3,3,1,3,1,1,15,261630
1586,6,6,9,10,6,5,5,5,8,7,9,76,261640
1587,0,1,1,0,0,0,0,0,0,0,0,2,261650
1588,1,1,2,4,3,0,2,1,3,5,2,24,260000
1589,0,0,0,1,1,0,0,1,1,0,0,4,270010
1590,0,0,0,0,2,2,2,1,1,0,2,10,270020
1591,11,7,14,12,8,14,10,9,12,12,11,120,270030
1592,0,1,1,1,0,1,0,1,0,0,0,5,270040
1593,0,0,0,0,1,0,0,0,0,0,0,1,270050
1594,0,0,0,0,0,0,2,1,2,1,0,6,270060
1595,1,0,1,0,0,0,0,2,2,1,1,8,270070
1596,0,0,0,0,0,1,0,0,0,1,0,2,270080
1597,0,0,0,0,0,1,0,0,0,0,0,1,270090
1598,2,0,0,0,0,1,1,1,0,0,1,6,270100
1599,0,0,0,0,1,1,2,0,0,0,1,5,270110
1600,0,1,0,0,0,1,0,0,0,0,1,3,270120
1601,1,0,1,1,0,0,0,1,2,1,2,9,270130
1602,0,1,0,0,0,0,1,1,2,2,0,7,270140
1603,0,0,0,0,1,2,1,1,0,2,0,7,270150
1604,1,1,0,3,1,2,1,1,0,0,0,10,270160
1605,1,0,0,0,0,0,0,0,1,0,0,2,270170
1606,0,1,0,1,0,0,0,1,1,0,0,4,270180
1607,1,1,0,0,0,0,0,0,0,0,1,3,270190
1608,0,0,0,2,0,3,1,3,1,0,2,12,270200
1609,1,0,0,0,2,2,0,1,1,0,0,7,270210
1610,1,0,0,0,0,0,0,0,0,0,0,1,270220
1611,2,1,3,1,2,1,2,0,0,2,2,16,270230
1612,2,0,0,0,1,0,1,0,0,0,0,4,270235
1613,1,0,0,1,2,1,2,0,1,2,4,14,270240
1614,0,0,1,2,1,2,1,0,2,1,2,12,270250
1615,1,2,0,2,3,2,1,3,0,1,1,16,270255
1616,0,0,3,0,3,2,0,1,3,1,0,13,270260
1617,0,0,0,0,0,0,1,0,0,0,0,1,270270
1618,0,0,0,0,1,0,0,0,0,1,1,3,270280
1619,2,2,0,0,1,0,1,0,4,5,4,19,270290
1620,0,0,1,1,0,1,2,1,0,0,1,7,270300
1621,1,1,2,1,4,1,2,0,1,0,2,15,270310
1622,1,0,0,0,0,0,0,2,1,0,1,5,270320
1623,0,0,0,1,1,0,0,1,1,1,0,5,270330
1624,1,0,1,0,1,0,0,0,0,0,0,3,270350
1625,0,0,0,0,1,0,0,0,0,0,0,1,270360
1626,0,0,0,0,0,1,1,1,0,0,0,3,270375
1627,0,1,0,0,0,1,3,1,0,0,1,7,270380
1628,0,1,0,0,0,0,1,0,0,0,0,2,270390
1629,0,1,1,3,1,3,2,0,0,3,2,16,270400
1630,1,1,0,1,0,1,1,3,2,2,2,14,270410
1631,0,0,0,0,0,0,2,1,1,0,0,4,270420
1632,39,35,29,31,29,37,34,32,30,23,36,355,270430
1633,1,1,1,0,0,6,2,1,0,3,2,17,270440
1634,0,0,0,0,0,0,0,1,1,0,0,2,270490
1635,0,0,0,0,0,0,1,0,0,0,2,3,270450
1636,1,1,0,0,1,1,0,4,0,1,3,12,270460
1637,3,2,3,1,3,1,1,0,1,2,1,18,270470
1638,0,1,1,0,1,2,0,0,0,0,1,6,270480
1639,0,1,0,1,0,3,0,1,0,0,1,7,270500
1640,0,1,1,0,1,0,1,1,0,1,0,6,270510
1641,0,1,0,0,0,0,1,0,0,0,1,3,270520
1642,0,1,0,0,0,0,0,0,0,0,0,1,270530
1643,0,0,0,0,0,1,2,0,0,0,0,3,270540
1644,3,0,0,0,0,0,0,1,2,0,1,7,270550
1645,0,0,0,0,0,1,0,0,2,0,0,3,270560
1646,1,1,0,0,1,3,0,0,2,1,1,10,270570
1647,0,0,0,1,0,1,0,0,1,1,1,5,270580
1648,0,1,0,1,0,0,0,0,0,0,1,3,270590
1649,0,1,0,1,0,0,0,0,0,1,0,3,270600
1650,1,0,0,0,0,2,0,0,0,0,0,3,270610
1651,1,3,3,4,6,5,6,5,2,4,5,44,270630
1652,0,0,0,1,1,0,0,0,0,0,1,3,270640
1653,0,0,1,0,1,0,1,0,0,0,0,3,270642
1654,0,0,0,1,0,0,0,0,0,2,0,3,270644
1655,0,1,0,0,0,0,0,0,1,0,0,2,270650
1656,0,0,0,0,1,0,1,1,0,0,0,3,270660
1657,3,2,2,1,0,2,4,5,1,2,1,23,270670
1658,0,2,0,0,1,0,0,2,1,0,0,6,270680
1659,0,4,2,3,0,4,0,0,1,0,1,15,270690
1660,0,0,0,0,0,0,1,0,0,0,0,1,270700
1661,0,0,0,0,0,1,0,1,2,2,1,7,270710
1662,1,2,0,2,0,1,1,0,0,0,1,8,270720
1663,0,3,0,0,2,0,0,0,0,0,2,7,270730
1664,1,0,0,0,0,3,3,0,0,1,2,10,270750
1665,1,1,0,0,0,1,0,0,4,1,0,8,270760
1666,1,3,0,3,2,3,1,1,2,3,1,20,270770
1667,0,0,0,1,0,0,0,0,0,0,0,1,270780
1668,0,3,2,4,5,2,4,1,2,3,3,29,270800
1669,0,0,0,0,0,1,0,0,0,0,0,1,270810
1670,0,0,2,0,0,0,1,0,0,0,1,4,270820
1671,1,2,0,1,1,0,0,0,1,0,1,7,270830
1672,2,1,1,0,1,3,1,3,1,1,4,18,270840
1673,0,1,1,1,4,2,0,2,2,1,0,14,270850
1674,3,1,1,4,2,0,1,2,2,3,2,21,270860
1675,1,0,0,0,0,0,0,0,0,0,0,1,270870
1676,0,2,1,2,1,1,0,0,1,2,0,10,270880
1677,1,0,1,0,0,0,0,1,0,1,0,4,270890
1678,2,1,1,2,2,0,1,1,0,0,0,10,270895
1679,0,1,0,1,0,0,0,2,2,0,1,7,270900
1680,1,3,0,0,0,1,1,1,0,0,3,10,270910
1681,1,0,2,2,0,4,2,2,1,1,1,16,270915
1682,2,0,1,0,2,0,1,3,1,0,3,13,270920
1683,1,4,0,1,1,4,2,1,4,4,5,27,270930
1684,2,1,0,0,1,0,0,2,0,1,2,9,270940
1685,0,0,0,0,0,0,0,1,0,0,0,1,280010
1686,2,1,2,0,1,5,2,1,1,4,4,23,280020
1687,28,24,42,31,26,41,36,33,29,32,23,345,280030
1688,0,1,0,0,1,0,1,0,2,0,2,7,280040
1689,0,1,1,2,3,1,0,0,2,1,2,13,280050
1690,0,1,1,2,0,2,1,2,1,1,3,14,280060
1691,1,1,4,1,2,2,0,0,0,2,2,15,280067
1692,0,0,1,1,0,0,0,0,1,0,0,3,280070
1693,1,0,0,3,0,1,2,1,0,2,3,13,280100
1694,0,0,0,1,1,0,2,0,0,0,0,4,280110
1695,1,2,3,3,2,0,5,1,1,2,1,21,280120
1696,1,3,3,2,2,2,0,1,2,3,0,19,280130
1697,0,3,0,1,0,5,2,2,3,2,1,19,280140
1698,0,1,0,2,2,0,0,1,3,0,1,10,280150
1699,0,1,0,0,0,0,0,0,0,0,0,1,280160
1700,0,0,0,1,0,0,0,1,1,0,0,3,280170
1701,0,1,0,0,0,0,0,0,0,0,2,3,280190
1702,0,1,0,0,1,0,0,1,1,0,0,4,280200
1703,3,2,1,5,1,4,3,4,2,3,3,31,280210
1704,0,0,0,0,0,0,0,0,1,0,0,1,280220
1705,0,0,2,1,1,0,0,1,2,0,0,7,280230
1706,0,0,0,0,1,1,0,1,0,0,1,4,280240
1707,0,0,0,0,0,0,0,2,1,0,0,3,280250
1708,0,1,0,0,1,0,0,1,1,1,1,6,280260
1709,0,1,0,0,0,2,0,0,1,1,1,6,280270
1710,0,0,1,0,0,0,0,0,0,0,1,2,280280
1711,3,9,11,1,9,4,4,6,7,10,7,71,280290
1712,0,2,0,2,2,2,2,0,1,1,2,14,280300
1713,0,0,0,2,1,0,0,0,0,0,0,3,280310
1714,1,1,0,0,3,3,1,2,3,1,2,17,280320
1715,1,2,0,0,0,0,1,0,0,1,3,8,280330
1716,1,1,0,0,0,0,0,0,0,2,0,4,280340
1717,6,10,6,8,4,9,5,4,9,10,10,81,280350
1718,1,2,1,2,1,3,1,3,1,2,1,18,280360
1719,0,1,1,1,1,1,0,1,1,2,0,9,280370
1720,0,1,0,0,1,1,0,0,0,1,0,4,280380
1721,1,0,2,0,3,1,0,1,0,1,0,9,280390
1722,1,0,0,1,1,0,0,1,1,0,1,6,280400
1723,0,1,2,2,0,1,3,1,1,0,0,11,280410
1724,0,0,2,0,0,1,0,0,0,0,2,5,280420
1725,2,1,1,0,2,0,1,1,0,1,2,11,280430
1726,1,1,1,2,0,1,0,1,0,0,1,8,280440
1727,0,0,0,1,1,0,0,0,0,1,1,4,280445
1728,4,4,2,4,4,4,2,4,2,3,2,35,280450
1729,3,0,3,4,1,1,0,0,1,2,3,18,280460
1730,0,0,0,0,0,0,0,0,0,1,0,1,280470
1731,3,4,10,9,9,4,16,8,6,4,13,86,280480
1732,1,1,0,0,0,0,0,0,1,3,0,6,280490
1733,0,0,1,0,0,0,0,0,0,0,0,1,280500
1734,0,2,1,0,0,0,1,0,0,0,0,4,280510
1735,1,0,0,0,0,0,0,0,0,0,1,2,280520
1736,0,0,0,0,0,0,0,0,2,1,0,3,280530
1737,4,1,0,1,0,0,0,1,0,4,1,12,280540
1738,3,3,2,1,0,3,1,1,0,2,1,17,280550
1739,2,0,3,2,1,0,3,5,2,2,1,21,280560
1740,3,0,1,1,0,1,1,2,0,1,1,11,280570
1741,1,1,2,0,2,1,2,0,0,0,1,10,280580
1742,1,0,0,1,1,1,1,1,0,0,1,7,280590
1743,0,0,0,0,0,0,0,1,0,0,2,3,280600
1744,0,1,0,0,0,0,0,2,1,0,0,4,280610
1745,1,0,0,2,1,0,0,0,1,1,2,8,280620
1746,1,0,0,0,0,1,0,1,0,0,1,4,280630
1747,0,0,1,0,0,0,0,0,0,0,0,1,280640
1748,2,0,1,0,0,1,1,2,2,0,0,9,280660
1749,7,4,5,4,3,4,4,5,2,4,5,47,280670
1750,2,1,0,1,1,1,0,1,3,2,1,13,280680
1751,0,0,1,0,0,0,0,0,2,0,1,4,280690
1752,0,1,0,1,1,0,1,1,0,0,0,5,280700
1753,5,1,2,4,5,5,3,5,4,6,5,45,280710
1754,2,2,1,2,1,0,0,0,0,0,1,9,280720
1755,1,0,0,2,0,0,0,0,0,0,0,3,280730
1756,3,4,2,3,4,3,1,3,4,3,4,34,280740
1757,1,1,0,0,1,1,0,0,2,0,2,8,280750
1758,0,1,1,3,0,0,0,2,1,1,2,11,280760
1759,2,2,2,2,0,1,1,0,0,0,0,10,280000
1760,1,0,1,0,0,2,0,0,0,2,0,6,290010
1761,0,0,2,2,0,1,0,2,3,1,4,15,290020
1762,0,1,0,0,0,0,1,0,0,1,0,3,290030
1763,0,0,0,0,1,0,2,0,1,1,1,6,290035
1764,1,0,2,0,0,0,0,0,0,0,2,5,290040
1765,0,0,1,1,0,0,0,0,0,0,1,3,290060
1766,6,6,4,5,5,1,6,7,5,13,7,65,290070
1767,1,0,2,0,0,2,1,1,1,0,1,9,290080
1768,1,1,0,0,0,1,1,0,0,0,0,4,290090
