,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total,MUNCOD
108,92,68,87,92,92,102,117,126,90,89,103,1058,130260
109,0,0,0,0,0,0,0,1,2,0,0,3,130270
110,0,0,0,0,3,0,0,2,0,0,3,8,130280
111,0,2,0,1,1,0,0,2,0,2,1,9,130290
112,0,0,0,0,0,0,0,1,1,0,1,3,130300
113,1,0,1,1,1,1,0,0,2,2,1,10,130310
114,0,0,0,1,0,0,0,0,0,0,0,1,130320
115,0,0,0,0,1,0,0,1,0,0,0,2,130330
116,0,5,2,4,6,4,7,11,2,5,6,52,130340
117,1,0,0,0,0,0,0,0,0,0,1,2,130350
118,0,2,0,3,1,0,0,0,0,1,0,7,130353
119,2,2,2,2,3,1,1,2,0,0,0,15,130356
120,4,9,1,2,0,3,0,1,0,1,0,21,130360
121,3,1,1,0,0,6,7,2,2,6,4,32,130370
122,9,10,16,18,21,8,10,13,15,20,10,150,130380
123,0,3,2,6,12,3,4,10,4,1,8,53,130390
124,0,0,0,0,0,1,1,0,1,0,1,4,130395
125,14,19,16,15,7,23,16,15,9,14,19,167,130406
126,0,1,0,0,0,1,2,3,1,2,0,10,130410
127,3,5,4,5,4,8,11,2,6,3,9,60,130420
128,0,0,0,0,0,1,1,0,1,0,0,3,130423
129,1,0,0,0,0,1,0,0,1,0,1,4,130426
130,1,0,1,3,1,0,0,1,0,1,1,9,130430
131,0,2,1,2,2,0,0,3,3,3,2,18,140005
132,2,2,0,0,0,6,1,4,5,5,2,27,140002
133,16,20,19,22,24,19,7,26,36,24,21,234,140010
134,3,0,2,1,4,3,4,4,0,4,1,26,140015
135,2,4,4,3,1,1,0,5,2,3,4,29,140017
136,1,1,2,1,0,1,0,3,4,0,2,15,140020
137,0,1,0,0,1,0,0,0,1,0,0,3,140023
138,0,0,2,0,0,1,0,1,0,0,1,5,140028
139,3,1,0,1,2,2,1,0,0,4,2,16,140030
140,1,0,1,2,0,0,2,0,1,0,0,7,140040
141,1,0,2,1,1,0,0,1,0,2,0,8,140045
142,2,1,1,1,2,0,0,2,1,1,0,11,140047
143,0,0,0,0,0,0,0,1,1,0,0,2,140050
144,0,0,0,0,1,0,0,1,0,2,1,5,140060
145,0,0,0,0,0,0,0,1,5,2,1,9,140070
146,2,4,3,5,1,1,1,0,3,2,4,26,150010
147,0,0,1,1,0,1,0,0,1,0,0,4,150013
148,0,0,0,2,4,1,1,0,1,1,0,10,150020
149,1,2,0,0,1,1,0,1,5,0,0,11,150030
150,1,1,0,2,0,0,0,0,0,0,0,4,150034
151,0,1,1,0,3,2,1,0,1,1,2,12,150040
152,1,2,2,2,3,2,4,1,1,3,3,24,150050
153,3,5,4,4,1,5,9,3,6,10,12,62,150060
154,1,0,1,0,0,0,0,1,0,0,3,6,150070
155,14,8,11,18,5,6,8,9,6,14,23,122,150080
156,0,1,0,0,2,0,1,1,3,0,3,11,150085
157,0,0,0,0,0,0,0,5,0,1,1,7,150090
158,0,1,0,2,1,0,2,1,1,1,0,9,150095
159,0,0,1,0,1,0,0,0,1,0,0,3,150100
160,0,0,0,1,0,0,1,0,1,0,0,3,150110
161,0,0,0,1,2,4,0,2,3,1,2,15,150120
162,0,0,0,0,0,0,0,0,1,0,0,1,150125
163,2,3,1,1,1,3,2,5,0,4,9,31,150130
164,35,23,39,42,34,32,36,42,35,41,55,414,150140
165,0,0,0,2,0,1,0,1,1,1,1,7,150145
166,0,3,2,3,0,2,0,0,0,1,1,12,150150
167,0,1,1,0,0,1,0,0,1,1,0,5,150157
168,0,0,0,0,0,1,0,0,0,0,0,1,150160
169,5,0,1,0,0,1,0,6,5,2,4,24,150170
170,1,0,0,0,0,2,1,0,0,4,0,8,150172
171,1,0,1,1,0,0,0,0,0,0,0,3,150175
172,0,0,2,0,3,4,0,0,2,2,3,16,150178
173,7,1,2,5,2,3,2,1,2,6,4,35,150180
174,1,0,0,0,0,0,0,0,0,0,0,1,150190
175,0,1,1,0,0,1,1,1,0,0,0,5,150200
176,1,0,0,0,2,0,0,0,0,1,0,4,150195
177,4,5,5,5,4,1,3,2,1,6,7,43,150210
178,3,0,0,1,2,1,1,2,4,2,2,18,150215
179,2,1,0,1,0,4,1,1,1,2,1,14,150220
180,0,1,3,0,1,0,3,2,1,0,3,14,150230
181,9,5,5,6,3,6,6,4,3,11,11,69,150240
182,0,1,0,0,0,0,0,0,1,0,0,2,150250
183,1,0,0,0,0,0,0,1,0,0,2,4,150260
184,3,2,0,3,4,1,4,5,4,3,0,29,150270
185,0,0,0,0,2,1,1,1,1,0,1,7,150275
186,0,0,2,1,0,1,1,1,0,0,0,6,150276
187,2,2,2,1,0,1,2,1,0,1,0,12,150277
188,1,0,0,0,0,0,0,0,0,1,1,3,150280
189,0,0,0,0,0,0,0,1,0,0,2,3,150285
190,0,1,1,0,0,1,0,2,2,0,2,9,150290
191,2,1,1,3,2,0,3,2,2,2,1,19,150293
192,1,0,2,0,0,0,2,0,1,4,3,13,150295
193,0,0,0,1,0,0,0,0,0,0,1,2,150300
194,0,0,2,0,1,0,2,3,0,2,1,11,150304
195,1,0,0,1,0,2,0,1,4,0,2,11,150307
196,2,2,0,2,2,2,1,4,0,1,0,16,150309
197,1,0,1,0,1,0,0,1,2,0,1,7,150310
198,0,1,1,4,1,1,3,1,3,2,2,19,150320
199,0,0,0,1,3,2,0,1,1,0,1,9,150330
200,0,0,2,0,0,0,0,1,0,0,0,3,150340
201,0,1,1,1,0,0,0,0,0,1,0,4,150345
202,3,1,0,0,1,0,0,1,1,1,0,8,150350
203,2,7,8,2,4,7,5,10,9,13,13,80,150360
204,4,1,1,3,4,3,3,2,1,0,2,24,150370
205,0,0,0,0,0,2,1,1,2,1,2,9,150375
206,4,1,1,1,1,0,1,1,4,4,2,20,150380
207,0,0,0,0,0,0,1,0,4,3,1,9,150390
208,0,0,0,0,0,0,1,0,1,0,0,2,150400
209,4,1,0,0,2,0,0,1,0,1,5,14,150405
210,0,0,0,0,0,0,0,0,1,0,0,1,150410
211,6,14,7,13,14,7,7,10,10,17,13,118,150420
212,0,0,0,0,1,2,0,1,0,0,0,4,150430
213,0,0,0,0,0,0,2,2,1,2,0,7,150440
214,3,4,1,2,1,2,1,2,3,3,1,23,150442
215,0,1,0,0,4,2,1,1,0,1,0,10,150445
216,0,0,0,0,0,2,0,0,0,0,1,3,150450
217,1,0,0,0,1,0,0,1,0,3,0,6,150460
218,0,1,4,2,14,2,2,3,1,1,3,33,150470
219,0,0,0,0,0,0,2,1,2,0,1,6,150475
220,1,0,3,1,0,1,1,1,3,4,4,19,150480
221,0,0,0,0,0,1,3,0,0,0,1,5,150490
222,1,1,1,0,1,2,0,0,1,4,2,13,150495
223,1,1,0,0,0,0,0,2,0,0,0,4,150497
224,1,0,0,0,2,1,0,0,0,1,0,5,150500
225,0,2,0,0,3,1,1,2,3,3,3,18,150503
226,2,0,3,2,3,0,3,6,7,3,2,31,150506
227,0,0,0,0,2,1,1,3,1,1,1,10,150510
228,0,0,1,3,1,2,1,1,3,3,1,16,150520
229,0,1,2,2,1,0,1,2,1,1,2,13,150530
230,2,0,0,0,0,0,0,0,1,0,0,3,150540
231,2,0,1,1,1,2,0,1,2,1,0,11,150543
232,2,2,0,2,1,5,1,3,2,1,4,23,150548
233,0,1,2,1,0,0,0,0,0,1,0,5,150549
234,5,1,1,6,2,2,7,7,4,2,5,42,150550
235,10,11,4,5,18,8,4,8,15,10,17,110,150553
236,0,0,0,0,0,0,0,1,0,0,1,2,150555
237,0,0,0,0,0,0,0,0,0,1,0,1,150560
238,0,0,0,0,0,1,0,2,0,0,0,3,150563
239,0,0,0,0,1,0,0,0,0,1,2,4,150565
240,0,1,0,0,1,0,0,0,1,0,1,4,150570
241,0,2,2,0,2,5,2,5,4,1,5,28,150580
242,0,0,0,0,0,1,0,0,1,0,1,3,150590
243,0,1,1,2,3,3,1,0,3,0,5,19,150600
244,0,0,1,0,1,1,0,0,0,0,1,4,150610
245,2,4,0,4,5,3,2,2,3,3,6,34,150613
246,1,1,3,2,1,1,3,3,1,2,2,20,150616
247,7,3,2,1,2,2,1,0,1,1,2,22,150618
248,0,1,1,1,0,0,0,0,2,0,3,8,150619
249,1,1,0,0,0,0,2,1,2,0,1,8,150620
250,0,1,0,0,0,1,0,0,2,0,1,5,150630
251,0,0,1,0,0,0,1,0,0,0,1,3,150635
252,0,1,0,0,0,0,0,0,0,0,0,1,150640
253,2,3,1,3,2,3,1,5,1,5,2,28,150650
254,1,0,1,0,0,0,0,0,0,0,0,2,150655
255,1,1,0,0,3,0,2,1,1,0,1,10,150658
256,1,0,2,0,0,1,3,0,1,2,0,10,150660
257,1,2,2,3,0,1,2,4,0,1,0,16,150670
258,17,11,2,15,14,16,12,16,22,22,17,164,150680
259,0,0,0,0,0,0,0,0,1,0,0,1,150690
260,1,1,2,0,1,1,1,0,0,0,0,7,150700
261,0,0,2,0,0,0,0,0,1,2,2,7,150710
262,0,3,0,0,1,1,0,2,0,1,0,8,150715
263,1,1,2,0,1,0,1,2,2,1,1,12,150720
264,5,5,6,1,1,3,0,3,1,4,2,31,150730
265,0,0,1,1,1,1,2,1,0,3,1,11,150740
266,2,1,1,0,3,2,0,2,2,1,0,14,150745
267,0,0,0,0,0,0,0,1,0,0,0,1,150746
268,0,1,0,0,0,2,0,0,0,1,0,4,150747
269,0,0,0,0,1,0,0,0,0,0,0,1,150750
270,1,3,0,0,1,1,2,2,6,3,1,20,150760
271,0,0,0,0,0,0,0,0,2,0,0,2,150770
272,0,0,0,0,0,1,0,1,1,1,0,4,150775
273,1,0,0,0,0,1,0,0,0,0,0,2,150780
274,0,0,0,0,0,1,1,2,0,0,0,4,150790
275,1,3,2,3,3,3,1,2,3,5,4,30,150795
276,2,0,0,0,0,0,1,0,0,0,1,4,150796
277,0,1,0,0,0,0,0,0,0,1,2,4,150797
278,1,0,1,1,1,1,1,2,4,0,3,15,150800
279,0,0,0,0,0,0,1,0,0,2,0,3,150803
280,0,0,0,0,0,0,0,0,0,1,1,2,150805
281,0,0,1,1,1,3,2,1,2,1,3,15,150808
282,4,5,4,5,6,7,1,3,5,3,5,48,150810
283,0,0,0,1,2,1,1,1,0,2,1,9,150812
284,0,0,0,4,1,4,1,4,2,5,3,24,150815
285,0,0,2,1,2,2,4,1,0,2,0,14,150820
286,1,0,0,2,4,1,0,4,2,1,4,19,150830
287,0,0,0,1,0,2,0,1,4,1,0,9,150835
288,1,0,2,1,1,2,2,1,0,0,3,13,150840
289,0,0,1,0,0,0,1,0,0,1,1,4,150000
290,2,0,2,0,1,1,0,1,0,0,0,7,160010
