,Doenças,Moran BV I
0,ARTROSE,0.37055529109959584
1,NEOPLASIA_MALIGNA_DE_TRAQUÉIA_BRÔNQUIOS_E_PULMÕES,0.35541935015858483
2,TRANSTORNOS_DE_HUMOR_[AFETIVOS],0.35113083745616697
3,BRONQUITE_ENFISEMA_E_OUTR_DOENÇ_PULM_OBSTR_CRÔNIC,0.31882430389934574
4,DOENÇAS_DO_APÊNDICE,0.30773029117777945
5,NEOPL_MALIG_OUTR_LOCALIZ_MAL_DEF_SECUN_E_NÃO_ESPEC,0.3036480430773461
6,COLELITÍASE_E_COLECISTITE,0.2989146845040109
7,TRANST_MENTAIS_E_COMPORTAMENTAIS_DEV_USO_DE_ÁLCOOL,0.2979309219325797
8,EMBOLIA_E_TROMBOSE_ARTERIAIS,0.29566304081385486
9,TRANST_DISCAIS_CERVIC_E_OUTR_TRANST_DISC_INTERVERT,0.2883154693946204
