,2015,2016,2017,MUNCOD
0,0,0,1,110001
1,1,0,0,110037
2,2,1,2,110040
3,1,0,0,110034
4,11,19,20,110002
5,3,8,0,110045
6,1,5,2,110004
7,1,0,0,110070
8,8,5,7,110080
9,0,0,1,110005
10,0,1,0,110006
11,2,4,2,110008
12,1,0,0,110094
13,0,0,1,110009
14,17,6,14,110010
15,2,1,1,110110
16,2,1,6,110011
17,12,15,14,110012
18,0,0,1,110013
19,0,2,0,110130
20,1,2,0,110140
21,0,1,1,110014
22,0,0,3,110033
23,2,4,1,110015
24,1,2,1,110018
25,304,346,379,110020
26,3,9,1,110025
27,2,1,0,110026
28,7,7,4,110028
29,1,0,0,110149
30,0,0,1,110160
31,0,0,1,110170
32,0,1,0,110175
33,0,0,1,110180
34,4,4,6,110030
35,3,0,1,120001
36,0,1,2,120010
37,3,4,10,120020
38,0,1,0,120030
39,0,0,1,120032
40,1,1,0,120033
41,2,1,1,120034
42,1,3,1,120038
43,2,1,1,120080
44,0,0,1,120039
45,50,59,77,120040
46,4,1,0,120050
47,1,1,0,120045
48,2,1,2,120060
49,0,2,1,120070
50,0,0,1,130002
51,1,0,0,130010
52,4,1,2,130014
53,0,5,8,130030
54,0,4,4,130040
55,2,2,4,130050
56,1,1,1,130060
57,1,4,1,130063
58,0,0,2,130068
59,1,1,0,130070
60,5,4,8,130080
61,1,1,1,130083
62,2,12,0,130110
63,1,8,4,130120
64,1,0,1,130130
65,0,1,1,130140
66,1,1,8,130160
67,5,1,7,130170
68,15,10,5,130185
69,27,11,24,130190
70,0,0,1,130200
71,0,0,2,130230
72,0,2,0,130240
73,14,12,7,130250
74,0,2,0,130255
75,1257,1185,1231,130260
76,2,2,0,130270
77,1,6,7,130290
78,0,1,3,130300
79,2,10,7,130310
80,2,1,2,130320
81,0,1,0,130330
82,4,6,14,130340
83,18,27,19,130353
84,4,11,9,130356
85,0,0,2,130370
86,0,0,1,130380
87,0,1,0,130390
88,3,0,0,130395
89,7,5,4,130406
90,0,2,0,130410
91,4,8,5,130420
92,0,0,1,130430
93,2,1,1,130440
94,0,3,4,140005
95,116,147,132,140010
96,1,0,1,140015
97,4,1,3,140017
98,0,1,2,140020
99,1,0,0,140028
100,4,4,1,140030
101,0,0,1,140040
102,2,2,3,140045
103,4,2,6,140047
104,1,0,0,140050
105,0,1,2,140060
106,0,0,1,140070
107,4,3,12,150010
108,2,6,0,150020
109,3,2,3,150040
110,1,5,5,150060
111,0,4,0,150070
112,85,63,84,150080
113,0,3,2,150090
114,1,1,1,150095
115,0,0,1,150110
116,0,2,2,150120
117,6,17,11,150130
118,364,384,386,150140
119,5,0,2,150145
120,13,13,9,150150
121,7,3,2,150170
122,7,1,3,150178
123,0,3,1,150180
124,4,2,9,150190
125,1,0,2,150195
126,3,0,2,150210
127,3,3,6,150220
128,4,0,0,150230
129,3,3,10,150240
130,0,3,0,150250
131,0,0,4,150260
132,0,1,1,150275
133,1,0,1,150280
134,5,0,0,150285
135,1,1,0,150290
136,0,0,1,150293
137,0,1,1,150295
138,1,0,0,150304
139,0,1,0,150307
140,3,2,0,150309
141,2,0,1,150310
142,2,0,2,150320
143,4,2,3,150330
