,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNCOD
117,0,0,0,1,3,0,1,4,0,5,0,130410
118,5,0,0,4,8,5,6,10,5,5,5,130420
119,1,0,0,0,0,0,0,0,0,0,0,130426
120,0,0,0,0,0,1,0,0,0,0,0,130440
121,6,0,0,1,0,0,2,0,0,0,0,140005
122,0,0,0,0,1,0,0,0,2,0,1,140002
123,13,1,5,16,31,37,16,15,30,17,13,140010
124,0,0,0,0,1,1,0,1,2,1,1,140015
125,2,0,0,0,0,1,1,0,0,1,1,140017
126,7,0,0,4,1,4,3,1,2,1,0,140020
127,7,0,0,0,0,7,1,0,0,0,0,140023
128,0,0,0,1,1,0,0,0,0,0,1,140028
129,2,0,0,1,0,1,0,1,1,1,0,140030
130,2,0,0,1,0,1,0,0,0,1,1,140040
131,0,0,0,2,1,2,1,1,1,2,0,140047
132,0,0,0,1,1,0,0,0,0,2,1,140050
133,0,0,0,2,0,0,0,0,0,0,0,140060
134,1,0,0,0,2,0,0,0,1,0,0,140070
135,20,5,2,3,3,3,1,1,4,28,7,150010
136,29,1,0,0,0,0,1,0,2,7,9,150020
137,2,0,0,0,2,0,0,7,7,7,6,150030
138,0,0,2,4,0,0,0,0,0,0,0,150034
139,14,1,0,0,0,0,2,2,0,1,19,150040
140,19,0,0,0,1,0,3,1,0,0,5,150050
141,13,4,1,2,7,4,1,3,8,0,5,150060
142,0,0,0,0,0,1,0,3,0,7,14,150070
143,236,3,5,5,5,12,43,12,11,8,8,150080
144,0,1,3,28,39,13,18,13,13,2,5,150085
145,1,0,0,0,0,0,0,0,1,2,5,150090
146,3,2,0,0,2,6,6,1,0,0,2,150095
147,1,0,0,0,0,0,0,0,0,0,2,150100
148,2,0,0,0,0,0,1,1,0,1,0,150110
149,3,0,2,0,0,1,0,0,0,0,0,150120
150,0,0,0,0,0,0,0,1,0,0,2,150125
151,6,3,0,0,1,2,2,2,8,7,4,150130
152,81,25,28,19,22,27,33,28,30,54,47,150140
153,0,0,10,3,15,6,8,4,3,0,0,150145
154,9,0,0,0,0,2,1,1,1,0,2,150150
155,10,0,0,0,21,0,1,0,0,4,0,150157
156,0,0,1,0,2,1,0,0,0,5,1,150160
157,10,0,0,0,0,1,1,2,4,15,13,150170
158,0,0,1,0,0,0,0,1,2,0,0,150172
159,6,1,0,0,0,1,0,0,4,2,0,150175
160,1,1,4,0,1,0,0,0,1,1,0,150178
161,6,0,1,1,4,1,7,6,16,16,12,150180
162,2,0,0,0,0,0,0,0,0,0,0,150190
163,2,0,0,0,0,0,0,0,0,1,2,150200
164,0,0,0,0,0,1,0,0,0,1,1,150195
165,4,1,0,0,0,0,1,0,0,0,2,150210
166,0,0,0,0,0,0,1,3,2,2,1,150215
167,2,0,0,1,0,0,0,0,7,20,20,150220
168,14,0,1,0,0,0,0,1,0,0,0,150230
169,111,1,1,2,8,15,8,3,4,9,8,150240
170,0,0,0,0,0,0,0,1,0,1,0,150250
171,1,0,0,0,1,0,0,0,0,0,0,150260
172,44,1,0,3,4,4,0,0,0,0,1,150270
173,3,0,0,0,0,1,0,1,0,1,0,150275
174,0,7,1,0,0,0,12,3,6,0,0,150276
175,3,1,0,2,1,1,1,1,0,4,2,150277
176,2,0,0,0,0,2,0,0,0,0,0,150280
177,1,0,0,0,0,0,0,0,0,1,0,150285
178,3,0,0,4,0,0,0,1,0,0,2,150290
179,0,0,0,0,0,1,0,0,0,1,0,150293
180,0,0,1,0,1,0,0,0,0,0,0,150295
181,1,0,0,0,0,0,0,0,0,0,0,150300
182,1,1,0,0,0,1,0,5,3,0,0,150304
183,7,0,1,0,1,0,0,0,0,0,2,150307
184,2,1,0,1,0,0,1,0,0,0,1,150309
185,0,0,5,12,25,5,5,11,11,5,12,150310
186,2,0,1,2,3,5,2,1,0,0,1,150320
187,19,6,0,0,0,0,0,0,1,1,0,150330
188,1,0,0,0,0,0,0,0,0,0,0,150340
189,0,0,0,0,0,1,4,2,2,5,1,150345
190,0,0,1,0,0,0,0,0,0,0,0,150350
191,30,0,0,0,0,0,1,1,1,2,3,150360
192,2,0,1,0,0,0,2,1,1,1,2,150370
193,0,0,0,0,0,6,9,6,10,5,9,150375
194,7,0,0,2,0,0,1,1,1,2,0,150380
195,1,0,0,0,2,4,0,0,1,0,0,150390
196,10,0,0,0,0,0,1,1,0,0,1,150400
197,0,0,0,0,8,13,22,2,7,20,9,150405
198,3,0,0,1,0,2,0,0,0,0,0,150410
199,8,2,5,3,8,1,2,7,3,3,1,150420
200,15,0,3,0,0,1,0,0,1,1,1,150430
201,4,0,0,0,0,0,0,1,0,0,0,150440
202,16,2,5,10,6,9,4,3,4,2,2,150442
