"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"110001 Alta Floresta D'Oeste";-;9;9;-;4;2;2;6;3;4;6;45
"110037 Alto Alegre dos Parecis";2;1;1;-;2;-;1;-;2;-;-;9
"110040 Alto Paraíso";1;-;1;6;3;2;-;-;2;-;3;18
"110034 Alvorada D'Oeste";1;-;-;1;-;1;2;3;1;-;1;10
"110002 Ariquemes";9;7;12;20;16;6;7;16;7;21;11;132
"110045 Buritis";-;-;2;3;1;1;2;2;1;2;2;16
"110003 Cabixi";-;1;1;-;-;-;1;-;1;-;2;6
"110060 Cacaulândia";-;-;-;2;-;-;-;-;1;2;2;7
"110004 Cacoal";7;7;7;11;7;5;17;7;16;15;13;112
"110070 Campo Novo de Rondônia";-;1;-;2;3;-;-;-;1;-;-;7
"110080 Candeias do Jamari";-;1;-;-;1;1;1;-;3;2;3;12
"110090 Castanheiras";1;-;-;-;-;-;-;1;-;-;-;2
"110005 Cerejeiras";4;-;1;-;1;-;3;3;3;-;1;16
"110092 Chupinguaia";3;1;-;1;-;-;2;-;-;1;-;8
"110006 Colorado do Oeste";4;1;-;-;-;1;4;1;-;-;1;12
"110007 Corumbiara";4;2;-;-;-;1;1;1;-;-;-;9
"110008 Costa Marques";-;-;-;-;-;-;1;-;2;2;1;6
"110094 Cujubim";-;2;-;2;-;2;1;1;6;-;3;17
"110009 Espigão D'Oeste";-;4;3;2;2;2;4;1;2;2;1;23
"110100 Governador Jorge Teixeira";1;-;1;-;1;-;1;-;-;2;-;6
"110010 Guajará-Mirim";-;2;-;-;-;1;1;1;1;1;1;8
"110110 Itapuã do Oeste";-;-;1;2;-;-;-;-;-;2;-;5
"110011 Jaru";1;2;2;2;1;1;2;2;-;2;3;18
"110012 Ji-Paraná";10;9;6;7;7;16;18;8;6;21;12;120
"110013 Machadinho D'Oeste";2;1;1;4;5;2;1;-;2;1;2;21
"110120 Ministro Andreazza";-;2;-;1;1;4;2;1;-;-;1;12
"110130 Mirante da Serra";-;-;-;1;-;-;1;-;1;-;1;4
"110140 Monte Negro";-;-;2;4;2;-;1;1;-;3;-;13
"110014 Nova Brasilândia D'Oeste";2;3;-;1;1;-;-;-;3;-;2;12
"110033 Nova Mamoré";-;-;-;-;-;-;2;2;1;-;1;6
"110143 Nova União";1;2;1;-;3;-;-;-;1;-;1;9
"110050 Novo Horizonte do Oeste";-;4;2;-;-;-;-;-;1;1;2;10
"110015 Ouro Preto do Oeste";3;1;1;6;3;11;4;4;3;1;-;37
"110145 Parecis";-;1;1;-;-;2;18;-;2;2;2;28
"110018 Pimenta Bueno";3;-;-;-;3;4;9;11;12;9;11;62
"110146 Pimenteiras do Oeste";-;1;1;1;-;-;1;-;-;-;-;4
"110020 Porto Velho";24;21;19;28;25;51;25;31;54;61;64;403
"110025 Presidente Médici";2;1;1;3;1;-;1;-;1;3;2;15
"110147 Primavera de Rondônia";-;-;-;-;1;-;2;-;-;-;-;3
