"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"430290 Cacequi";38;40;30;40;41;16;20;30;30;35;23;343
"430300 Cachoeira do Sul";88;108;96;69;67;84;93;147;170;160;126;1208
"430310 Cachoeirinha";72;86;86;74;77;67;74;62;52;47;64;761
"430320 Cacique Doble";-;1;5;2;2;7;5;3;3;3;11;42
"430330 Caibaté";10;11;9;16;13;19;21;28;18;13;6;164
"430340 Caiçara";3;7;1;7;3;2;3;9;4;2;13;54
"430350 Camaquã";113;91;53;84;73;73;70;58;21;22;34;692
"430355 Camargo";1;-;-;-;1;-;-;5;3;-;5;15
"430360 Cambará do Sul";12;12;15;11;18;5;14;3;13;7;6;116
"430367 Campestre da Serra";5;6;6;4;-;1;2;1;-;2;1;28
"430370 Campina das Missões";22;16;17;12;13;25;10;11;15;17;15;173
"430380 Campinas do Sul";3;7;3;10;7;14;10;5;2;12;8;81
"430390 Campo Bom";65;77;79;44;40;34;50;36;26;13;28;492
"430400 Campo Novo";19;12;8;11;2;11;14;28;17;36;46;204
"430410 Campos Borges";7;1;2;4;-;4;4;5;-;2;-;29
"430420 Candelária";19;34;38;38;43;53;51;31;35;29;62;433
"430430 Cândido Godói";16;8;8;12;10;5;23;17;23;17;20;159
"430435 Candiota";4;4;4;2;8;3;5;7;6;6;9;58
"430440 Canela";45;45;61;43;68;51;38;33;15;9;15;423
"430450 Canguçu";117;161;141;114;124;83;90;83;31;56;45;1045
"430460 Canoas";397;258;377;302;300;325;454;321;279;229;276;3518
"430461 Canudos do Vale";1;2;-;1;1;-;5;2;3;-;1;16
"430462 Capão Bonito do Sul";1;-;2;-;4;3;-;2;1;1;3;17
"430463 Capão da Canoa";68;38;33;18;15;16;16;26;12;26;27;295
"430465 Capão do Cipó";4;1;6;9;8;6;4;5;2;-;5;50
"430466 Capão do Leão";8;23;19;14;9;8;15;11;18;12;12;149
"430468 Capela de Santana";22;17;11;10;12;9;6;5;1;-;2;95
"430469 Capitão";3;3;5;3;-;3;4;1;1;-;5;28
"430467 Capivari do Sul";4;11;2;2;4;4;5;5;1;2;1;41
"430471 Caraá";7;3;7;1;3;4;6;3;4;2;1;41
"430470 Carazinho";72;55;54;60;48;53;68;50;54;82;87;683
"430480 Carlos Barbosa";20;22;29;29;32;25;24;24;21;22;19;267
"430485 Carlos Gomes";2;2;-;-;-;-;-;-;1;1;-;6
"430490 Casca";17;9;3;3;7;11;1;3;5;2;4;65
"430495 Caseiros";-;3;3;2;3;5;7;4;1;3;5;36
"430500 Catuípe";3;4;2;3;3;5;3;3;3;3;1;33
"430510 Caxias do Sul";148;139;129;98;98;90;61;93;81;113;107;1157
"430511 Centenário";-;2;3;-;2;1;2;1;-;1;-;12
"430512 Cerrito";27;10;29;13;12;15;14;16;16;8;6;166
"430513 Cerro Branco";7;7;4;4;9;9;7;8;7;4;2;68
"430515 Cerro Grande";1;1;3;-;2;6;3;2;4;2;6;30
"430517 Cerro Grande do Sul";4;16;2;5;9;8;5;6;5;3;4;67
"430520 Cerro Largo";16;19;14;15;21;14;25;18;19;19;25;205
"430530 Chapada";9;22;19;14;18;22;24;31;33;23;22;237
"430535 Charqueadas";9;15;9;13;19;17;15;18;14;17;13;159
"430537 Charrua";3;3;3;3;6;4;1;1;3;1;1;29
"430540 Chiapetta";3;4;6;7;13;12;11;18;7;8;14;103
"430543 Chuí";3;3;1;-;2;2;1;2;2;3;2;21
"430544 Chuvisca";4;3;3;3;3;1;2;2;3;1;-;25
"430545 Cidreira";3;4;3;6;7;9;11;13;6;2;10;74
"430550 Ciríaco";18;16;12;8;8;10;5;11;6;2;2;98
"430558 Colinas";1;2;-;1;6;1;-;2;-;-;2;15
"430560 Colorado";3;11;7;14;14;14;10;5;6;8;4;96
"430570 Condor";20;11;20;22;8;5;14;14;12;14;14;154
"430580 Constantina";5;7;6;8;7;3;7;6;8;8;11;76
"430583 Coqueiro Baixo";5;3;4;3;1;-;1;-;3;1;1;22
"430585 Coqueiros do Sul";5;2;2;2;5;4;2;2;2;4;1;31
"430587 Coronel Barros";2;-;1;-;-;-;3;2;1;2;-;11
"430590 Coronel Bicaco";5;7;2;6;4;12;24;30;19;8;15;132
"430593 Coronel Pilar";1;2;-;2;6;4;8;3;2;3;3;34
"430595 Cotiporã";6;2;4;2;1;6;4;1;2;2;1;31
"430597 Coxilha";5;3;2;1;1;3;3;4;-;4;7;33
"430600 Crissiumal";7;14;19;14;19;13;9;17;13;14;19;158
"430605 Cristal";9;8;11;4;10;5;5;6;4;6;3;71
"430607 Cristal do Sul";2;2;-;1;1;-;2;2;-;1;1;12
"430610 Cruz Alta";135;92;110;93;89;77;96;61;58;51;47;909
