"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"110001 Alta Floresta D'Oeste";1;4;3;2;3;4;3;6;2;8;7;43
"110037 Alto Alegre dos Parecis";3;2;3;2;-;1;3;5;6;5;10;40
"110040 Alto Paraíso";2;2;1;3;2;2;3;6;7;5;7;40
"110034 Alvorada D'Oeste";3;1;5;4;3;1;2;6;4;3;5;37
"110002 Ariquemes";14;23;41;42;38;39;42;68;67;108;75;557
"110045 Buritis";2;4;6;4;3;12;8;9;15;6;12;81
"110003 Cabixi";4;4;2;-;1;4;3;1;1;4;6;30
"110060 Cacaulândia";-;-;2;4;3;1;-;3;6;3;1;23
"110004 Cacoal";25;60;64;97;98;99;104;52;78;105;87;869
"110070 Campo Novo de Rondônia";3;-;3;2;1;2;6;4;7;6;1;35
"110080 Candeias do Jamari";4;1;2;3;4;7;3;10;6;2;9;51
"110090 Castanheiras";-;-;4;-;1;-;-;-;-;-;-;5
"110005 Cerejeiras";13;9;2;6;5;11;8;3;16;22;25;120
"110092 Chupinguaia";5;3;-;2;2;2;-;5;2;5;5;31
"110006 Colorado do Oeste";6;14;10;14;14;7;12;6;13;15;17;128
"110007 Corumbiara";1;7;2;2;2;1;3;8;4;11;9;50
"110008 Costa Marques";1;1;1;3;1;2;5;-;1;3;7;25
"110094 Cujubim";-;-;5;2;2;3;3;-;6;6;4;31
"110009 Espigão D'Oeste";-;1;9;3;8;10;8;21;13;17;28;118
"110100 Governador Jorge Teixeira";-;2;4;5;2;3;3;7;3;5;1;35
"110010 Guajará-Mirim";4;7;12;14;9;12;8;13;9;20;11;119
"110110 Itapuã do Oeste";1;1;1;1;2;-;2;2;-;3;1;14
"110011 Jaru";5;11;11;7;20;32;20;34;34;51;44;269
"110012 Ji-Paraná";72;62;52;62;58;88;112;77;105;120;155;963
"110013 Machadinho D'Oeste";3;11;7;10;9;12;8;7;7;8;4;86
"110120 Ministro Andreazza";-;2;1;4;4;2;4;7;2;6;-;32
"110130 Mirante da Serra";2;-;3;3;1;3;3;5;4;5;7;36
"110140 Monte Negro";-;-;2;5;2;4;3;3;2;2;6;29
"110014 Nova Brasilândia D'Oeste";-;2;2;3;2;3;4;3;1;9;5;34
"110033 Nova Mamoré";1;3;1;9;-;13;8;11;4;4;11;65
"110143 Nova União";2;3;-;1;2;-;-;-;4;4;3;19
"110050 Novo Horizonte do Oeste";-;1;-;3;3;5;2;2;4;4;7;31
"110015 Ouro Preto do Oeste";6;24;11;6;8;19;17;19;10;17;20;157
"110145 Parecis";1;-;2;-;-;1;-;2;-;1;1;8
"110018 Pimenta Bueno";5;3;3;16;13;13;30;20;16;32;40;191
"110146 Pimenteiras do Oeste";-;1;2;3;1;3;3;2;1;3;-;19
"110020 Porto Velho";59;96;128;178;178;195;131;130;131;95;110;1431
"110025 Presidente Médici";9;3;6;3;8;11;11;2;5;15;13;86
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;5;2;2;3;12
"110026 Rio Crespo";1;-;-;-;3;-;-;-;-;2;2;8
"110028 Rolim de Moura";15;21;9;19;10;14;15;25;26;43;30;227
"110029 Santa Luzia D'Oeste";3;4;1;4;2;2;4;6;3;-;5;34
"110148 São Felipe D'Oeste";-;2;5;2;4;5;1;1;1;2;3;26
"110149 São Francisco do Guaporé";2;1;2;-;1;5;4;3;6;4;12;40
"110032 São Miguel do Guaporé";3;4;5;6;13;6;7;12;12;9;5;82
"110150 Seringueiras";-;-;1;-;1;1;1;1;1;4;7;17
"110155 Teixeirópolis";-;4;-;-;1;-;3;1;2;1;2;14
"110160 Theobroma";2;-;3;4;2;-;3;5;4;7;5;35
"110170 Urupá";4;2;5;5;3;1;1;9;5;7;4;46
"110175 Vale do Anari";-;1;3;1;4;2;1;2;4;4;4;26
"110180 Vale do Paraíso";1;2;6;2;1;-;1;6;4;4;9;36
"110030 Vilhena";56;86;29;55;43;47;75;78;70;126;120;785
"120001 Acrelândia";3;2;2;2;5;5;4;7;8;11;6;55
"120005 Assis Brasil";-;-;3;1;2;-;1;-;-;-;5;12
"120010 Brasiléia";7;9;14;7;6;16;13;10;21;9;18;130
"120013 Bujari";2;-;1;3;1;4;-;-;-;2;6;19
"120017 Capixaba";2;-;1;2;2;2;1;5;1;4;7;27
"120020 Cruzeiro do Sul";19;3;15;34;21;46;35;45;42;10;7;277
"120025 Epitaciolândia";5;7;3;4;9;8;22;5;8;7;12;90
"120030 Feijó";1;5;8;7;4;5;13;4;6;3;5;61
"120032 Jordão";-;1;-;-;-;1;1;1;2;2;-;8
"120033 Mâncio Lima";-;1;1;1;3;11;4;3;4;3;-;31
"120034 Manoel Urbano";-;-;-;1;2;6;-;4;-;-;-;13
"120035 Marechal Thaumaturgo";2;1;-;-;1;-;1;2;-;-;1;8
"120038 Plácido de Castro";5;4;4;7;5;7;10;11;5;7;11;76
"120080 Porto Acre";1;6;12;9;9;7;6;15;11;9;12;97
"120039 Porto Walter";2;3;6;-;2;3;1;1;3;1;-;22
"120040 Rio Branco";173;222;242;341;338;361;469;452;426;370;424;3818
"120042 Rodrigues Alves";-;-;-;4;1;3;2;-;2;2;-;14
"120043 Santa Rosa do Purus";-;-;-;2;-;7;-;-;-;2;1;12
"120050 Sena Madureira";9;3;4;6;7;12;21;6;5;17;15;105
"120045 Senador Guiomard";1;6;1;6;6;9;7;16;7;7;16;82
"120060 Tarauacá";1;6;7;-;5;12;12;14;13;5;7;82
"120070 Xapuri";9;8;10;3;14;9;10;8;5;15;7;98
"130002 Alvarães";3;-;1;-;-;-;2;-;-;-;-;6
"130006 Amaturá";-;-;1;-;-;-;-;-;-;-;-;1
"130008 Anamã";-;-;-;-;-;1;-;-;-;-;1;2
"130010 Anori";-;-;-;1;-;2;1;-;-;-;2;6
"130014 Apuí";-;-;1;1;3;-;-;2;1;1;1;10
"130020 Atalaia do Norte";-;-;-;-;-;2;-;-;-;1;-;3
"130030 Autazes";1;-;-;1;1;3;-;4;4;6;3;23
"130040 Barcelos";-;-;1;4;-;-;-;1;-;1;1;8
"130050 Barreirinha";1;-;6;1;-;1;5;1;2;2;12;31
"130060 Benjamin Constant";1;-;-;-;-;-;-;5;2;4;5;17
"130063 Beruri";-;-;1;-;-;4;-;-;-;-;2;7
"130068 Boa Vista do Ramos";-;2;2;-;-;-;-;2;2;-;1;9
"130070 Boca do Acre";-;3;5;4;6;8;9;7;7;4;17;70
"130080 Borba";2;3;2;6;4;2;2;5;4;3;4;37
"130083 Caapiranga";2;5;-;1;-;1;1;1;-;1;-;12
"130090 Canutama";-;-;-;2;-;-;-;3;2;2;3;12
"130100 Carauari";-;1;1;1;1;-;1;1;1;6;1;14
"130110 Careiro";1;4;2;2;-;-;15;16;9;5;5;59
"130115 Careiro da Várzea";-;-;-;-;-;-;1;1;-;-;4;6
"130120 Coari";1;1;3;3;-;2;6;8;9;1;6;40
"130130 Codajás";-;1;-;-;2;-;-;-;-;3;1;7
"130140 Eirunepé";-;1;2;1;-;-;1;2;2;1;6;16
"130150 Envira";-;-;2;-;1;2;2;3;1;1;-;12
"130160 Fonte Boa";1;-;-;-;-;-;1;3;3;7;1;16
"130165 Guajará";1;-;-;1;1;-;2;2;3;2;-;12
"130170 Humaitá";5;-;2;5;3;10;12;16;8;5;7;73
"130180 Ipixuna";2;-;1;2;2;2;-;1;2;-;1;13
"130185 Iranduba";-;2;4;9;5;8;1;7;4;7;11;58
"130190 Itacoatiara";7;3;3;5;5;12;9;11;5;11;18;89
"130200 Itapiranga";2;-;1;1;1;1;-;-;-;4;2;12
"130220 Juruá";-;-;-;-;6;1;-;-;-;1;-;8
"130230 Jutaí";1;-;4;-;3;2;1;1;-;1;-;13
"130240 Lábrea";1;1;1;2;1;1;4;1;-;-;2;14
"130250 Manacapuru";9;8;12;6;9;6;6;8;12;14;34;124
"130255 Manaquiri";2;2;-;-;-;-;-;-;1;3;2;10
"130260 Manaus";905;1007;957;796;844;709;586;576;736;734;1104;8954
"130270 Manicoré";5;1;-;-;19;2;1;3;5;1;2;39
"130280 Maraã";-;-;-;-;-;1;-;-;-;2;3;6
"130290 Maués";2;1;4;3;-;8;5;6;7;8;7;51
"130300 Nhamundá";-;1;-;-;1;-;-;4;1;4;5;16
"130310 Nova Olinda do Norte";-;3;3;-;-;-;-;1;1;2;1;11
"130320 Novo Airão";-;1;-;-;-;-;2;1;1;1;6;12
"130330 Novo Aripuanã";6;8;35;20;4;-;1;6;-;2;3;85
"130340 Parintins";3;10;7;11;15;12;26;15;9;11;24;143
"130350 Pauini";-;3;-;-;-;2;-;2;-;1;2;10
"130353 Presidente Figueiredo";6;4;6;4;2;-;2;5;8;1;3;41
"130356 Rio Preto da Eva";1;2;1;1;1;-;-;1;2;3;6;18
"130360 Santa Isabel do Rio Negro";-;-;-;1;-;-;-;1;1;1;-;4
"130370 Santo Antônio do Içá";-;-;-;-;2;-;-;1;1;2;3;9
"130380 São Gabriel da Cachoeira";2;7;12;1;2;-;-;1;2;5;5;37
"130390 São Paulo de Olivença";-;-;2;1;-;-;-;1;1;2;-;7
"130395 São Sebastião do Uatumã";-;1;1;1;-;-;-;-;-;-;2;5
"130400 Silves";-;-;-;-;1;-;-;-;1;1;-;3
"130406 Tabatinga";-;3;4;3;1;4;3;16;12;16;3;65
"130410 Tapauá";-;-;-;-;2;-;-;-;-;2;-;4
"130420 Tefé";6;4;4;1;4;7;2;13;7;13;14;75
"130423 Tonantins";-;-;-;-;-;-;1;-;-;-;-;1
"130430 Urucará";-;-;-;-;1;-;-;-;2;1;2;6
"130440 Urucurituba";1;-;-;-;1;1;2;1;-;-;3;9
"140005 Alto Alegre";2;4;5;1;4;3;1;3;4;6;3;36
"140002 Amajari";2;3;5;4;8;3;3;1;3;2;7;41
"140010 Boa Vista";96;131;128;110;167;173;141;172;250;277;299;1944
"140015 Bonfim";-;1;5;2;2;3;1;2;5;3;4;28
"140017 Cantá";6;3;7;4;5;2;5;8;8;9;1;58
"140020 Caracaraí";5;2;3;5;6;1;2;4;6;9;7;50
"140023 Caroebe";-;3;-;1;2;1;1;1;2;5;2;18
"140028 Iracema";-;-;2;5;2;4;2;3;4;4;2;28
"140030 Mucajaí";6;5;7;5;4;5;3;2;7;9;15;68
"140040 Normandia";2;-;1;1;1;3;1;-;4;5;5;23
"140045 Pacaraima";5;1;2;-;4;3;1;1;5;4;6;32
"140047 Rorainópolis";3;7;3;2;2;5;2;7;8;7;2;48
"140050 São João da Baliza";-;-;-;-;-;1;-;1;2;4;2;10
"140060 São Luiz";-;-;-;2;2;1;-;1;-;-;-;6
"140070 Uiramutã";-;-;2;1;-;1;4;-;3;2;4;17
"150010 Abaetetuba";34;22;20;22;41;55;41;42;40;33;28;378
"150013 Abel Figueiredo";1;-;-;1;1;2;1;2;2;-;4;14
"150020 Acará";5;4;6;4;3;7;13;15;15;16;12;100
"150030 Afuá";3;6;-;3;3;2;1;2;1;3;6;30
"150034 Água Azul do Norte";-;5;1;3;1;1;3;-;3;3;4;24
"150040 Alenquer";3;9;15;6;10;7;7;8;5;13;15;98
"150050 Almeirim";4;1;6;1;5;4;13;7;5;6;5;57
"150060 Altamira";21;43;44;39;39;48;49;78;59;106;100;626
"150070 Anajás";1;2;2;2;2;4;6;4;3;3;1;30
"150080 Ananindeua";137;119;132;119;127;157;117;174;128;169;141;1520
"150085 Anapu";3;1;4;3;7;5;5;11;12;16;11;78
"150090 Augusto Corrêa";2;5;2;5;11;18;24;43;40;29;24;203
"150095 Aurora do Pará";1;3;2;4;3;1;2;6;-;1;-;23
"150100 Aveiro";1;3;1;2;2;1;-;6;1;4;3;24
"150110 Bagre";-;-;-;-;7;1;1;1;-;4;2;16
"150120 Baião";1;6;6;4;-;2;-;3;5;8;8;43
"150125 Bannach";-;-;-;-;2;1;2;2;1;1;3;12
"150130 Barcarena";19;23;22;19;20;13;29;31;23;29;33;261
"150140 Belém";570;552;577;483;522;579;526;658;640;624;646;6377
"150145 Belterra";2;7;12;8;8;12;2;8;3;11;7;80
"150150 Benevides";6;12;9;15;16;25;13;22;25;16;13;172
"150157 Bom Jesus do Tocantins";-;1;1;2;2;-;4;1;4;1;1;17
"150160 Bonito";1;-;-;2;4;-;1;-;1;3;4;16
"150170 Bragança";13;31;16;24;44;71;70;116;142;86;111;724
"150172 Brasil Novo";4;6;18;5;5;4;8;10;8;9;11;88
"150175 Brejo Grande do Araguaia";-;1;-;-;-;1;-;3;-;1;1;7
"150178 Breu Branco";10;8;9;6;11;6;3;8;10;6;7;84
"150180 Breves";14;9;13;26;30;15;14;30;20;37;19;227
"150190 Bujaru";4;7;7;1;10;-;1;15;7;5;9;66
"150200 Cachoeira do Arari";6;2;1;1;-;1;3;2;3;-;1;20
"150195 Cachoeira do Piriá";3;-;-;1;1;1;3;5;-;1;1;16
"150210 Cametá";13;15;20;20;18;26;14;17;13;20;20;196
"150215 Canaã dos Carajás";4;2;2;4;3;8;5;8;8;2;2;48
"150220 Capanema";6;12;7;9;10;24;31;31;26;33;21;210
"150230 Capitão Poço";8;1;7;3;3;8;6;17;15;13;11;92
"150240 Castanhal";75;45;35;56;69;81;63;100;95;107;125;851
"150250 Chaves";-;11;-;1;1;-;-;-;3;3;4;23
"150260 Colares";2;4;-;2;1;1;3;3;1;3;5;25
"150270 Conceição do Araguaia";7;18;15;14;24;43;29;48;32;34;39;303
"150275 Concórdia do Pará";2;4;6;6;-;3;6;3;3;5;2;40
"150276 Cumaru do Norte";-;1;-;-;4;-;1;1;-;3;-;10
"150277 Curionópolis";1;-;1;1;-;3;11;7;15;-;2;41
"150280 Curralinho";-;1;3;13;4;2;7;5;5;5;4;49
"150285 Curuá";-;-;-;1;-;1;-;-;-;-;-;2
"150290 Curuçá";3;9;10;10;12;15;10;12;7;9;13;110
"150293 Dom Eliseu";4;42;54;14;6;1;1;7;3;3;9;144
"150295 Eldorado do Carajás";-;2;1;4;6;9;4;8;6;2;2;44
"150304 Floresta do Araguaia";-;10;14;8;4;10;7;9;3;3;7;75
"150307 Garrafão do Norte";5;2;3;1;5;2;3;4;5;4;8;42
"150309 Goianésia do Pará";6;11;11;12;1;4;9;1;1;7;6;69
"150310 Gurupá";-;1;4;-;3;1;1;3;6;1;8;28
"150320 Igarapé-Açu";12;5;3;7;13;11;8;7;14;15;6;101
"150330 Igarapé-Miri";5;7;6;9;1;5;6;16;14;19;21;109
"150340 Inhangapi";3;3;-;1;-;3;8;2;3;4;4;31
"150345 Ipixuna do Pará";7;6;4;7;1;1;2;5;3;3;5;44
"150350 Irituia";11;10;11;13;11;19;14;16;6;8;7;126
"150360 Itaituba";19;18;25;40;27;31;62;45;63;51;48;429
"150370 Itupiranga";3;3;3;5;6;4;10;17;19;21;21;112
"150375 Jacareacanga";2;-;1;3;6;1;2;2;6;4;1;28
"150380 Jacundá";12;52;62;17;12;6;11;13;7;21;23;236
"150390 Juruti";-;5;2;6;6;7;10;8;-;6;6;56
"150400 Limoeiro do Ajuru";2;6;2;3;2;1;-;-;-;3;3;22
"150405 Mãe do Rio";8;2;8;5;5;12;4;9;7;9;15;84
"150410 Magalhães Barata";5;-;-;2;3;3;1;1;2;5;1;23
"150420 Marabá";17;25;24;29;25;47;66;81;118;98;107;637
"150430 Maracanã";3;6;1;7;6;5;5;2;4;10;3;52
"150440 Marapanim";3;3;6;2;2;7;11;11;12;12;6;75
"150442 Marituba";24;20;66;70;61;54;49;33;36;48;34;495
"150445 Medicilândia";2;6;11;11;14;3;11;13;11;8;11;101
"150450 Melgaço";-;1;-;2;3;1;4;1;-;2;1;15
"150460 Mocajuba";6;9;1;3;2;-;1;4;2;3;1;32
"150470 Moju";8;6;8;5;10;4;9;10;20;15;25;120
"150475 Mojuí dos Campos";-;-;-;-;-;-;-;-;1;4;7;12
"150480 Monte Alegre";8;14;9;14;13;6;11;8;4;9;16;112
"150490 Muaná";-;6;2;6;5;5;3;16;12;7;11;73
"150495 Nova Esperança do Piriá";2;3;2;4;1;4;1;-;4;4;2;27
"150497 Nova Ipixuna";-;-;5;-;1;-;1;1;4;-;1;13
"150500 Nova Timboteua";3;6;1;1;2;5;2;15;1;1;7;44
"150503 Novo Progresso";8;8;3;11;5;8;5;12;8;12;7;87
"150506 Novo Repartimento";4;5;13;10;16;16;16;6;8;12;9;115
"150510 Óbidos";-;5;2;8;1;3;15;9;5;6;8;62
"150520 Oeiras do Pará";1;1;2;4;2;3;-;3;-;2;5;23
"150530 Oriximiná";9;14;11;24;24;26;17;26;24;33;27;235
"150540 Ourém";2;7;2;-;1;7;6;9;3;4;3;44
"150543 Ourilândia do Norte";3;8;6;9;10;6;3;8;9;15;11;88
"150548 Pacajá";3;24;8;6;14;13;13;3;10;6;15;115
"150549 Palestina do Pará";-;-;1;-;-;-;-;1;1;2;6;11
"150550 Paragominas";7;15;23;30;16;18;18;36;28;48;37;276
"150553 Parauapebas";13;11;19;23;27;28;62;39;67;85;60;434
"150555 Pau D'Arco";2;-;3;3;7;5;10;15;18;14;7;84
"150560 Peixe-Boi";1;1;3;2;7;4;1;3;9;3;2;36
"150563 Piçarra";2;2;1;-;-;-;2;4;1;2;1;15
"150565 Placas";1;1;1;13;5;10;8;7;9;1;1;57
"150570 Ponta de Pedras";2;2;4;6;11;6;1;2;4;8;4;50
"150580 Portel";4;4;5;7;8;2;13;10;8;6;10;77
"150590 Porto de Moz";2;6;-;6;5;1;5;6;-;7;7;45
"150600 Prainha";1;1;3;1;4;2;8;4;9;9;9;51
"150610 Primavera";-;-;1;1;-;5;6;19;1;6;6;45
"150611 Quatipuru";-;-;2;1;2;1;-;-;5;11;3;25
"150613 Redenção";23;41;53;47;36;60;78;89;89;114;98;728
"150616 Rio Maria";2;8;6;4;11;16;4;9;8;15;18;101
