"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"130190 Itacoatiara";1;-;-;-;-;-;1;-;-;-;-;2
"130230 Jutaí";-;-;-;-;-;-;-;-;1;-;-;1
"130240 Lábrea";-;-;-;-;-;-;-;-;7;6;-;13
"130250 Manacapuru";-;-;-;-;-;3;2;1;-;2;-;8
"130260 Manaus";289;287;414;298;211;295;39;40;34;23;40;1970
"130270 Manicoré";1;-;-;-;-;1;-;1;1;1;-;5
"130280 Maraã";-;-;-;-;-;-;-;1;-;-;-;1
"130300 Nhamundá";-;-;-;-;-;-;-;-;-;1;-;1
"130310 Nova Olinda do Norte";-;-;-;-;1;-;-;1;-;-;-;2
"130320 Novo Airão";-;-;-;-;-;-;-;-;-;-;1;1
"130330 Novo Aripuanã";-;-;-;-;-;-;-;-;1;-;-;1
"130340 Parintins";2;9;4;2;3;4;-;4;-;9;4;41
"130350 Pauini";1;-;-;-;-;-;1;-;-;-;-;2
"130353 Presidente Figueiredo";-;-;-;-;-;1;-;-;-;-;-;1
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;1;-;-;-;-;1
"130370 Santo Antônio do Içá";-;-;1;-;-;-;-;-;-;-;-;1
"130380 São Gabriel da Cachoeira";-;-;-;1;-;-;-;-;-;-;1;2
"130390 São Paulo de Olivença";-;-;-;-;-;-;-;-;1;-;-;1
"130406 Tabatinga";-;-;-;-;-;-;2;1;-;-;1;4
"130420 Tefé";-;-;-;-;1;1;1;4;-;1;-;8
"130430 Urucará";-;-;-;1;-;-;-;-;-;-;-;1
"140005 Alto Alegre";-;-;1;1;-;-;-;2;3;3;2;12
"140002 Amajari";-;-;-;-;1;-;-;2;-;-;3;6
"140010 Boa Vista";22;17;29;31;38;26;29;61;110;85;78;526
"140015 Bonfim";-;-;1;-;-;-;-;-;-;-;1;2
"140017 Cantá";1;1;-;1;2;-;-;4;1;1;2;13
"140020 Caracaraí";-;-;1;-;1;-;-;1;1;1;1;6
"140023 Caroebe";-;-;-;-;-;-;-;-;1;-;-;1
"140028 Iracema";-;-;1;1;-;-;-;-;2;-;2;6
"140030 Mucajaí";-;2;2;-;1;2;1;2;2;3;5;20
"140040 Normandia";-;-;-;-;-;1;-;-;4;-;-;5
"140045 Pacaraima";-;-;1;-;-;1;-;-;2;1;1;6
"140047 Rorainópolis";-;-;1;-;-;1;3;2;3;-;3;13
"140050 São João da Baliza";-;-;1;-;1;1;1;2;1;-;3;10
"140060 São Luiz";-;-;-;1;1;-;-;1;1;-;-;4
"140070 Uiramutã";-;-;-;-;-;-;-;-;-;2;1;3
"150010 Abaetetuba";5;11;5;9;2;7;8;14;14;11;9;95
"150013 Abel Figueiredo";2;2;-;-;-;1;-;-;-;-;-;5
"150020 Acará";5;2;4;4;2;-;7;2;6;2;7;41
"150030 Afuá";-;-;-;1;-;-;1;-;-;-;-;2
"150034 Água Azul do Norte";-;-;-;1;-;2;-;-;-;1;1;5
"150040 Alenquer";3;-;-;3;3;-;5;3;5;4;2;28
"150050 Almeirim";3;3;-;-;-;-;-;2;-;2;-;10
"150060 Altamira";18;4;9;8;4;4;9;7;14;25;18;120
"150070 Anajás";-;1;-;1;-;-;-;1;1;2;-;6
"150080 Ananindeua";47;45;26;19;15;23;28;50;32;36;34;355
"150085 Anapu";1;2;2;-;-;1;1;1;-;1;1;10
"150090 Augusto Corrêa";1;-;1;-;-;-;1;-;-;1;2;6
"150095 Aurora do Pará";-;1;2;-;1;-;1;-;2;-;4;11
"150100 Aveiro";-;-;-;-;-;1;-;2;-;-;1;4
"150110 Bagre";1;-;-;-;-;-;1;-;-;-;-;2
"150120 Baião";2;1;3;1;1;-;2;3;4;3;1;21
"150125 Bannach";-;-;1;-;-;1;-;1;-;-;-;3
"150130 Barcarena";18;17;10;5;4;9;5;8;10;9;15;110
"150140 Belém";181;152;114;92;73;75;100;113;125;100;88;1213
"150145 Belterra";1;-;-;-;3;2;4;-;3;2;-;15
"150150 Benevides";2;6;2;2;5;1;3;7;2;2;2;34
"150157 Bom Jesus do Tocantins";-;1;-;1;-;-;-;-;-;2;-;4
"150160 Bonito";1;-;-;-;2;-;1;2;-;-;-;6
"150170 Bragança";7;8;2;-;6;-;4;7;10;4;4;52
"150172 Brasil Novo";4;3;1;-;-;-;-;-;-;3;2;13
"150178 Breu Branco";1;1;1;1;2;1;1;-;2;-;4;14
"150180 Breves";6;8;5;5;1;1;3;1;2;2;6;40
"150190 Bujaru";5;2;3;-;2;1;3;1;2;-;4;23
"150200 Cachoeira do Arari";-;1;-;-;-;3;1;1;1;4;1;12
"150195 Cachoeira do Piriá";-;-;-;1;-;-;2;2;1;2;-;8
"150210 Cametá";-;5;9;2;7;12;3;7;13;9;3;70
"150215 Canaã dos Carajás";2;1;3;-;1;1;1;6;2;5;4;26
"150220 Capanema";3;1;-;1;5;2;2;7;3;1;8;33
"150230 Capitão Poço";4;1;4;1;-;-;5;2;4;2;1;24
"150240 Castanhal";11;15;12;9;9;8;22;19;14;13;15;147
"150250 Chaves";-;-;-;-;-;1;-;-;2;-;1;4
"150260 Colares";-;2;2;-;1;1;-;2;1;1;2;12
"150270 Conceição do Araguaia";1;3;4;1;3;2;4;3;1;4;2;28
"150275 Concórdia do Pará";1;2;-;-;1;-;-;6;3;1;1;15
"150276 Cumaru do Norte";-;-;-;-;1;-;1;-;-;-;1;3
"150277 Curionópolis";-;-;1;2;-;2;2;1;-;-;1;9
"150280 Curralinho";3;-;-;-;1;1;-;1;-;1;3;10
"150285 Curuá";-;1;-;-;-;-;-;-;-;-;-;1
"150290 Curuçá";2;-;1;3;-;4;-;-;-;2;3;15
"150293 Dom Eliseu";-;-;1;2;1;-;2;2;4;3;3;18
"150295 Eldorado do Carajás";-;1;-;1;-;1;1;-;-;2;3;9
"150304 Floresta do Araguaia";-;-;-;-;-;-;1;2;-;-;-;3
"150307 Garrafão do Norte";-;-;-;1;-;2;3;2;5;3;1;17
"150309 Goianésia do Pará";3;4;2;-;-;2;1;1;1;1;2;17
"150310 Gurupá";-;-;1;1;-;1;-;1;1;-;1;6
"150320 Igarapé-Açu";1;-;1;-;2;1;-;1;2;1;1;10
"150330 Igarapé-Miri";3;2;2;2;-;1;6;6;1;4;9;36
"150340 Inhangapi";-;-;1;-;-;1;1;-;-;1;1;5
"150345 Ipixuna do Pará";2;-;1;-;1;-;4;2;5;2;1;18
"150350 Irituia";2;3;3;4;1;-;-;2;4;2;2;23
"150360 Itaituba";2;8;2;6;3;10;4;12;9;5;5;66
"150370 Itupiranga";-;3;-;1;1;-;1;-;1;2;3;12
"150375 Jacareacanga";1;1;-;-;-;-;-;-;-;-;-;2
"150380 Jacundá";7;7;-;3;1;1;1;1;4;3;3;31
"150390 Juruti";-;-;-;-;-;-;1;2;3;-;1;7
"150400 Limoeiro do Ajuru";-;1;-;-;-;3;1;1;2;2;1;11
"150405 Mãe do Rio";2;5;3;1;-;1;1;1;1;1;2;18
"150410 Magalhães Barata";-;1;-;-;-;-;1;1;-;1;-;4
"150420 Marabá";34;49;22;23;14;13;15;5;8;20;19;222
"150430 Maracanã";-;-;-;1;1;1;-;-;-;1;-;4
"150440 Marapanim";-;-;1;-;1;1;1;-;1;-;4;9
"150442 Marituba";9;9;11;10;11;12;8;8;8;8;11;105
"150445 Medicilândia";7;3;5;2;2;-;-;1;1;4;7;32
"150450 Melgaço";-;-;-;-;-;-;-;-;1;-;2;3
"150460 Mocajuba";-;-;-;-;-;-;3;1;-;-;2;6
"150470 Moju";2;3;2;4;3;3;4;5;5;6;4;41
"150475 Mojuí dos Campos";-;-;-;-;-;-;-;2;-;-;1;3
"150480 Monte Alegre";5;3;4;1;2;3;3;5;5;6;2;39
"150490 Muaná";-;-;2;1;-;-;2;1;3;1;-;10
"150495 Nova Esperança do Piriá";2;2;1;-;1;1;-;-;-;-;2;9
"150497 Nova Ipixuna";-;3;-;1;-;-;-;-;-;1;1;6
"150500 Nova Timboteua";1;1;-;-;3;-;-;2;-;1;-;8
"150503 Novo Progresso";4;1;-;1;1;1;1;-;1;9;-;19
"150506 Novo Repartimento";2;1;4;2;3;1;4;2;5;9;2;35
"150510 Óbidos";-;1;-;-;-;2;-;-;2;1;1;7
"150520 Oeiras do Pará";3;-;1;-;1;-;-;-;1;-;-;6
"150530 Oriximiná";-;1;1;-;1;1;-;2;1;1;-;8
"150540 Ourém";6;-;1;-;1;3;2;-;1;1;1;16
"150543 Ourilândia do Norte";2;1;-;2;2;4;-;1;4;1;1;18
"150548 Pacajá";2;2;1;2;2;1;1;2;3;3;3;22
"150549 Palestina do Pará";-;-;-;-;-;-;-;-;-;-;1;1
"150550 Paragominas";11;14;16;29;12;10;8;17;14;15;13;159
"150553 Parauapebas";7;7;4;9;4;6;8;9;15;21;9;99
"150555 Pau D'Arco";1;-;-;-;-;2;1;1;-;-;1;6
"150560 Peixe-Boi";-;-;-;-;-;-;-;-;-;1;1;2
"150563 Piçarra";-;1;1;-;2;1;2;1;1;-;-;9
"150565 Placas";1;1;1;1;1;1;2;4;1;1;-;14
"150570 Ponta de Pedras";-;1;1;2;-;1;2;-;1;-;1;9
"150580 Portel";1;2;-;5;3;1;2;1;-;1;7;23
"150590 Porto de Moz";3;1;-;-;-;-;-;-;-;3;1;8
"150600 Prainha";1;-;-;1;1;1;1;2;-;3;-;10
"150610 Primavera";-;-;1;-;-;1;-;-;1;2;1;6
"150611 Quatipuru";-;-;1;2;-;-;-;-;-;-;-;3
"150613 Redenção";5;4;11;8;7;9;5;8;2;10;12;81
